| Government | COSTA RICA |
| --- | --- |
| Country name: | conventional long form: Republic of Costa Rica |
| Country name: | conventional short form: Costa Rica |
| Country name: | local long form: Republica de Costa Rica |
| Country name: | local short form: Costa Rica |
| Country name: | etymology: the name means "rich coast" in Spanish and was first applied in the early colonial period of the 16th century |
| Government type: | presidential republic |
| Capital: | name: San Jose |
| Capital: | geographic coordinates: 9 56 N, 84 05 W |
| Capital: | time difference: UTC-6 (1 hour behind Washington, DC, during Standard Time) |
| Administrative divisions: | 7 provinces (provincias, singular - provincia); Alajuela, Cartago, Guanacaste, Heredia, Limon, Puntarenas, San Jose |
| Independence: | 15 September 1821 (from Spain) |
| National holiday: | Independence Day, 15 September (1821) |
| Constitution: | previous 1825; latest effective 8 November 1949; amended many times, last in 2015 (2016) |
| Legal system: | civil law system based on Spanish civil code; judicial review of legislative acts in the Supreme Court |
| International law organization participation: | accepts compulsory ICJ jurisdiction; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: yes |
| Citizenship: | citizenship by descent: yes |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: 7 years |
| Suffrage: | 18 years of age; universal and compulsory |
| Executive branch: | chief of state: President Luis Guillermo SOLIS Rivera (since 8 May 2014); First Vice President Helio FALLAS Venega (since 8 May 2014); Second Vice President Ana Helena CHACON Echeverria (since 8 May 2014); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President Luis Guillermo SOLIS Rivera (since 8 May 2014); First Vice President Helio FALLAS Venegas (since 8 May 2014); Second Vice President Ana Helena CHACON Echeverria (since 8 May 2014) |
| Executive branch: | cabinet: Cabinet selected by the president |
| Executive branch: | elections/appointments: president and vice presidents directly elected on the same ballot by modified majority popular vote (40% threshold) for a 4-year term (eligible for non-consecutive terms); election last held on 2 February 2014 with a runoff on 6 April 2014 (next to be held in February 2018) |
| Executive branch: | election results: Luis Guillermo SOLIS Rivera elected president; percent of vote - Luis Guillermo SOLIS Rivera (PAC) 77.8%; Johnny ARAYA (PLN) 22.2% |
| Legislative branch: | description: unicameral Legislative Assembly or Asamblea Legislativa (57 seats; members directly elected in multi-seat constituencies - corresponding to the country's 7 provinces - by proportional representation vote; members serve 4-year terms) |
| Legislative branch: | elections: last held on 2 February 2014 (next to be held in February 2018) |
| Legislative branch: | election results: percent of vote by party - PLN 25.5%, PAC 23.8%, FA 13.1%, PUSC 10.0%, PML 7.9%, other 19.7% ; seats by party - PLN 18, PAC 13, FA 9, PUSC 8, PML 4, other 5 |
| Judicial branch: | highest court(s): Supreme Court of Justice (consists of 22 judges organized into 3 cassation chambers each with 5 judges and the Constitutional Chamber with 7 judges) |
| Judicial branch: | judge selection and term of office: Supreme Court of Justice judges elected by the National Assembly for 8-year terms with renewal decided by the National Assembly |
| Judicial branch: | subordinate courts: appellate courts; trial courts; first instance and justice of the peace courts; Superior Electoral Tribunal |
| Political parties and leaders: | Accessibility Without Exclusion or PASE [Oscar Andres LOPEZ Arias] |
| Political parties and leaders: | Broad Front (Frente Amplio) or PFA [Ana Patricia MORA] |
| Political parties and leaders: | Citizen Action Party or PAC [Olivier PEREZ Gonzalez] |
| Political parties and leaders: | Costa Rican Renovation Party or PRC [Gerardo Justo OROZCO Alvarez] |
| Political parties and leaders: | Libertarian Movement Party or ML [Victor Danilo CUBERO Corrales] |
| Political parties and leaders: | National Integration Party or PIN [Walter MUNOZ Cespedes] |
| Political parties and leaders: | National Liberation Party or PLN [Bernal JIMENEZ] |
| Political parties and leaders: | National Restoration Party or PRN [Carlos AVENDANO] |
| Political parties and leaders: | Patriotic Alliance [Jorge ARAYA Westover] |
| Political parties and leaders: | Popular Vanguard [Humberto VARGAS] |
| Political parties and leaders: | Social Christian Unity Party or PUSC [Gerardo VARGAS] |
| Political pressure groups and leaders: | Authentic Confederation of Democratic Workers or CATD (Communist Party affiliate) |
| Political pressure groups and leaders: | National Chamber of Coffee Growers |
| Political pressure groups and leaders: | Confederated Union of Workers or CUT (Communist Party affiliate) |
| Political pressure groups and leaders: | Confederation of Workers Rerum Novarum or CTRN (National Libertion Party affiliate) |
| Political pressure groups and leaders: | Costa Rican Confederation of Democratic Workers or CCTD (National Libertion Party affiliate) |
| Political pressure groups and leaders: | Costa Rican Exporter's Chamber or CADEXCO |
| Political pressure groups and leaders: | Costa Rican Solidarity Movement |
| Political pressure groups and leaders: | Costa Rican Union of Private Sector Enterprises or UCCAEP |
| Political pressure groups and leaders: | Federation of Public Service Workers or FTSP |
| Political pressure groups and leaders: | National Association for Economic Development or ANFE |
| Political pressure groups and leaders: | National Association of Educators or ANDE |
| Political pressure groups and leaders: | National Association of Public and Private Employees or ANEP |
| International organization participation: | BCIE, CACM, CD, CELAC, FAO, G-77, IADB, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), LAES, LAIA (observer), MIGA, NAM (observer), OAS, OIF (observer), OPANAL, OPCW, Pacific Alliance (observer), PCA, SICA, UN, UNCTAD, UNESCO, UNHCR, UNIDO, Union Latina, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Roman MACAYA Hayes (since 18 September 2014) |
| Diplomatic representation in the US: | chancery: 2114 S Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 480-2200 |
| Diplomatic representation in the US: | FAX: [1] (202) 265-4795 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Chicago, Houston, Los Angeles, Miami, New Orleans, New York, San Juan (Puerto Rico), Tampa (FL), Washington DC |
| Diplomatic representation in the US: | consulate(s): San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador Sharon DAY (since 5 October 2017) |
| Diplomatic representation from the US: | embassy: Calle 98 Via 104, Pavas, San Jose |
| Diplomatic representation from the US: | mailing address: APO AA 34020 |
| Diplomatic representation from the US: | telephone: [506] 2519-2000 |
| Diplomatic representation from the US: | FAX: [506] 2519-2305 |
| ommercial bank pri| | five horizontal bands of blue (top), white, red (double width), white, and blue, with the coat of arms in a white elliptical disk placed toward the hoist side of the red band; Costa Rica retained the earlier blue-white-blue flag of Central America until 1848 when, in response to revolutionary activity in Europe, it was decided to incorporate the French colors into the national flag and a central red stripe was added; today the blue color is said to stand for the sky, opportunity, and perseverance, white denotes peace, happiness, and wisdom, while red represents the blood shed for freedom, as well as the generosity and vibrancy of the people |
| ommercial bank pri| | note: somewhat resembles the flag of North Korea; similar to the flag of Thailand but with the blue and red colors reversed |
| National symbol(s): | yiguirro (clay-colored robin); national colors: blue, white, red |
| National anthem: | name: "Himno Nacional de Costa Rica" (National Anthem of Costa Rica) |
| National anthem: | lyrics/music: Jose Maria ZELEDON Brenes/Manuel Maria GUTIERREZ |
| National anthem: | note: adopted 1949; the anthem's music was originally written for an 1853 welcome ceremony for diplomatic missions from the US and UK; the lyrics were added in 1903 |
