| Government |
| --- | --- |
| Country name: | conventional long form: Republic of Costa Rica |
| Country name: | conventional short form: Costa Rica |
| Country name: | local long form: Republica de Costa Rica |
| Country name: | local short form: Costa Rica |
| Government type: | democratic republic |
| Capital: | San Jose |
| Administrative divisions: | 7 provinces (provincias, singular - provincia); Alajuela, Cartago, Guanacaste, Heredia, Limon, Puntarenas, San Jose |
| Independence: | 15 September 1821 (from Spain) |
| National holiday: | Independence Day, 15 September (1821) |
| Constitution: | 7 November 1949 |
| Legal system: | based on Spanish civil law system; judicial review of legislative acts in the Supreme Court; has accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal and compulsory |
| Executive branch: | chief of state: President Miguel Angel RODRIGUEZ (since 8 May 1998); First Vice President Astrid FISCHEL Volio (since 8 May 1998), Second Vice President Elizabeth ODIO Benito (since 8 May 1998); note - president is both the chief of state and head of government |
| Executive branch: | head of government: President Miguel Angel RODRIGUEZ (since 8 May 1998); First Vice President Astrid FISCHEL Volio (since 8 May 1998), Second Vice President Elizabeth ODIO Benito (since 8 May 1998); note - president is both the chief of state and head of government |
| Executive branch: | cabinet: Cabinet selected by the president |
| Executive branch: | elections: president and vice presidents elected on the same ticket by popular vote for four-year terms; election last held 1 February 1998 (next to be held 3 February 2002) |
| Executive branch: | election results: Miguel Angel RODRIGUEZ elected president; percent of vote - Miguel Angel RODRIGUEZ (PUSC) 46.6%, Jose Miguel CORRALES (PLN) 44.6% |
| Legislative branch: | unicameral Legislative Assembly or Asamblea Legislativa (57 seats; members are elected by direct, popular vote to serve four-year terms) |
| Legislative branch: | elections: last held 1 February 1998 (next to be held 3 February 2002) |
| Legislative branch: | election results: percent of vote by party - PUSC 41%, PLN 35%, minority parties 24%; seats by party - PUSC 27, PLN 23, minority parties 7 |
| Judicial branch: | Supreme Court or Corte Suprema (22 justices are elected for eight-year terms by the Legislative Assembly) |
| Political parties and leaders: | Agricultural Labor Action or PALA [Carlos Alberto SOLIS Blanco]; Costa Rican Renovation Party or PRC [Justo OROZCO]; Democratic Force Party or PFD [Jose M. NUNEZ]; Libertarian Movement Party or PML [Otto GUEVARA Guth]; National Christian Alliance Party or ANC [Alejandro MADRIGAL]; National Independent Party or PNI [Jorge GONZALEZ Marten]; National Integration Party or PIN [Walter MUNOZ Cespedes]; National Liberation Party or PLN [Sonia PICADO]; Social Christian Unity Party or PUSC [Luis Manuel CHACON] |
| Political parties and leaders: | note: mainly a two-party system - PUSC and PLN; numerous small parties share less than 25% of population's support |
| Political pressure groups and leaders: | Authentic Confederation of Democratic Workers or CATD (Communist Party affiliate); Chamber of Coffee Growers; Confederated Union of Workers or CUT (Communist Party affiliate); Costa Rican Confederation of Democratic Workers or CCTD (Liberation Party affiliate); Federation of Public Service Workers or FTSP; National Association for Economic Development or ANFE; National Association of Educators or ANDE; Rerum Novarum or CTRN (PLN affiliate) [Gilbert Brown] |
| International organization participation: | BCIE, CACM, ECLAC, FAO, G-77, IADB, IAEA, IBRD, ICAO, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Inmarsat, Intelsat, Interpol, IOC, IOM, ISO, ITU, LAES, LAIA (observer), NAM (observer), OAS, OPANAL, OPCW, PCA, UN, UNCTAD, UNESCO, UNIDO, UNU, UPU, WCL, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| Diplomatic representation in the US: | chief of mission: Ambassador Jaime DAREMBLUM Rosenstein |
| Diplomatic representation in the US: | chancery: 2114 S Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 234-2945 |
| Diplomatic representation in the US: | FAX: [1] (202) 265-4795 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Boston, Chicago, Denver, Houston, Los Angeles, Miami, New Orleans, New York, Phoenix, San Antonio, San Francisco, St. Paul, and Tampa |
| Diplomatic representation in the US: | consulate(s): Austin |
| Diplomatic representation from the US: | chief of mission: Ambassador Thomas J. DODD |
| Diplomatic representation from the US: | embassy: Calle 120 Avenida O, Pavas, San Jose |
| Diplomatic representation from the US: | mailing address: APO AA 34020 |
| Diplomatic representation from the US: | telephone: [506] 220-3939 |
| Diplomatic representation from the US: | FAX: [506] 220-2305 |
| Flag description: | five horizontal bands of blue (top), white, red (double width), white, and blue, with the coat of arms in a white disk on the hoist side of the red band |
