| Government | Liberia |
| --- | --- |
| Country name: | conventional long form: Republic of Liberia |
| Country name: | conventional short form: Liberia |
| Government type: | republic |
| Capital: | name: Monrovia |
| Capital: | geographic coordinates: 6 18 N, 10 47 W |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 15 counties; Bomi, Bong, Gbarpolu, Grand Bassa, Grand Cape Mount, Grand Gedeh, Grand Kru, Lofa, Margibi, Maryland, Montserrado, Nimba, River Cess, River Gee, Sinoe |
| Independence: | 26 July 1847 |
| National holiday: | Independence Day, 26 July (1847) |
| Constitution: | 6 January 1986 |
| Legal system: | dual system of statutory law based on Anglo-American common law for the modern sector and customary law based on unwritten tribal practices for indigenous sector; accepts compulsory ICJ jurisdiction, with reservations |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Ellen JOHNSON-SIRLEAF (since 16 January 2006); note - the President is both the chief of state and head of government |
| Executive branch: | head of government: President Ellen JOHNSON-SIRLEAF (since 6 January 2006); note - the President is both the chief of state and head of government |
| Executive branch: | cabinet: Cabinet appointed by the president and confirmed by the Senate |
| Executive branch: | elections: president elected by popular vote for a six-year term (eligible for a second term); election last held 8 November 2005 (next to be held NA 2011) |
| Executive branch: | election results: Ellen JOHNSON-SIRLEAF elected president; percent of vote, second round - Ellen JOHNSON-SIRLEAF (UP) 59.6%, George WEAH (CDC) 40.4% |
| Executive branch: | note: a UN-brokered cease-fire among warring factions and the Liberian Government resulted in the August 2003 resignation of former president, Charles TAYLOR; a jointly agreed upon replacement, Chairman Gyude BRYANT, assumed office as head of the National Transitional Government on 14 October 2003; free elections were held 11 October 2005, with a runoff election between the two leading candidates on 8 November 2005 |
| Legislative branch: | bicameral National Assembly consists of the Senate (30 seats - number of seats changed in 11 October 2005 elections; members elected by popular vote to serve nine-year terms) and the House of Representatives (64 seats; members elected by popular vote to serve six-year terms) |
| Legislative branch: | elections: Senate - last held 11 October 2005 (next to be held in 2014); House of Representatives - last held 11 October 2005 (next to be held NA 2011) |
| Legislative branch: | election results: Senate - percent of vote by party - NA%; seats by party - COTOL 7, NPP 4, CDC 3, LP 3, UP 3, APD 3, other 7; House of Representatives - percent of vote by party - NA%; seats by party - CDC 15, LP 9, UP 8, COTOL 8, APD 5, NPP 4, other 15 |
| Legislative branch: | note: the current six-year term for junior senators - those who received the second most votes in the election - is mandated by the Liberian constitution to stagger Senate elections and ensure continuity of government |
| Judicial branch: | Supreme Court |
| Political parties and leaders: | Alliance for Peace and Democracy or APD [Togba-na TIPOTEH]; Coalition for the Transformation of Liberia or COTOL; Congress for Democratic Change or CDC [George WEAH]; Liberian Action Party or LAP [H. Varney SHERMAN]; Liberty Party or LP [Charles BRUMSKINE]; National Patriotic Party or NPP [Cyril ALLEN]; Unity Party or UP [Charles CLARKE] |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACP, AfDB, AU, ECOWAS, FAO, G-77, IAEA, IBRD, ICAO, ICCt, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ITU, NAM, OPCW (signatory), UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO |
| Diplomatic representation in the US: | chief of mission: Ambassador Charles A. MINOR |
| Diplomatic representation in the US: | chancery: 5201 16th Street NW, Washington, DC 20011 |
| Diplomatic representation in the US: | telephone: [1] (202) 723-0437 |
| Diplomatic representation in the US: | FAX: [1] (202) 723-0436 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Donald E. BOOTH |
| Diplomatic representation from the US: | embassy: 111 United Nations Drive, P. O. Box 10-0098, Mamba Point, 1000 Monrovia, 10 |
| Diplomatic representation from the US: | mailing address: use embassy street address |
| Diplomatic representation from the US: | telephone: [231] 226-370 through 226-380 |
| Diplomatic representation from the US: | FAX: [231] 226-148 |
| Flag description: | 11 equal horizontal stripes of red (top and bottom) alternating with white; there is a white five-pointed star on a blue square in the upper hoist-side corner; the design was based on the US flag |
