| Government |
| --- | --- |
| Country name: | conventional long form: Lebanese Republic |
| Country name: | conventional short form: Lebanon |
| Country name: | local long form: Al Jumhuriyah al Lubnaniyah |
| Country name: | local short form: Lubnan |
| Government type: | republic |
| Capital: | Beirut |
| Administrative divisions: | 5 governorates (mohafazat, singular - mohafazah); Beyrouth, Ech Chimal, Ej Jnoub, El Bekaa, Jabal Loubnane |
| Independence: | 22 November 1943 (from League of Nations mandate under French administration) |
| National holiday: | Independence Day, 22 November (1943) |
| Constitution: | 23 May 1926, amended a number of times, most recently Charter of Lebanese National Reconciliation (Taif Accord) of October 1989 |
| Legal system: | mixture of Ottoman law, canon law, Napoleonic code, and civil law; no judicial review of legislative acts; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 21 years of age; compulsory for all males; authorized for women at age 21 with elementary education |
| Executive branch: | chief of state: President Emile LAHUD (since 24 November 1998) |
| Executive branch: | head of government: Prime Minister Rafiq HARIRI (since 23 October 2000); Deputy Prime Minister Issam FARES (since 23 October 2000) |
| Executive branch: | cabinet: Cabinet chosen by the prime minister in consultation with the president and members of the National Assembly; the current Cabinet was formed in 1998 |
| Executive branch: | elections: president elected by the National Assembly for a six-year term; election last held 15 October 1998 (next to be held NA 2004); prime minister and deputy prime minister appointed by the president in consultation with the National Assembly; by custom, the president is a Maronite Christian, the prime minister is a Sunni Muslim, and the speaker of the legislature is a Shi'a Muslim |
| Executive branch: | election results: Emile LAHUD elected president; National Assembly vote - 118 votes in favor, 0 against, 10 abstentions |
| Legislative branch: | unicameral National Assembly or Majlis Alnuwab (Arabic) or Assemblee Nationale (French) (128 seats; members elected by popular vote on the basis of sectarian proportional representation to serve four-year terms) |
| Legislative branch: | elections: last held 27 August and 3 September 2000 (next to be held NA 2004) |
| Legislative branch: | election results: percent of vote by party - Muslim 57% (of which Sunni 25%, Sh'ite 25%, Druze 6%, Alawite less than 1%), Christian 43% (of which Maronite 23%); seats by party - Muslim 64 (of which Sunni 27, Sh'ite 27, Druze 8, Alawite 2), Christian 64 (of which Maronite 34) |
| Judicial branch: | four Courts of Cassation (three courts for civil and commercial cases and one court for criminal cases); Constitutional Council (called for in Ta'if Accord - rules on constitutionality of laws); Supreme Council (hears charges against the president and prime minister as needed) |
| Political parties and leaders: | political party activity is organized along largely sectarian lines; numerous political groupings exist, consisting of individual political figures and followers motivated by religious, clan, and economic considerations |
| Political pressure groups and leaders: | NA |
| International organization participation: | ABEDA, ACCT, AFESD, AL, AMF, CCC, ESCWA, FAO, G-24, G-77, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Inmarsat, Intelsat, Interpol, IOC, ISO (correspondent), ITU, NAM, OAS (observer), OIC, PCA, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNRWA, UPU, WFTU, WHO, WIPO, WMO, WToO, WTrO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Dr. Farid ABBOUD |
| Diplomatic representation in the US: | chancery: 2560 28th Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 939-6300 |
| Diplomatic representation in the US: | FAX: [1] (202) 939-6324 |
| Diplomatic representation in the US: | consulate(s) general: Detroit, New York, and Los Angeles |
| Diplomatic representation from the US: | chief of mission: Ambassador David M. SATTERFIELD |
| Diplomatic representation from the US: | embassy: Antelias, Beirut |
| Diplomatic representation from the US: | mailing address: P. O. Box 70-840, Antelias, Beirut; PSC 815, Box 2, FPO AE 09836-0002 |
| Diplomatic representation from the US: | telephone: [961] (4) 543600, 543600 |
| Diplomatic representation from the US: | FAX: [961] (4) 544136 |
| Flag description: | three horizontal bands of red (top), white (double width), and red with a green and brown cedar tree centered in the white band |
