| Government | Lebanon |
| --- | --- |
| Country name: | conventional long form: Lebanese Republic |
| Country name: | conventional short form: Lebanon |
| Country name: | local long form: Al Jumhuriyah al Lubnaniyah |
| Country name: | local short form: Lubnan |
| Country name: | former: Greater Lebanon |
| Country name: | etymology: derives from the Semitic root "lbn" meaning "white" and refers to snow-capped Mount Lebanon |
| Government type: | parliamentary republic |
| Capital: | name: Beirut |
| Capital: | geographic coordinates: 33 52 N, 35 30 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Capital: | etymology: derived from the Canaanite or Phoenician word "ber'ot," meaning "the wells" or "fountain," which referred to the site's accessible water table |
| Administrative divisions: | 8 governorates (mohafazat, singular - mohafazah); Aakkar, Baalbek-Hermel, Beqaa (Bekaa), Beyrouth (Beirut), Liban-Nord (North Lebanon), Liban-Sud (South Lebanon), Mont-Liban (Mount Lebanon), Nabatiye |
| Independence: | 22 November 1943 (from League of Nations mandate under French administration) |
| National holiday: | Independence Day, 22 November (1943) |
| Constitution: | history: drafted 15 May 1926, adopted 23 May 1926 |
| Constitution: | amendments: proposed by the president of the republic and introduced as a government bill to the National Assembly or proposed by at least 10 members of the Assembly and agreed upon by two thirds of its members;Â if proposed by the National Assembly, review and approval by two-thirds majority of the Cabinet is required; if approved, the proposal is next submitted to the Cabinet for drafting as an amendment; Cabinet approval requires at least two-thirds majority, followed by submission to the National Assembly for discussion and vote; passage requires at least two-thirds majority vote of a required two-thirds quorum of the Assembly membership and promulgation by the president; amended several times, last in 1989 |
| Legal system: | mixed legal system of civil law based on the French civil code, Ottoman legal tradition, and religious laws covering personal status, marriage, divorce, and other family relations of the Jewish, Islamic, and Christian communities |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: the father must be a citizen of Lebanon |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: unknown |
| Suffrage: | 21 years of age; authorized for all men and women regardless of religion; excludes persons convicted of felonies and other crimes or those imprisoned; excludes all military and security service personnel regardless of rank |
| Executive branch: | chief of state: President Michel AWN (since 31 October 2016) |
| Executive branch: | head of government: Â Prime Minister Saad HARIRI (since 22 October 2020) |
| Executive branch: | cabinet: Cabinet chosen by the prime minister in consultation with the president and National Assembly |
| Executive branch: | elections/appointments: president indirectly elected by the National Assembly with two-thirds majority vote in the first round and if needed absolute majority vote in a second round for a 6-year term (eligible for non-consecutive terms); last held on 31 October 2016 (next to be held in 2022); prime minister appointed by the president in consultation with the National Assembly; deputy prime minister determined during cabinet formation |
| Executive branch: | election results: Michel AWN elected president in second round; National Assembly vote - Michel AWN (FPM) 83; note - in the initial election held on 23 April 2014, no candidate received the required two-thirds vote, and subsequent attempts failed because the Assembly lacked the necessary quorum to hold a vote; the president was finally elected in its 46th attempt on 31 October 2016 |
| Legislative branch: | description: unicameral National Assembly or Majlis al-Nuwab in Arabic or Assemblee Nationale in French (128 seats; members directly elected by listed-based proportional representation vote; members serve 4-year terms); prior to 2017, the electoral system was by majoritarian vote |
| Legislative branch: | elections: last held on 6 May 2018 (next to be held in 2022) |
| Legislative branch: | election results: percent of vote by coalition - NA; seats by coalition â€“ Strong Lebanon Bloc (Free Patriotic Movement-led) 25; Future Bloc (Future Movement-led) 20; Development and Liberation Bloc (Amal Movement-led) 16; Loyalty to the Resistance Bloc (Hizballah-led) 15; Strong Republic Bloc (Lebanese Forces-led) 15; Democratic Gathering (Progressive Socialist Party-led) 9; Independent Centre Bloc 4; National Bloc (Marada Movement-led) 3; Syrian Social Nationalist Party 3; Tashnaq 3; Kataâ€™ib 3; other 8; independent 4; Â composition - men 122, women 6, percent of women 4.6% |
| Legislative branch: | note: Lebanonâ€™s constitution states the National Assembly cannot conduct regular business until it elects a president when the position is vacant |
| Judicial branch: | highest courts: Court of Cassation or Supreme Court (organized into 8 chambers, each with a presiding judge and 2 associate judges); Constitutional Council (consists of 10 members) |
| Judicial branch: | judge selection and term of office: Court of Cassation judges appointed by Supreme Judicial Council, a 10-member body headed by the chief justice, and includes other judicial officials; judge tenure NA; Constitutional Council members appointed - 5 by the Council of Ministers and 5 by parliament; members serve 5-year terms |
| Judicial branch: | subordinate courts: Courts of Appeal; Courts of First Instance; specialized tribunals, religious courts; military courts |
| Political parties and leaders: | Al-Ahbash or Association of Islamic Charitable Projects [Adnan TARABULSI] |
| Political parties and leaders: | Amal Movement [Nabih BERRI] |
| Political parties and leaders: | Azm Movement [Najib MIQATI] |
| Political parties and leaders: | Baâ€™th Arab Socialist Party of Lebanon [Fayiz SHUKR] |
| Political parties and leaders: | Free Patriotic Movement or FPM [Gibran BASSIL] |
| Political parties and leaders: | Future Movement Bloc [Sa'ad al-HARIRI] |
| Political parties and leaders: | Hizballah [Hassan NASRALLAH] |
| Political parties and leaders: | Islamic Actions Front [Sheikh Zuhayr al-JUâ€™AYD] |
| Political parties and leaders: | Kata'ib Party [Sami GEMAYEL] |
| Political parties and leaders: | Lebanese Democratic Party [Talal ARSLAN] |
| Political parties and leaders: | Lebanese Forces or LF [Samir JA'JA] |
| Political parties and leaders: | Marada Movement [Sulayman FRANJIEH] |
| Political parties and leaders: | Progressive Socialist Party or PSP [Walid JUNBLATT] |
| Political parties and leaders: | Social Democrat Hunshaqian Party [Sabuh KALPAKIAN]Syrian Social Nationalist Party [Ali QANSO] |
| Political parties and leaders: | Syrian Social Nationalist Party [Hanna al-NASHIF] |
| Political parties and leaders: | Tashnaq or Armenian Revolutionary Federation [Hagop PAKRADOUNIAN] |
| International organization participation: | ABEDA, AFESD, AMF, CAEU, FAO, G-24, G-77, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IPU, ISO, ITSO, ITU, LAS, MIGA, NAM, OAS (observer), OIC, OIF, OPCW, PCA, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNRWA, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Gabriel ISSA (since 24 January 2018) |
| Diplomatic representation in the US: | chancery: 2560 28th Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 939-6300 |
| Diplomatic representation in the US: | FAX: [1] (202) 939-6324 |
| Diplomatic representation in the US: | consulate(s) general: Detroit, New York, Los Angeles |
| Diplomatic representation from the US: | chief of mission: Ambassador Dorothy SHEA (since 11 March 2020) |
| Diplomatic representation from the US: | telephone: [961] (04) 543 600 |
| Diplomatic representation from the US: | embassy: Awkar-Facing the Municipality, Main Street, Beirut |
| Diplomatic representation from the US: | mailing address: P. O. Box 70-840, Antelias, Lebanon; from US: US Embassy Beirut, 6070 Beirut Place, Washington, DC 20521-6070 |
| Diplomatic representation from the US: | FAX: [961] (4) 544136 |
