| Government | Iran |
| --- | --- |
| Country name: | conventional long form: Islamic Republic of Iran |
| Country name: | conventional short form: Iran |
| Country name: | local long form: Jomhuri-ye Eslami-ye Iran |
| Country name: | local short form: Iran |
| Country name: | former: Persia |
| Government type: | theocratic republic |
| Capital: | name: Tehran |
| Capital: | geographic coordinates: 35 40 N, 51 25 E |
| Capital: | time difference: UTC+3.5 (8.5 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 30 provinces (ostanha, singular - ostan); Ardabil, Azarbayjan-e Gharbi, Azarbayjan-e Sharqi, Bushehr, Chahar Mahall va Bakhtiari, Esfahan, Fars, Gilan, Golestan, Hamadan, Hormozgan, Ilam, Kerman, Kermanshah, Khorasan-e Janubi, Khorasan-e Razavi, Khorasan-e Shemali, Khuzestan, Kohgiluyeh va Buyer Ahmad, Kordestan, Lorestan, Markazi, Mazandaran, Qazvin, Qom, Semnan, Sistan va Baluchestan, Tehran, Yazd, Zanjan |
| Independence: | 1 April 1979 (Islamic Republic of Iran proclaimed) |
| National holiday: | Republic Day, 1 April (1979) |
| Constitution: | 2-3 December 1979; revised 1989 to expand powers of the presidency and eliminate the prime ministership |
| Legal system: | based on Shari'a law system; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Supreme Leader Ali Hoseini-KHAMENEI (since 4 June 1989) |
| Executive branch: | head of government: President Mahmud AHMADI-NEJAD (since 3 August 2005); First Vice President Parviz DAVUDI (since 11 September 2005) |
| Executive branch: | cabinet: Council of Ministers selected by the president with legislative approval; the Supreme Leader has some control over appointments to the more sensitive ministries |
| Executive branch: | note: also considered part of the Executive branch of government are three oversight bodies: 1) Assembly of Experts, a popularly elected body of 86 religious scholars constitutionally charged with determining the succession of the Supreme Leader - based on his qualifications in the field of jurisprudence and commitment to the principles of the revolution, reviewing his performance, and deposing him if deemed necessary; 2) Expediency Council or the Council for the Discernment of Expediency, is a policy advisory and implementation board consisting of permanent members, who number over 40 and represent all major government factions and include the heads of the three branches of government, and the clerical members of the Council of Guardians (see next); permanent members are appointed by the Supreme Leader for five-year terms; temporary members, including Cabinet members and Majles committee chairmen, are selected when issues under their jurisdiction come before the Expediency Council; the Expediency Council exerts supervisory authority over the executive, judicial, and legislative branches and resolves legislative issues on which the Majles and the Council of Guardians disagree and since 1989 has been used to advise national religious leaders on matters of national policy; in 2005 the Council's powers were expanded, at least on paper, to act as a supervisory body for the government; 3) Council of Guardians of the Constitution or Council of Guardians or Guardians Council is a 12-member board made up of six clerics chosen by the Supreme Leader and six jurists selected by the Majles from a list of candidates recommended by the judiciary (which in turn is controlled by the Supreme Leader) for six-year terms; this Council determines whether proposed legislation is both constitutional and faithful to Islamic law, vets candidates for suitability, and supervises national elections |
| Executive branch: | elections: Supreme Leader appointed for life by the Assembly of Experts; Assembly of Experts elected by popular vote for an eight-year term; last election held 15 December 2006 concurrently with municipal elections; president elected by popular vote for a four-year term (eligible for a second term and third nonconsecutive term); last held 17 June 2005 with a two-candidate runoff on 24 June 2005 (next presidential election slated for 2009) |
