| Government | IRAN |
| --- | --- |
| Country name: | conventional long form: Islamic Republic of Iran |
| Country name: | conventional short form: Iran |
| Country name: | local long form: Jomhuri-ye Eslami-ye Iran |
| Country name: | local short form: Iran |
| Country name: | former: Persia |
| Government type: | theocratic republic |
| Capital: | name: Tehran |
| Capital: | geographic coordinates: 35 42 N, 51 25 E |
| Capital: | time difference: UTC+3.5 (8.5 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins fourth Tuesday in March; ends fourth Thursday in September |
| Administrative divisions: | 31 provinces (ostanha, singular - ostan); Alborz, Ardabil, Azarbayjan-e Gharbi (West Azerbaijan), Azarbayjan-e Sharqi (East Azerbaijan), Bushehr, Chahar Mahal va Bakhtiari, Esfahan, Fars, Gilan, Golestan, Hamadan, Hormozgan, Ilam, Kerman, Kermanshah, Khorasan-e Jonubi (South Khorasan), Khorasan-e Razavi (Razavi Khorasan), Khorasan-e Shomali (North Khorasan), Khuzestan, Kohgiluyeh va Bowyer Ahmad, Kordestan, Lorestan, Markazi, Mazandaran, Qazvin, Qom, Semnan, Sistan va Baluchestan, Tehran, Yazd, Zanjan |
| Independence: | 1 April 1979 (Islamic Republic of Iran proclaimed); notable earlier dates: ca. 550 B.C. (Achaemenid (Persian) Empire established); A.D. 1501 (Iran reunified under the Safavid Dynasty); 12 December 1925 (modern Iran established under the PAHLAVI Dynasty) |
| National holiday: | Republic Day, 1 April (1979) |
| Constitution: | previous 1906; latest adopted 24 October 1979, effective 3 December 1979; amended 1989 (2013) |
| Legal system: | religious legal system based on secular and Islamic law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Supreme Leader Ali Hoseini-KHAMENEI (since 4 June 1989) |
| Executive branch: | head of government: President Hasan Fereidun RUHANI (since 3 August 2013); First Vice President Eshaq JAHANGIRI (since 5 August 2013) |
| Executive branch: | cabinet: Council of Ministers selected by the president with legislative approval; the supreme leader has some control over appointments to several ministries |
| Executive branch: | elections/appointments: supreme leader appointed for life by Assembly of Experts; president directly elected by absolute majority popular vote in 2 rounds if needed for a 4-year term (eligible for a second term and an additional nonconsecutive term); election last held on 14 June 2013 (next to be held in June 2017) |
| Executive branch: | election results: Hasan Fereidun RUHANI elected president; percent of vote - Hasan Fereidun RUHANI 50.7%, Mohammad Baqer QALIBAF 16.5%, Saeed JALILI 11.4%, Mohsen REZAI 10.6%, Ali Akber VELAYATI 6.2%, other 4.6% |
| Executive branch: | note: 3 oversight bodies are also considered part of the executive branch of government |
| Legislative branch: | description: unicameral Islamic Consultative Assembly or Majles-e Shura-ye Eslami or Majles (290 seats; members directly elected in single- and multi-seat constituencies by two-round vote; members serve 4-year terms); note - all candidates to the Majles must be approved by the Guardian Council, a 12-member group of which 6 are appointed by the supreme leader and 6 are jurists nominated by the judiciary and elected by the Majles |
| Legislative branch: | elections: last held on 2 March 2012 (first round); second round held on 4 May 2012; (next to be held on 26 February 2016) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - NA |
| Judicial branch: | highest court(s): Supreme Court (consists of a president and NA judges) |
