| Government | Senegal |
| --- | --- |
| Country name: | conventional long form: Republic of Senegal |
| Country name: | conventional short form: Senegal |
| Country name: | local long form: Republique du Senegal |
| Country name: | local short form: Senegal |
| Country name: | former: Senegambia (along with The Gambia), Mali Federation |
| Government type: | republic |
| Capital: | name: Dakar |
| Capital: | geographic coordinates: 14 40 N, 17 26 W |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 14 regions (regions, singular - region); Dakar, Diourbel, Fatick, Kaffrine, Kaolack, Kedougou, Kolda, Louga, Matam, Saint-Louis, Sedhiou, Tambacounda, Thies, Ziguinchor |
| Independence: | 4 April 1960 (from France); note - complete independence achieved upon dissolution of federation with Mali on 20 August 1960 |
| National holiday: | Independence Day, 4 April (1960) |
| Constitution: | adopted 7 January 2001; amended many times |
| Legal system: | civil law system based on French law; judicial review of legislative acts in Constitutional Court |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Abdoulaye WADE (since 1 April 2000) |
| Executive branch: | head of government: Prime Minister Soulayemane Ndene NDIAYE (since 1 May 2009) |
| Executive branch: | cabinet: Council of Ministers appointed by the prime minister in consultation with the president |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president elected by popular vote for a five-year term (eligible for a second term) under new constitution; election last held on 25 February 2007 (next to be held in 2012); prime minister appointed by the president |
| Executive branch: | election results: Abdoulaye WADE reelected president; percent of vote - Abdoulaye WADE 55.9%, Idrissa SECK 14.9%, Ousmane Tanor DIENG 13.6%, Moustapha NIASSE 5.9%, other 9.7% |
| Legislative branch: | bicameral Parliament consisting of the Senate, reinstituted in 2007, (100 seats; 35 members indirectly elected and 65 members appointed by the president) and the National Assembly or Assemblee Nationale (150 seats; 90 members elected by direct popular vote and 60 elected by proportional representation from party lists to serve five-year terms) |
| Legislative branch: | elections: Senate - last held on 19 August 2007 (next to be held - NA); National Assembly - last held on 3 June 2007 (next to be held in 2012); note - the National Assembly in December 2005 voted to postpone legislative elections originally scheduled for 2006; legislative elections were first rescheduled to coincide with the 25 February 2007 presidential elections and later for 3 June 2007; the election was boycotted by 12 opposition parties, including the former ruling Socialist Party, which resulted in a record-low 35% voter turnout |
| Legislative branch: | election results: Senate results - percent of vote by party - NA; seats by party - PDS 34, AJ/PADS 1, 65 appointed by the president; National Assembly results - percent of vote by party - NA; seats by party - SOPI Coalition 131, other 19 |
| Judicial branch: | Constitutional Court; Council of State; Court of Final Appeals or Cour de Cassation; Court of Appeals |
