| Government | Senegal |
| --- | --- |
| Country name: | conventional long form: Republic of Senegal |
| Country name: | conventional short form: Senegal |
| Country name: | local long form: Republique du Senegal |
| Country name: | local short form: Senegal |
| Country name: | former: Senegambia (along with The Gambia); Mali Federation |
| Government type: | republic |
| Capital: | name: Dakar |
| Capital: | geographic coordinates: 14 40 N, 17 26 W |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 11 regions (regions, singular - region); Dakar, Diourbel, Fatick, Kaolack, Kolda, Louga, Matam, Saint-Louis, Tambacounda, Thies, Ziguinchor |
| Independence: | 4 April 1960 (from France); note - complete independence achieved upon dissolution of federation with Mali on 20 August 1960 |
| National holiday: | Independence Day, 4 April (1960) |
| Constitution: | adopted 7 January 2001 |
| Legal system: | based on French civil law system; judicial review of legislative acts in Constitutional Court; the Council of State audits the government's accounting office; accepts compulsory ICJ jurisdiction with reservations |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Abdoulaye WADE (since 1 April 2000) |
| Executive branch: | head of government: Prime Minister Cheikh Hadjibou SOUMARE (since 19 June 2007) |
| Executive branch: | cabinet: Council of Ministers appointed by the prime minister in consultation with the president |
| Executive branch: | elections: president elected by popular vote for a five-year term (eligible for a second term) under new constitution; election last held on 25 February 2007 (next to be held in 2012); prime minister appointed by the president |
| Executive branch: | election results: Abdoulaye WADE reelected president in the first round of voting; percent of vote - Abdoulaye WADE 55.9%, Idrissa SECK 14.9%, Ousmane Tanor DIENG 13.6%, Moustapha NIASSE 5.9%, other 9.7% |
| Legislative branch: | bicameral Parliament consisting of the National Assembly or Assemblee Nationale (150 seats; 90 members elected by direct popular vote with the remaining members elected by proportional representation from party lists to serve five-year terms) and the Senate reinstituted in 2007 (100 seats; 35 indirectly elected with the remaining 65 members to be appointed by the president) |
| Legislative branch: | elections: National Assembly - last held on 3 June 2007 (next to be held 2012); note - the National Assembly in December 2005 voted to postpone legislative elections originally scheduled for 2006; legislative elections were first rescheduled to coincide with the 25 February 2007 presidential elections and later rescheduled for 3 June 2007; the June election was boycotted by 12 opposition parties, including the former ruling Socialist Party, that resulted in a record-low, 35-percent voter turnout; Senate - last held 19 August 2007 (next to be held - NA) |
| Legislative branch: | election results: National Assembly results - percent of vote by party - NA; seats by party - SOPI Coalition 131, other 19; Senate results - percent of vote by party - NA; seats by party - PDS 34, AJ/PADS 1, 65 to be appointed by the president |
| Judicial branch: | Constitutional Court; Council of State; Court of Final Appeals or Cour de Cassation; Court of Appeals |
| Political parties and leaders: | African Party of Independence [Majhemout DIOP]; And-Jef/African Party for Democracy and Socialism or AJ/PADS) [Landing SAVANE]; Alliance of Forces of Progress or AFP [Moustapha NIASSE]; Democratic and Patriotic Convention or CDP (also known as Garab-Gi) [Dr. Iba Der THIAM]; Democratic League-Labor Party Movement or LD-MPT [Dr. Abdoulaye BATHILY]; Front for Socialism and Democracy or FSD [Cheikh Abdoulaye Bamba DIEYE]; Gainde Centrist Bloc or BGC [Jean-Paul DIAS]; Independence and Labor Party or PIT [Amath DANSOKHO]; Jef-Jel [Talla SYLLA]; National Democratic Rally or RND [Madior DIOUF]; People's Labor Party or PTP [Elhadji DIOUF]; Reform Party or PR [Abdourahim AGNE]; Rewmi [Idrissa SECK]; Senegalese Democratic Party or PDS [Abdoulaye WADE]; Socialist Party or PS [Ousmane Tanor DIENG]; SOPI Coalition [Abdoulaye WADE] (a coalition led by the PDS); Union for Democratic Renewal or URD [Djibo Leyti KA] |
| Political pressure groups and leaders: | labor; Sufi and Mouride brotherhoods; students; teachers |
| International organization participation: | ACCT, ACP, AfDB, AU, ECOWAS, FAO, FZ, G-15, G-77, IAEA, IBRD, ICAO, ICC, ICCt, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, ITUC, MIGA, MONUC, NAM, OIC, OIF, ONUB, OPCW, PCA, UN, UNCTAD, UNESCO, UNIDO, Union Latina, UNMIL, UNMOVIC, UNOCI, UNWTO, UPU, WADB (regional), WAEMU, WCL, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Amadou Lamine BA |
| Diplomatic representation in the US: | chancery: 2112 Wyoming Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 234-0540 |
| Diplomatic representation in the US: | FAX: [1] (202) 332-6315 |
| Diplomatic representation in the US: | consulate(s) general: Houston, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Jay Thomas Smith |
| Diplomatic representation from the US: | embassy: Avenue Jean XXIII at the corner of Rue Kleber, Dakar |
| Diplomatic representation from the US: | mailing address: B. P. 49, Dakar |
| Diplomatic representation from the US: | telephone: [221] 33-823-4296 |
| Diplomatic representation from the US: | FAX: [221] 33-822-2991 |
| Flag description: | three equal vertical bands of green (hoist side), yellow, and red with a small green five-pointed star centered in the yellow band; uses the popular pan-African colors of Ethiopia |
