| Government | Senegal |
| --- | --- |
| Country name: | conventional long form: Republic of Senegal |
| Country name: | conventional short form: Senegal |
| Country name: | local long form: Republique du Senegal |
| Country name: | local short form: Senegal |
| Country name: | former: Senegambia (along with The Gambia), Mali Federation |
| Country name: | etymology: named for the Senegal River that forms the northern border of the country; many theories exist for the origin of the river name; perhaps the most widely cited derives the name from "Azenegue," the Portuguese appellation for the Berber Zenaga people who lived north of the river |
| Government type: | presidential republic |
| Capital: | name: Dakar |
| Capital: | geographic coordinates: 14 44 N, 17 38 W |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 14 regions (regions, singular - region); Dakar, Diourbel, Fatick, Kaffrine, Kaolack, Kedougou, Kolda, Louga, Matam, Saint-Louis, Sedhiou, Tambacounda, Thies, Ziguinchor |
| Independence: | 4 April 1960 (from France); note - complete independence achieved upon dissolution of federation with Mali on 20 August 1960 |
| National holiday: | Independence Day, 4 April (1960) |
| Constitution: | history: previous 1959 (preindependence), 1963; latest adopted by referendum 7 January 2001, promulgated 22 January 2001 (2017) |
| Constitution: | amendments: proposed by the president of the republic, by the prime minister through the president, or by the National Assembly; passage requires Assembly approval and approval in a referendum; the president can bypass a referendum and submit an amendment directly to the Assembly, which requires at least three-fifths majority vote; the republican form of government is not amendable; amended several times, last in 2016 (2017) |
| Legal system: | civil law system based on French law; judicial review of legislative acts in Constitutional Court |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Senegal |
| Citizenship: | dual citizenship recognized: no, but Senegalese citizens do not automatically lose their citizenship if they acquire citizenship in another state |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 18 years of age; universal |
| Judicial branch: | highest courts: Supreme Court or Cour Supreme (consists of the court president and 12 judges and organized into civil and commercial, criminal, administrative, and social chambers); Constitutional Council or Conseil Constitutionel (consists of 7 members, including the court president, vice president, and 5 judges) |
| Judicial branch: | judge selection and term of office: Supreme Court judges appointed by the president of the republic upon recommendation of the Higher Council of the Judiciary, a body chaired by the president; judge tenure NA; Constitutional Council members appointed - 5 by the president and 2 by the National Assembly speaker; judges serve 6-year terms, with renewal of 2 members every 2 years |
| Judicial branch: | subordinate courts: High Court of Justice (for crimes of high treason by the president); Courts of Appeal; Court of Auditors; assize courts; regional and district courts; Labor Court |
| Executive branch: | chief of state: President Macky SALL (since 2 April 2012) |
| Executive branch: | head of government: Prime Minister Mohammed Abdallah Boun DIONNE (since 4 July 2014) |
| Executive branch: | cabinet: Council of Ministers appointed by the prime minister in consultation with the president |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 7-year term (eligible for a second consecutive term); election last held on 26 February 2012 with a runoff on 25 March 2012 (next to be held on 24 February 2019); prime minister appointed by the president |
| Executive branch: | election results: Macky SALL elected president in second round; percent of vote - Macky SALL (APR) 65.8%, Abdoulaye WADE (PDS) 34.2% |
| Legislative branch: | description: unicameral National Assembly or Assemblee Nationale (165 seats; 105 members including 15 representing Senegalese diaspora directly elected by plurality vote in single- and multi-seat constituencies and 60 members directly elected by proportional representation vote in single- and multi-seat constituencies) |
