| Government | Kosovo |
| --- | --- |
| Country name: | conventional long form: Republic of Kosovo |
| Country name: | conventional short form: Kosovo |
| Country name: | local long form: Republika e Kosoves (Republika Kosovo) |
| Country name: | local short form: Kosove (Kosovo) |
| Country name: | etymology: name derives from the Serbian "kos" meaning "blackbird," an ellipsis (linguistic omission) for "kosove polje" or "field of the blackbirds" |
| Government type: | parliamentary republic |
| Capital: | name: Pristina (Prishtine, Prishtina) |
| Capital: | geographic coordinates: 42 40 N, 21 10 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Capital: | etymology: the name may derive from a Proto-Slavic word reconstructed as "pryshchina," meaning "spring (of water)" |
| Administrative divisions: | 38 municipalities (komunat, singular - komuna (Albanian); opstine, singular - opstina (Serbian)); Decan (Decani), Dragash (Dragas), Ferizaj (Urosevac), Fushe Kosove (Kosovo Polje), Gjakove (Dakovica), Gjilan (Gnjilane), Gllogovc (Glogovac), Gracanice (Gracanica), Hani i Elezit (Deneral Jankovic), Istog (Istok), Junik, Kacanik, Kamenice (Kamenica), Kline (Klina), Kllokot (Klokot), Leposaviq (Leposavic), Lipjan (Lipljan), Malisheve (Malisevo), Mamushe (Mamusa), Mitrovice e Jugut (Juzna Mitrovica) [South Mitrovica], Mitrovice e Veriut (Severna Mitrovica) [North Mitrovica], Novoberde (Novo Brdo), Obiliq (Obilic), Partesh (Partes), Peje (Pec), Podujeve (Podujevo), Prishtine (Pristina), Prizren, Rahovec (Orahovac), Ranillug (Ranilug), Shterpce (Strpce), Shtime (Stimlje), Skenderaj (Srbica), Suhareke (Suva Reka), Viti (Vitina), Vushtrri (Vucitrn), Zubin Potok, Zvecan |
| Independence: | 17 February 2008 (from Serbia) |
| National holiday: | Independence Day, 17 February (2008) |
| Constitution: | history: previous 1974, 1990; latest (postindependence) draft finalized 2 April 2008, signed 7 April 2008, ratified 9 April 2008, entered into force 15 June 2008; note - amendment 24, passed by the Assembly in August 2015, established the Kosovo Relocated Specialist Institution, referred to as the Kosovo Specialist Chamber or "Specialist Court," to try war crimes allegedly committed by members ofÂ the Kosovo Liberation Army in the late 1990s |
| Constitution: | amendments: proposed by the government, by the president of the republic, or by one fourth of Assembly deputies; passage requires two-thirds majority vote of the Assembly, including two-thirds majority vote of deputies representing non-majority communities, followed by a favorable Constitutional Court assessment; amended several times, last in 2016 |
| Legal system: | civil law system; note - the European Union Rule of Law Mission (EULEX) retained limited executive powers within the Kosovo judiciary for complex cases from 2008 to 2018 |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Kosovo |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Acting President Vjosa OSMANI (since 5 November 2020); note: President Hashim THACI (since 7 April 2016) resigned 5 November 2020 |
| Executive branch: | head of government: Prime Minister Avdullah HOTI (since 3 June 2020) |
| Executive branch: | cabinet: Cabinet elected by the Assembly |
| Executive branch: | elections/appointments: president indirectly elected by at least two-thirds majority vote of the Assembly for a 5-year term; if a candidate does not attain a two-thirds threshold in the first two ballots, the candidate winning a simple majority vote in the third ballot is elected (eligible for a second term); election last held on 26 February 2016 (next to be held in 2021); prime minister indirectly elected by the Assembly |
| Executive branch: | election results: Hashim THACI elected president in the third ballot; Assembly vote - Hashim THACI (PDK) 71, Rafet RAMA (PDK) 0, invalid 10; Avdullah HOTI (LDK) elected prime minister; Assembly vote - 61 of 85 |
| Legislative branch: | description: unicameral Assembly or Kuvendi i Kosoves/Skupstina Kosova (120 seats; 100 members directly elected by open-list proportional representation vote with 20 seats reserved for ethnic minorities - 10 for Serbs and 10 for other ethnic minorities; members serve 4-year terms) |
| Legislative branch: | elections: last held on 6 October 2019 (next to be held in 2023); note - early elections were held on 6 October 2019 following the dissolution of parliament on 22 August 2019, as a result of political deadlock since the resignation of Prime Minister HARADINAJ on 19 July 2019 |
| Legislative branch: | election results: percent of vote by party/coalition - VV 25.5%, LDK 24.8%, PDK 21.2%, AAK-PSD 11.6%, Serb List 6.6%, other 10.3%; seats by party/coalition - VV 31, LDK 30, PDK 25, AAK-PSD 14, Serb List 10, Vakat 2, KDTP 2, other 6; composition - men NA, women NA, percent of women NA% |
| Judicial branch: | highest courts: Supreme Court (consists of the court president and 18 judges and organized into Appeals Panel of the Kosovo Property Agency and Special Chamber); Constitutional Court (consists of the court president, vice president, and 7 judges) |
| Judicial branch: | judge selection and term of office: Supreme Court judges nominated by the Kosovo Judicial Council, a 13-member independent body staffed by judges and lay members, and also responsible for overall administration of Kosovo's judicial system; judges appointed by the president of the Republic of Kosovo; judges appointed until mandatory retirement age; Constitutional Court judges nominated by the Kosovo Assembly and appointed by the president of the republic to serve single, 9-year terms |
| Judicial branch: | subordinate courts: Court of Appeals (organized into 4 departments: General, Serious Crime, Commercial Matters, and Administrative Matters); Basic Court (located in 7 municipalities, each with several branches) |
| Judicial branch: | note: in August 2015, the Kosovo Assembly approved a constitutional amendment that establishes the Kosovo Relocated Specialist Judicial Institution, also referred to as the Kosovo Specialist Chambers or "Special Court"; the court, located at the Hague in the Netherlands, began operating in late 2016 and has jurisdiction to try crimes against humanity, war crimes, and other crimes under Kosovo law that occurred in the 1998-2000 period |
| Political parties and leaders: | Alliance for the Future of Kosovo or AAK [Ramush HARADINAJ] |
| Political parties and leaders: | Alternativa [Mimoza KUSARI-LILA] |
| Political parties and leaders: | Democratic League of Kosovo or LDK [Isa MUSTAFA] |
| Political parties and leaders: | Democratic Party of Kosovo or PDK [Kadri VESELI] |
| Political parties and leaders: | Independent Liberal Party or SLS [Slobodan PETROVIC] |
| Political parties and leaders: | Initiative for Kosovo or NISMA [Fatmir LIMAJ] |
| Political parties and leaders: | Movement for Self-Determination (Vetevendosje) or VV [Albin KURTI] |
| Political parties and leaders: | New Kosovo Alliance or AKR [Behgjet PACOLLI] |
| Political parties and leaders: | Serb List [Goran RAKIC] |
| Political parties and leaders: | Social Democratic Party of Kosovo or PSD [Shpend AHMETI] |
| Political parties and leaders: | Turkish Democratic Party of Kosovo or KDTP [Mahir YAGCILAR] |
| Political parties and leaders: | Vakat Coalition or VAKAT [Rasim DEMIRI] |
| International organization participation: | IBRD, IDA, IFC, IMF, ITUC (NGOs), MIGA, OIF (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Vlora CITAKU (since 17 September 2015) |
| Diplomatic representation in the US: | chancery: 2175 K Street NW, Suite 300, Washington, DC 20037 |
| Diplomatic representation in the US: | telephone: [1] (202) 450-2130 |
| Diplomatic representation in the US: | FAX: [1] (202) 735-0609 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation in the US: | consulate(s): Des Moines (IA) |
| Diplomatic representation from the US: | chief of mission: Ambassador Philip KOSNETT (since 3 December 2018) |
| Diplomatic representation from the US: | telephone: [383] 38 59 59 3000 |
| Diplomatic representation from the US: | embassy: Arberia/Dragodan, Nazim Hikmet 30, Pristina |
| Diplomatic representation from the US: | mailing address: use embassy street address |
| Diplomatic representation from the US: | FAX: [383] 38 549 890 |
| Flag description: | centered on a dark blue field is a gold-colored silhouette of Kosovo surmounted by six white, five-pointed stars arrayed in a slight arc; each star represents one of the major ethnic groups of Kosovo: Albanians, Serbs, Turks, Gorani, Roma, and Bosniaks |
| Flag description: | note: one of only two national flags that uses a map as a design element; the flag of Cyprus is the other |
| National symbol(s): | six, five-pointed, white stars; national colors: blue, gold, white |
| National anthem: | name: Europe |
| National anthem: | lyrics/music: no lyrics/Mendi MENGJIQI |
| National anthem: | note: adopted 2008; Kosovo chose to exclude lyrics in its anthem so as not to offend the country's minority ethnic groups |
