| Government | Lesotho |
| --- | --- |
| Country name: | conventional long form: Kingdom of Lesotho |
| Country name: | conventional short form: Lesotho |
| Country name: | former: Basutoland |
| Government type: | parliamentary constitutional monarchy |
| Capital: | Maseru |
| Administrative divisions: | 10 districts; Berea, Butha-Buthe, Leribe, Mafeteng, Maseru, Mohales Hoek, Mokhotlong, Qacha's Nek, Quthing, Thaba-Tseka |
| Independence: | 4 October 1966 (from UK) |
| National holiday: | Independence Day, 4 October (1966) |
| Constitution: | 2 April 1993 |
| Legal system: | based on English common law and Roman-Dutch law; judicial review of legislative acts in High Court and Court of Appeal; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: King LETSIE III (since 7 February 1996); note - King LETSIE III formerly occupied the throne from November 1990 to February 1995, while his father was in exile |
| Executive branch: | head of government: Prime Minister Pakalitha MOSISILI (since 23 May 1998) |
| Executive branch: | cabinet: Cabinet |
| Executive branch: | elections: none; according to the constitution, the leader of the majority party in the Assembly automatically becomes prime minister; the monarch is hereditary, but, under the terms of the constitution, which came into effect after the March 1993 election, the monarch is a "living symbol of national unity" with no executive or legislative powers; under traditional law the college of chiefs has the power to determine who is next in the line of succession, who shall serve as regent in the event that the successor is not of mature age, and may even depose the monarch |
| Legislative branch: | bicameral Parliament consists of the Senate (33 members - 22 principal chiefs and 11 other members appointed by the ruling party) and the Assembly (120 seats, 80 by direct popular vote and 40 by proportional vote; members elected by popular vote for five-year terms); note - number of seats in the Assembly rose from 80 to 120 in the May 2002 election |
| Legislative branch: | elections: last held 25 May 2002 (next to be held NA May 2007) |
| Legislative branch: | election results: percent of vote by party - LCD 54%, BNP 21%, LPC 7%, other 18%; seats by party - LCD 76, BNP 21, LPC 5, other 18 |
| Judicial branch: | High Court (chief justice appointed by the monarch); Court of Appeal; Magistrate's Court; customary or traditional court |
| Political parties and leaders: | Basotho Congress Party or BCP [Tseliso MAKHAKHE]; Basotho National Party or BNP [Maj. Gen. Justine Metsing LEKHANYA]; Lesotho Congress for Democracy or LCD [Phebe MOTEBANO, chairwoman; Pakalitha MOSISILI, leader] - the governing party; Lesotho People's Congress or LPC [Kelebone MAOPE]; United Democratic Party or UDP [Charles MOFELI]; Marematlou Freedom Party or MFP and Setlamo Alliance [Vincent MALEBO]; Progressive National Party or PNP [Chief Peete Nkoebe PEETE]; Sefate Democratic Party or SDP [Bofihla NKUEBE] |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACP, AfDB, C, ECA, FAO, G-77, IBRD, ICAO, ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, ITU, NAM, OAU, OPCW, SACU, SADC, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| Diplomatic representation in the US: | chief of mission: Ambassador Molelekeng E. RAPOLAKI |
| Diplomatic representation in the US: | FAX: [1] (202) 234-6815 |
| Diplomatic representation in the US: | telephone: [1] (202) 797-5533 through 5536 |
| Diplomatic representation in the US: | chancery: 2511 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation from the US: | chief of mission: Ambassador Robert G. LOFTIS |
| Diplomatic representation from the US: | embassy: 254 Kingsway, Maseru West (Consular Section) |
| Diplomatic representation from the US: | mailing address: P. O. Box 333, Maseru 100, Lesotho |
| Diplomatic representation from the US: | telephone: [266] 312666 |
| Diplomatic representation from the US: | FAX: [266] 310116 |
| Flag description: | divided diagonally from the lower hoist side corner; the upper half is white, bearing the brown silhouette of a large shield with crossed spear and club; the lower half is a diagonal blue band with a green triangle in the corner |
