| Government | Lesotho |
| --- | --- |
| Country name: | conventional long form: Kingdom of Lesotho |
| Country name: | conventional short form: Lesotho |
| Country name: | local long form: Kingdom of Lesotho |
| Country name: | local short form: Lesotho |
| Country name: | former: Basutoland |
| Government type: | parliamentary constitutional monarchy |
| Capital: | name: Maseru |
| Capital: | geographic coordinates: 29 19 S, 27 29 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 10 districts; Berea, Butha-Buthe, Leribe, Mafeteng, Maseru, Mohale's Hoek, Mokhotlong, Qacha's Nek, Quthing, Thaba-Tseka |
| Independence: | 4 October 1966 (from the UK) |
| National holiday: | Independence Day, 4 October (1966) |
| Constitution: | 2 April 1993 |
| Legal system: | mixed legal system of English common law and Roman-Dutch law; judicial review of legislative acts in High Court and Court of Appeal |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: King LETSIE III (since 7 February 1996); note - King LETSIE III formerly occupied the throne from November 1990 to February 1995 while his father was in exile |
| Executive branch: | head of government: Prime Minister Pakalitha MOSISILI (since 23 May 1998) |
| Executive branch: | cabinet: Cabinet |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: according to the constitution, the leader of the majority party in the Assembly automatically becomes prime minister; the monarchy is hereditary, but, under the terms of the constitution that came into effect after the March 1993 election, the monarch is a "living symbol of national unity" with no executive or legislative powers; under traditional law the college of chiefs has the power to depose the monarch, determine who is next in the line of succession, or who shall serve as regent in the event that the successor is not of mature age |
| Legislative branch: | bicameral Parliament consists of the Senate (33 members - 22 principal chiefs and 11 other members appointed by the ruling party) and the Assembly (120 seats, 80 by popular vote and 40 by proportional vote; members elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: last held on 17 February 2007 (next to be held in 2012) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - LCD 61, NIP 21, ABC 17, LWP 10, ACP 4, BNP 3, other 4 |
| Judicial branch: | High Court (chief justice appointed by the monarch acting on the advice of the prime minister); Court of Appeal; Magistrate Courts; customary or traditional courts |
| Political parties and leaders: | Alliance of Congress Parties or ACP (including the Lesotho People's Congress or LCP [Kelebone MAOPE], the Basotholand African Congress or BAC [Khauhelo RALITAPOLE], and a faction of the Basotho Congress Party or BCP [Ntsukunyane MPHANYA]); All Basotho Convention or ABC [Thomas THABANE]; Basotho Batho Democratic Party or BBDP; Basotho Congress Party or BCP; Basotho Democratic National Party or BDNP [Thabang NYEOE]; Basotho National Party or BNP [vacant]; Basotholand African National Congress or BANC; Christian Democratic Party or CDP [Enerst RAMOKOENA]; Lesotho Congress for Democracy or LCD [Pakalitha MOSISILI] (the governing party); Lesotho Workers Party or LWP [Macaefa BILLY]; National Independent Party or NIP [Anthony MANYELI] |
| Political pressure groups and leaders: | Media Institute of Southern Africa, Lesotho chapter [Thabang MATJAMA] (pushes for media freedom) |
| International organization participation: | ACP, AfDB, AU, C, FAO, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IOM, IPU, ISO (correspondent), ITU, MIGA, NAM, OPCW, SACU, SADC, UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Molefi Christopher NYAKA |
| Diplomatic representation in the US: | chancery: 2511 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 797-5533 |
| Diplomatic representation in the US: | FAX: [1] (202) 234-6815 |
| Diplomatic representation from the US: | chief of mission: Ambassador Michele T. BOND |
| Diplomatic representation from the US: | embassy: 254 Kingsway, Maseru West (Consular Section) |
| Diplomatic representation from the US: | mailing address: P. O. Box 333, Maseru 100, Lesotho |
| Diplomatic representation from the US: | telephone: [266] 22 312666 |
| Diplomatic representation from the US: | FAX: [266] 22 310116 |
| Flag description: | three horizontal stripes of blue (top), white, and green in the proportions of 3:4:3; the colors represent rain, peace, and prosperity respectively; centered in the white stripe is a black Basotho hat representing the indigenous people; the flag was unfurled in October 2006 to celebrate 40 years of independence |
| National symbol(s): | Basotho hat |
| National anthem: | name: "Lesotho fatse la bo ntat'a rona" (Lesotho, Land of Our Fathers) |
| National anthem: | lyrics/music: Francois COILLARD/Ferdinand-Samuel LAUR |
| National anthem: | note: adopted 1967; the anthem's music derives from an 1823 Swiss songbook |
