| Government | MOROCCO |
| --- | --- |
| Country name: | conventional long form: Kingdom of Morocco |
| Country name: | conventional short form: Morocco |
| Country name: | local long form: Al Mamlakah al Maghribiyah |
| Country name: | local short form: Al Maghrib |
| Government type: | constitutional monarchy |
| Capital: | name: Rabat |
| Capital: | geographic coordinates: 34 01 N, 6 49 W |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1 hr, begins last Sunday in April; ends last Sunday in September |
| Administrative divisions: | 15 regions; Grand Casablanca, Chaouia-Ouardigha, Doukkala-Abda, Fes-Boulemane, Gharb-Chrarda-Beni Hssen, Guelmim-Es Smara, Laayoune-Boujdour-Sakia El Hamra, Marrakech-Tensift-Al Haouz, Meknes-Tafilalet, Oriental, Rabat-Sale-Zemmour-Zaer, Souss-Massa-Draa, Tadla-Azilal, Tanger-Tetouan, Taza-Al Hoceima-Taounate |
| Administrative divisions: | note: Morocco claims the territory of Western Sahara, the political status of which is considered undetermined by the US Government; portions of the regions Guelmim-Es Smara and Laayoune-Boujdour-Sakia El Hamra as claimed by Morocco lie within Western Sahara; Morocco also claims Oued Eddahab-Lagouira, another region that falls entirely within Western Sahara; as of April 2015, Morocco&rsquo;s parliament was examining legislation to reduce the number of regions from 16 to 12 under its &ldquo;advanced regionalization&rdquo; plan |
| Independence: | 2 March 1956 (from France) |
| National holiday: | Throne Day (accession of King MOHAMMED VI to the throne), 30 July (1999) |
| Constitution: | several previous; latest drafted 17 June 2011, approved by referendum 1 July 2011; note - sources disagree on whether the 2011 referendum was for a new constitution or for reforms to the previous constitution (2011) |
| Legal system: | mixed legal system of civil law based on French law and Islamic law; judicial review of legislative acts by Constitutional Court |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: King MOHAMMED VI (since 30 July 1999) |
| Executive branch: | head of government: Prime Minister Abdelillah BENKIRANE (since 29 November 2011) |
| Executive branch: | cabinet: Council of Ministers chosen by the prime minister in consultation with Parliament and appointed by the monarch |
| Executive branch: | elections/appointments: the monarchy is hereditary; prime minister appointed by the monarch from the majority party following legislative elections |
| Legislative branch: | description: bicameral Parliament consists of the Chamber of Advisors (90-120 seats; members indirectly elected by an electoral college of local councils, professional organizations, and labor unions; members serve 6-year terms) and the Chamber of Representatives (395 seats; 305 members directly elected in multi-seat constituencies by proportional representation vote and 90 directly elected in a single nationwide constituency by proportional representation vote; members serve 5-year terms); note - in the national constituency, 60 seats are reserved for women and 30 reserved for young people |
| Legislative branch: | elections: Chamber of Advisors- last held on 3 October 2009 (next scheduled for fall 2015); Chamber of Representatives - last held on 25 November 2011 (next to be held in 2016) |
| Legislative branch: | election results: Chamber of Advisors- percent of vote by party - NA; seats by party - NA; Chamber of Representatives - percent of vote by party - NA; seats by party - PJD 107, PI 60, RNI 52, PAM 47, USFP 39, MP 32, UC 23, PPS 18, other 17 |
| Judicial branch: | highest court(s): Supreme Court or Court of Cassation (consists of 5-judge panels organized into civil, family matters, commercial, administrative, social, and criminal sections); Constitutional Court (consists of 12 members) |
| Judicial branch: | judge selection and term of office: Supreme Court judges appointed by the Superior Council of Judicial Power, a 20-member body presided by the monarch and including the Supreme Court president, the prosecutor general, representatives of the appeals and first instance courts - among them 1 woman magistrate, the president of the National Council of the Rights of Man, and 5 "notable persons" appointed by the monarch; judges appointed for life; Constitutional Court members - 6 designated by the monarch and 6 elected by Parliament; court president appointed by the monarch from among the court members; members serve 9-year non-renewable terms |
| Judicial branch: | subordinate courts: courts of appeal; High Court of Justice; administrative and commercial courts; regional and sadad courts (for religious, civil and administrative, and penal adjudication); first instance courts |
| Political parties and leaders: | Action Party or PA [Mohammed EL IDRISSI] |
| Political parties and leaders: | Al Ahd (The Covenant) Party [Najib EL OUAZZANI] |
| Political parties and leaders: | An-Nahj Ad-Dimocrati or An-Nahj [Abdellah EL HARIF] |
| Political parties and leaders: | Authenticity and Modernity Party or PAM [Mustapha BAKKOURY] |
| Political parties and leaders: | Choura et Istiqlal (Consultation and Independence) Party or PCI [Abdelwahed MAACH] |
| Political parties and leaders: | Citizens' Forces or FC [Abderrahman LAHJOUJI] |
| Political parties and leaders: | Constitutional Union Party or UC [Mohammed ABIED] |
| Political parties and leaders: | Democratic and Social Movement or MDS [Mahmoud ARCHANE] |
| Political parties and leaders: | Democratic Forces Front or FFD [Touhami EL KHIARI] |
| Political parties and leaders: | Democratic Socialist Vanguard Party or PADS [Ahmed BENJELLOUN] |
| Political parties and leaders: | Democratic Society Party or PSD [Zhor CHEKKAFI] |
| Political parties and leaders: | Democratic Union or UD [Bouazza IKKEN] |
| Political parties and leaders: | Environment and Development Party or PED [Ahmed EL ALAMI] |
| Political parties and leaders: | Istiqlal (Independence) Party or PI [Hamid CHABAT] |
| Political parties and leaders: | Labor Party or LP [Abdelkrim BENATIK] |
| Political parties and leaders: | Moroccan Liberal Party or PML [Mohamed ZIANE] |
| Political parties and leaders: | National Democratic Party or PND [Abdallah KADIRI] |
| Political parties and leaders: | National Ittihadi Congress Party or CNI [Abdelmajid BOUZOUBAA] |
| Political parties and leaders: | National Popular Movement or MNP [Mahjoubi AHERDANE] |
| Political parties and leaders: | National Rally of Independents or RNI [Salaheddine MEZOUAR] |
| Political parties and leaders: | Neo-Democrats Party [Mohamed DARIF] |
| Political parties and leaders: | Party of Justice and Development or PJD [Abdelillah BENKIRANE] |
| Political parties and leaders: | Popular Movement or MP [Mohamed LAENSER] |
| Political parties and leaders: | Progress and Socialism Party or PPS [Nabil BENABDELLAH] |
| Political parties and leaders: | Reform and Development Party or PRD [Abderrahmane EL KOUHEN] |
| Political parties and leaders: | Renaissance and Virtue Party or PRV [Mohamed KHALIDI] |
| Political parties and leaders: | Renewal and Equity Party or PRE [Chakir ACHABAR] |
| Political parties and leaders: | Social Center Party or PSC [Lahcen MADIH] |
| Political parties and leaders: | Socialist Union of Popular Forces or USFP [Driss LACHGAR] |
| Political parties and leaders: | Unified Socialist Party or GSU [Nabila MOUNIB] |
| Political pressure groups and leaders: | Democratic Confederation of Labor or CDT [Noubir EL AMAOUI] |
| Political pressure groups and leaders: | General Union of Moroccan Workers or UGTM [Mohamed KAFI CHERRAT] |
| Political pressure groups and leaders: | Justice and Charity Organization or JCO [Mohammed ben Abdesslam ABBADI] |
| Political pressure groups and leaders: | Moroccan Employers Association or CGEM [Miriem BENSALAH-CHAQROUN] |
| Political pressure groups and leaders: | National Labor Union of Morocco or UNMT [Mohamed YATIM] |
| Political pressure groups and leaders: | Union of Moroccan Workers or UMT [Miloudi EL MOUKHARIK] |
| International organization participation: | ABEDA, AfDB, AFESD, AMF, AMU, CAEU, CD, EBRD, FAO, G-11, G-77, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), LAS, MIGA, MONUSCO, NAM, OAS (observer), OIC, OIF, OPCW, OSCE (partner), Pacific Alliance (observer), Paris Club (associate), PCA, SICA (observer), UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNOCI, UNSC (temporary), UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Mohammed Rachad BOUHLAL (since 22 December 2011) |
| Diplomatic representation in the US: | chancery: 1601 21st Street NW, Washington, DC 20009 |
