| Government | Hong Kong |
| International organization participation: | ADB, APEC, BIS, FATF, ICC (national committees), IHO, IMF, IMO (associate), Interpol (subbureau), IOC, ISO (correspondent), ITUC (NGOs), UNWTO (associate), UPU, WCO, WTO |
| Diplomatic representation in the US: | none (Special Administrative Region of China); Hong Kong Economic and Trade Office (HKETO) carries out normal liaison and communication with the US Government and other US entities |
| Diplomatic representation in the US: | commissioner: Clement C.M. LEUNG |
| Diplomatic representation in the US: | office: 1520 18th Street NW, Washington, DC 20036 |
| Diplomatic representation in the US: | telephone: [1] 202 331-8947 |
| Diplomatic representation in the US: | FAX: [1] 202 331-8958 |
| Diplomatic representation in the US: | HKETO offices: New York, San Francisco |
| Diplomatic representation from the US: | chief of mission: Consul General Clifford A. HART Jr. (since 30 July 2013); note - also accredited to Macau |
| Diplomatic representation from the US: | consulate(s) general: 26 Garden Road, Hong Kong |
| Diplomatic representation from the US: | mailing address: Unit 8000, Box 1, DPO AP 96521-0006 |
| Diplomatic representation from the US: | telephone: [852] 2523-9011 |
| Diplomatic representation from the US: | FAX: [852] 2845-1598 |
| Flag description: | red with a stylized, white, five-petal Bauhinia flower in the center; each petal contains a small, red, five-pointed star in its middle; the red color is the same as that on the Chinese flag and represents the motherland; the fragrant Bauhinia - developed in Hong Kong the late 19th century - has come to symbolize the region; the five stars echo those on the flag of China |
| National symbol(s): | orchid tree flower |
| National anthem: | note: |
| National anthem: | as a Special Administrative Region of China, "Yiyongjun Jinxingqu" is the official anthem (see China) |
