| Government | Hong Kong |
| --- | --- |
| Country name: | conventional long form: Hong Kong Special Administrative Region |
| Country name: | conventional short form: Hong Kong |
| Country name: | local long form: Xianggang Tebie Xingzhengqu |
| Country name: | local short form: Xianggang |
| Country name: | abbreviation: HK |
| Dependency status: | special administrative region of China |
| Government type: | limited democracy |
| Administrative divisions: | none (special administrative region of China) |
| Independence: | none (special administrative region of China) |
| National holiday: | National Day (Anniversary of the Founding of the People's Republic of China), 1 October (1949); note - 1 July 1997 is celebrated as Hong Kong Special Administrative Region Establishment Day |
| Constitution: | Basic Law, approved in March 1990 by China's National People's Congress, is Hong Kong's "mini-constitution" |
| Legal system: | based on English common law |
| Suffrage: | direct election 18 years of age; universal for permanent residents living in the territory of Hong Kong for the past seven years; indirect election limited to about 200,000 members of functional constituencies and an 800-member election committee drawn from broad regional groupings, municipal organizations, and central government bodies |
| Executive branch: | chief of state: President of China HU Jintao (since 15 March 2003) |
| Executive branch: | head of government: Chief Executive Donald TSANG (since 24 June 2005) |
| Executive branch: | cabinet: Executive Council consists of 14 official members and 15 non-official members |
| Executive branch: | elections: chief executive elected for five-year term by 800-member electoral committee; last held on 25 March 2007 (next to be held in 2012) |
| Executive branch: | election results: Donald TSANG elected chief executive receiving 84.1% of the vote; Alan LEONG received 15.9% |
| Legislative branch: | unicameral Legislative Council or LEGCO (60 seats; in 2004 30 seats indirectly elected by functional constituencies, 30 elected by popular vote; members serve four-year terms) |
| Legislative branch: | elections: last held 12 September 2004 (next to be held in September 2008) |
| Legislative branch: | election results: percent of vote by party - pro-democracy 63%, pro-Beijing 37%; seats by party - (pro-Beijing 34) DAB 12, Liberal Party 10, FTU 1, independents 11; (pro-democracy 25) Democratic Party 9, CTU 2, ADPL 1, Frontier Party 1, NWSC 1, independents 11; non-voting LEGCO president 1 |
| Judicial branch: | Court of Final Appeal in the Hong Kong Special Administrative Region |
| Political parties and leaders: | Association for Democracy and People's Livelihood or ADPL [Frederick FUNG Kin-kee]; Citizens Party [Alex CHAN Kai-chung]; Civic Party [KUAN Hsin-chi]; Democratic Alliance for the Betterment and Progress of Hong Kong or DAB [MA Lik]; Democratic Party [Albert HO]; Frontier Party [Emily LAU Wai-hing]; Liberal Party [James TIEN Pei-chun] |
| Political parties and leaders: | note: political blocs include: pro-democracy - ADPL, Democratic Party, Frontier Party; pro-Beijing - DAB, Liberal Party |
| Political pressure groups and leaders: | Chinese General Chamber of Commerce (pro-China); Chinese Manufacturers' Association of Hong Kong; Confederation of Trade Unions or CTU (pro-democracy) [LAU Chin-shek, president; LEE Cheuk-yan, general secretary]; Federation of Hong Kong Industries; Federation of Trade Unions or FTU (pro-China) [CHENG Yiu-tong, executive councilor]; Hong Kong Alliance in Support of the Patriotic Democratic Movement in China [Szeto WAH, chairman]; Hong Kong and Kowloon Trade Union Council (pro-Taiwan); Hong Kong General Chamber of Commerce; Hong Kong Professional Teachers' Union [CHEUNG Man-kwong, president]; Neighborhood and Workers' Service Center or NWSC (pro-democracy); The Alliance [Bernard CHAN, exco member] |
| International organization participation: | APEC, AsDB, BIS, ICC, IHO, IMF, IMO (associate), IOC, ISO (correspondent), ITUC, UNWTO (associate), UPU, WCL, WCO, WMO, WTO |
| Diplomatic representation in the US: | none (special administrative region of China) |
| Diplomatic representation from the US: | chief of mission: Consul General James B. CUNNINGHAM |
| Diplomatic representation from the US: | consulate(s) general: 26 Garden Road, Hong Kong |
| Diplomatic representation from the US: | mailing address: PSC 461, Box 1, FPO AP 96521-0006 |
| Diplomatic representation from the US: | telephone: [852] 2523-9011 |
| Diplomatic representation from the US: | FAX: [852] 2845-1598 |
| Flag description: | red with a stylized, white, five-petal bauhinia flower in the center |
