| Government |
| --- | --- |
| Country name: | conventional long form: Republic of Lithuania |
| Country name: | conventional short form: Lithuania |
| Country name: | local long form: Lietuvos Respublika |
| Country name: | local short form: Lietuva |
| Country name: | former: Lithuanian Soviet Socialist Republic |
| Government type: | parliamentary democracy |
| Capital: | Vilnius |
| Administrative divisions: 44 regions (rajonai, singular - rajonas) and 11 municipalities*: | Akmenes Rajonas, Alytaus Rajonas, Alytus*, Anyksciu Rajonas, Birstonas*, Birzu Rajonas, Druskininkai*, Ignalinos Rajonas, Jonavos Rajonas, Joniskio Rajonas, Jurbarko Rajonas, Kaisiadoriu Rajonas, Kaunas*, Kauno Rajonas, Kedainiu Rajonas, Kelmes Rajonas, Klaipeda*, Klaipedos Rajonas, Kretingos Rajonas, Kupiskio Rajonas, Lazdiju Rajonas, Marijampole*, Marijampoles Rajonas, Mazeikiu Rajonas, Moletu Rajonas, Neringa* Pakruojo Rajonas, Palanga*, Panevezio Rajonas, Panevezys*, Pasvalio Rajonas, Plunges Rajonas, Prienu Rajonas, Radviliskio Rajonas, Raseiniu Rajonas, Rokiskio Rajonas, Sakiu Rajonas, Salcininku Rajonas, Siauliai*, Siauliu Rajonas, Silales Rajonas, Silutes Rajonas, Sirvintu Rajonas, Skuodo Rajonas, Svencioniu Rajonas, Taurages Rajonas, Telsiu Rajonas, Traku Rajonas, Ukmerges Rajonas, Utenos Rajonas, Varenos Rajonas, Vilkaviskio Rajonas, Vilniaus Rajonas, Vilnius*, Zarasu Rajonas |
| Independence: | 11 March 1990 (independence declared from Soviet Union); 6 September 1991 (Soviet Union recognizes Lithuania's independence) |
| National holiday: | Independence Day, 16 February (1918); note - 16 February 1918 is the date of independence from German, Austrian, Prussian, and Russian occupation, 11 March 1990 is the date of independence from the Soviet Union |
| Constitution: | adopted 25 October 1992 |
| Legal system: | based on civil law system; no judicial review of legislative acts |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Valdas ADAMKUS (since 26 February 1998) |
| Executive branch: | head of government: Premier Algirdas BRAZAUSKAS (since 3 July 2001) |
| Executive branch: | cabinet: Council of Ministers appointed by the president on the nomination of the premier |
| Executive branch: | elections: president elected by popular vote for a five-year term; election last held 21 December 1997 and 4 January 1998 (next to be held NA 2002); premier appointed by the president on the approval of the Parliament |
| Executive branch: | election results: Valdas ADAMKUS elected president; percent of vote - Valdas ADAMKUS 50.4%, Arturas PAULAUSKAS 49.6% |
| Legislative branch: | unicameral Parliament or Seimas (141 seats, 71 members are directly elected by popular vote, 70 are elected by proportional representation; members serve four-year terms) |
| Legislative branch: | elections: last held 8 October 2000 (next to be held NA October 2004) |
| Legislative branch: | election results: percent of vote by party - Social Democratic Coalition 31.1%, New Union/Social Liberals 19.6%, Liberal Union 17.2%, TS 8.6%, remaining parties all less than 5%; seats by party - Social Democratic Coalition 52, Liberal Union 34, New Union/Social Liberals 29, TS 9, Farmer's Party 4, Center Union 2, Poles' Electoral Action 2, Modern Christian Democratic Union 1, independents 3, others 5 |
| Judicial branch: | Supreme Court; Court of Appeal; judges for both courts appointed by the Parliament |
| Political parties and leaders: | Christian Democratic Party or LKDP [Zigmas ZINKEVICIUS, chairman]; Electoral Action of Lithuanian Poles [Valdemar TOMASZEVSKI, chairman]; Homeland Union/Conservative Party or TS [Vytautas LANDSBERGIS, chairman]; Lithuanian Center Union or LCS [Kestutis GLAVECKAS, chairman]; Lithuanian Farmer's Party or LUP [Ramunas KARBAUSKIS, chairman]; Lithuanian Liberal Union [Rolandas PAKSAS, chairman]; Lithuanian Social Democratic Coalition [Algirdas BRAZAUSKAS, chairman] consists of the Lithuanian Democratic Labor Party or LDDP, the Lithuanian Social Democratic Party or LSPD, and New Democracy; Modern Christian Democratic Union [Vytautas BOGUSIS, chairman]; New Union-Social Liberals [Arturas PAULAUSKAS, chairman] |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACCT (observer), BIS, CBSS, CCC, CE, EAPC, EBRD, ECE, EU (applicant), FAO, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IFC, IFRCS, ILO, IMF, IMO, Intelsat (nonsignatory user), Interpol, IOC, IOM, ISO (correspondent), ITU, OPCW, OSCE, PFP, UN, UNCTAD, UNESCO, UNMIK, UPU, WCL, WEU (associate partner), WHO, WIPO, WMO, WTrO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Vygaudas USACKAS |
| Diplomatic representation in the US: | chancery: 2622 16th Street NW, Washington, DC 20009 |
| Diplomatic representation in the US: | telephone: [1] (202) 234-5860 |
| Diplomatic representation in the US: | FAX: [1] (202) 328-0466 |
| Diplomatic representation in the US: | consulate(s) general: Chicago and New York |
| Diplomatic representation from the US: | chief of mission: Ambassador John F. TEFFT |
| Diplomatic representation from the US: | embassy: Akmenu 6, 2600 Vilnius |
| Diplomatic representation from the US: | mailing address: American Embassy, Vilnius, PSC 78, Box V, APO AE 09723 |
| Diplomatic representation from the US: | telephone: [370] (2) 223-031 |
| Diplomatic representation from the US: | FAX: [370] (2) 227-236 |
| Flag description: | three equal horizontal bands of yellow (top), green, and red |
