| Government | Lithuania |
| --- | --- |
| Country name: | conventional long form: Republic of Lithuania |
| Country name: | conventional short form: Lithuania |
| Country name: | local long form: Lietuvos Respublika |
| Country name: | local short form: Lietuva |
| Country name: | former: Lithuanian Soviet Socialist Republic |
| Country name: | etymology: meaning of the name "Lietuva" remains unclear; it may derive from the Lietava, a stream in east central Lithuania |
| Government type: | semi-presidential republic |
| Capital: | name: Vilnius |
| Capital: | geographic coordinates: 54 41 N, 25 19 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 60 municipalities (savivaldybe, singular - savivaldybe); Akmene, Alytaus Miestas, Alytus, Anksciai, Birstono, Birzai, Druskininkai, Elektrenai, Ignalina, Jonava, Joniskis, Jurbarkas, Kaisiadorys, Kalvarijos, Kauno Miestas, Kaunas, Kazlu Rudos, Kedainiai, Kelme, Klaipedos Miestas, Klaipeda, Kretinga, Kupiskis, Lazdijai, Marijampole, Mazeikiai, Moletai, Neringa, Pagegiai, Pakruojis, Palangos Miestas, Panevezio Miestas, Panevezys, Pasvalys, Plunge, Prienai, Radviliskis, Raseiniai, Rietavo, Rokiskis, Sakiai, Salcininkai, Siauliu Miestas, Siauliai, Silale, Silute, Sirvintos, Skuodas, Svencionys, Taurage, Telsiai, Trakai, Ukmerge, Utena, Varena, Vilkaviskis, Vilniaus Miestas, Vilnius, Visaginas, Zarasai |
| Independence: | 11 March 1990 (declared independence from the Soviet Union); 6 September 1991 (recognized by the Soviet Union); notable earlier dates: 6 July 1253 (coronation of MINDAUGAS, traditional founding date); 1 July 1569 (Polish-Lithuanian Commonwealth created); 16 February 1918 (independence from Soviet Russia) |
| National holiday: | Independence Day (or National Day), 16 February (1918); note - 16 February 1918 was the date Lithuania established its statehood and its concomitant independence from Soviet Russia and Germany; 11 March 1990 was the date it declared the restoration of Lithuanian statehood and its concomitant independence from the Soviet Union |
| Constitution: | history: several previous; latest adopted by referendum 25 October 1992, entered into force 2 November 1992 (2016) |
| Constitution: | amendments: proposed by at least one-fourth of all Parliament members or by petition of at least 300,000 voters; passage requires two-thirds majority vote of Parliament in each of two readings three months apart and a presidential signature; amendments to constitutional articles on national sovereignty and constitutional amendment procedure also require three-fourths voter approval in a referendum; amended 1996, 2003, 2006 (2016) |
| Legal system: | civil law system; legislative acts can be appealed to the Constitutional Court |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Lithuania |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 10 years |
| Suffrage: | 18 years of age; universal |
| Judicial branch: | highest courts: Supreme Court (consists of 37 judges); Constitutional Court (consists of 9 judges) |
| Judicial branch: | judge selection and term of office: Supreme Court judges nominated by the president and appointed by the Seimas; judges serve 5-year renewable terms; Constitutional Court judges appointed by the Seimas from nominations - three each by the president of the republic, by the Seimas chairperson, and by the Supreme Court president; judges serve 9-year, nonrenewable terms; one-third of membership reconstituted every 3 years |
| Judicial branch: | subordinate courts: Court of Appeals; district and local courts |
| Executive branch: | chief of state: President Dalia GRYBAUSKAITE (since 12 July 2009) |
| Executive branch: | head of government: Prime Minister Saulius SKVERNELIS (since 13 December 2016) |
| Executive branch: | cabinet: Council of Ministers nominated by the prime minister, appointed by the president, and approved by Parliament |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (eligible for a second term); election last held on 11 and 25 May 2014 (next to be held in May 2019); prime minister appointed by the president, approved by Parliament |
| Executive branch: | election results: Dalia GRYBAUSKAITE reelected president in second round; percent of vote - Dalia GRYBAUSKAITE (independent) 57.9%, Zigmantas BALCYTIS (LSDP) 40.1%, invalid 2%; Saulius SKVERNELIS (LVZS) approved as prime minister by Parliament vote - 90 to 4 |
| Legislative branch: | description: unicameral Parliament or Seimas (141 seats; 71 members directly elected in single-seat constituencies by absolute majority vote and 70 directly elected in a single nationwide constituency by proportional representation vote; members serve 4-year terms) |
| Legislative branch: | elections: last held on 9 and 23 October 2016 (next to be held in October 2020) |
