| Government | Lithuania |
| --- | --- |
| Country name: | conventional long form: Republic of Lithuania |
| Country name: | conventional short form: Lithuania |
| Country name: | local short form: Lietuva |
| Country name: | former: Lithuanian Soviet Socialist Republic |
| Country name: | local long form: Lietuvos Respublika |
| Government type: | parliamentary democracy |
| Capital: | Vilnius |
| Administrative divisions: | 10 counties (apskritys, singular - apskritis); Alytaus, Kauno, Klaipedos, Marijampoles, Panevezio, Siauliu, Taurages, Telsiu, Utenos, Vilniaus |
| Independence: | 11 March 1990 (independence declared from Soviet Union); 6 September 1991 (Soviet Union recognizes Lithuania's independence) |
| National holiday: | Independence Day, 16 February (1918); note - 16 February 1918 is the date of independence from German, Austrian, Prussian, and Russian occupation, 11 March 1990 is the date of independence from the Soviet Union |
| Constitution: | adopted 25 October 1992 |
| Legal system: | based on civil law system; legislative acts can be appealed to the constitutional court |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Rolandas PAKSAS (since 26 February 2003) |
| Executive branch: | head of government: Premier Algirdas Mykolas BRAZAUSKAS (since 3 July 2001) |
| Executive branch: | cabinet: Council of Ministers appointed by the president on the nomination of the premier |
| Executive branch: | elections: president elected by popular vote for a five-year term; election last held 22 December 2002 and 5 January 2003 (next to be held in late 2007); premier appointed by the president on the approval of the Parliament |
| Executive branch: | election results: Rolandas PAKSAS elected president; percent of vote - Rolandas PAKSAS 54.9%, Valdas ADAMKUS 45.1% |
| Legislative branch: | unicameral Parliament or Seimas (141 seats, 71 members are directly elected by popular vote, 70 are elected by proportional representation; members serve four-year terms) |
| Legislative branch: | elections: last held 8 October 2000 (next to be held NA October 2004) |
| Legislative branch: | note: the voting results from the 2000 elections do not correspond to the make up of the Seimas, which has evolved into a number of factions, each made up of members of several parties |
| Legislative branch: | election results: percent of vote by party - Social Democratic Coalition 31.1%, New Union-Social Liberals 19.6%, Liberal Union 17.2%, TS 8.6%, remaining parties all less than 5%; seats by faction - Social Democratic Coalition 51, New Union-Social Liberals 25, United Political Group-Group of Liberals 24, Liberal Democrats 13, Conservatives 9, Farmers and New Democracy Parties 8, Mixed Group 6, independent 1 (four seats unfilled as of 1 June 2003) |
| Judicial branch: | Constitutional Court; Supreme Court; Court of Appeal; judges for all courts appointed by the President |
| Political parties and leaders: | Electoral Action of Lithuanian Poles [Valdemar TOMASZEVSKI, chairman]; Homeland Union/Conservative Party or TS [Andrius KUBILIUS, chairman]; Lithuanian Center Union or LCS [Kestutis GLAVECKAS, chairman]; Lithuanian Christian Democrats or LKD [Kazys BOBELIS]; Lithuanian Farmer's Party or LUP [Ramunas KARBAUSKIS, chairman]; Lithuanian Green Party [Rimantas BRAZIULIS]; Lithuanian Liberal Youth [Neringa MOROZAITE]; Lithuanian National Democratic Party [Vygintas GONTIS]; Lithuanian Social Democratic Coalition [Algirdas BRAZAUSKAS, chairman] consists of the Lithuanian Democratic Labor Party or LDDP, the Lithuanian Social Democratic Party or LSDP, and New Democracy; Moderate Conservative Union [Gediminas VAGNORIUS]; Modern Christian Democratic Union [Vytautas BOGUSIS, chairman]; New Democracy and Farmer's Union [Kazimiera PRUNSKIENE, chairman]; New Union-Social Liberals [Arturas PAULAUSKAS, chairman]; Young Lithuania [Arnoldas PLATELIS] |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACCT (observer), BIS, CBSS, CE, EAPC, EBRD, ECE, EU (applicant), FAO, IAEA, IBRD, ICAO, ICC, ICCt (signatory), ICFTU, ICRM, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ISO (correspondent), ITU, OPCW, OSCE, PFP, UN, UNCTAD, UNESCO, UNIDO, UNMIBH, UNMIK, UPU, WCL, WCO, WEU (associate partner), WHO, WIPO, WMO, WTrO |
| Diplomatic representation in the US: | chief of mission: Ambassador Vygaudas USACKAS |
| Diplomatic representation in the US: | chancery: 2622 16th Street NW, Washington, DC 20009 |
| Diplomatic representation in the US: | consulate(s) general: Chicago and New York |
| Diplomatic representation in the US: | FAX: [1] (202) 328-0466 |
| Diplomatic representation in the US: | telephone: [1] (202) 234-5860 |
| Diplomatic representation from the US: | chief of mission: Ambassador John F. TEFFT |
| Diplomatic representation from the US: | embassy: Akmenu 6, 2600 Vilnius |
| Diplomatic representation from the US: | mailing address: American Embassy, Vilnius, PSC 78, Box V, APO AE 09723 |
| Diplomatic representation from the US: | telephone: [370] (5) 266 5500 |
| Diplomatic representation from the US: | FAX: [370] (5) 266 5510 |
| Flag description: | three equal horizontal bands of yellow (top), green, and red |
