| Government | Gibraltar |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Gibraltar |
| Dependency status: | overseas territory of the UK |
| Government type: | NA |
| Capital: | name: Gibraltar |
| Capital: | geographic coordinates: 36 08 N, 5 21 W |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | none (overseas territory of the UK) |
| Independence: | none (overseas territory of the UK) |
| National holiday: | National Day, 10 September (1967); note - day of the national referendum to decide whether to remain with the UK or join Spain |
| Constitution: | previous 1969; latest passed by referendum 30 November 2006, entered into effect 14 December 2006, entered into force 2 January 2007; amended 2009 (2009) |
| Legal system: | the laws of the UK, where applicable, apply |
| Suffrage: | 18 years of age; universal; and British citizens who have been residents six months or more |
| Executive branch: | chief of state: Queen ELIZABETH II (since 6 February 1952); represented by Governor Sir James DUTTON (since 6 December 2013) |
| Executive branch: | head of government: Chief Minister Fabian PICARDO (since 9 December 2011) |
| Executive branch: | cabinet: Council of Ministers appointed from among the 17 elected members of the Parliament by the governor in consultation with the chief minister |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: the monarchy is hereditary; governor appointed by the monarch; following legislative elections, the leader of the majority party or the leader of the majority coalition is usually appointed chief minister by the governor |
| Legislative branch: | unicameral Parliament (18 seats: 17 members elected by popular vote, 1 for the speaker appointed by Parliament; members serve four-year terms) |
| Legislative branch: | elections: last held on 8 December 2011 (next to be held not later than 8 December 2015) |
| Legislative branch: | election results: percent of vote by party - GSD 48%, GSLP 46.8%, Progressive Democratic Party 4.4%, other 0.8%; seats by party - GSD 10, GSLP 7 |
| Judicial branch: | highest court(s): Court of Appeal (consists of at least three judges, including the court president); Supreme Court of Gibraltar (consists of the chief justice and 3 judges) |
| Judicial branch: | note - appeals beyond the Court of Appeal are heard by the Judicial Committee of the Privy Council (in London) |
| Judicial branch: | judge selection and term of office: Court of Appeal and Supreme Court judges appointed by the governor upon the advice of the Judicial Service Commission, a 7-member body of judges and appointees of the governor; tenure of the Court of Appeal president based on terms of appointment; Supreme Court chief justice and judge normally appointed until retirement at age 67, but can be extended 3 years |
| Judicial branch: | subordinate courts: Court of First Instance; Magistrates' Court; specialized tribunals for issues relating to social security, taxes, and employment |
| Political parties and leaders: | Gibraltar Liberal Party [Joseph GARCIA] |
| Political parties and leaders: | Gibraltar Social Democrats or GSD [Daniel FEETHAM] |
| Political parties and leaders: | Gibraltar Socialist Labor Party or GSLP [Fabian PICARDO] |
| Political parties and leaders: | Progressive Democratic Party [Nick CRUZ] |
| Political pressure groups and leaders: | Chamber of Commerce |
| Political pressure groups and leaders: | Gibraltar Representatives Organization |
| Political pressure groups and leaders: | Women's Association |
| International organization participation: | ICC (NGOs), Interpol (subbureau), UPU |
| Diplomatic representation in the US: | none (overseas territory of the UK) |
| Diplomatic representation from the US: | none (overseas territory of the UK) |
| Flag description: | two horizontal bands of white (top, double width) and red with a three-towered red castle in the center of the white band; hanging from the castle gate is a gold key centered in the red band; the design is that of Gibraltar's coat of arms granted on 10 July 1502 by King Ferdinand and Queen Isabella of Spain; the castle symbolizes Gibraltar as a fortress, while the key represents Gibraltar's strategic importance - the key to the Mediterranean |
| National symbol(s): | Barbary macaque |
| National anthem: | name: "Gibraltar Anthem" |
| National anthem: | lyrics/music: Peter EMBERLEY |
| National anthem: | note: adopted 1994; serves as a local anthem; as a territory of the United Kingdom, "God Save the Queen" remains official (see United Kingdom) |
