| Government | Brazil |
| --- | --- |
| Country name: | conventional long form: Federative Republic of Brazil |
| Country name: | conventional short form: Brazil |
| Country name: | local long form: Republica Federativa do Brasil |
| Country name: | local short form: Brasil |
| Government type: | federative republic |
| Capital: | Brasilia |
| Administrative divisions: | 26 states (estados, singular - estado) and 1 federal district* (distrito federal); Acre, Alagoas, Amapa, Amazonas, Bahia, Ceara, Distrito Federal*, Espirito Santo, Goias, Maranhao, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Para, Paraiba, Parana, Pernambuco, Piaui, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, Rondonia, Roraima, Santa Catarina, Sao Paulo, Sergipe, Tocantins |
| Independence: | 7 September 1822 (from Portugal) |
| National holiday: | Independence Day, 7 September (1822) |
| Constitution: | 5 October 1988 |
| Legal system: | based on Roman codes; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | voluntary between 16 and 18 years of age and over 70; compulsory over 18 and under 70 years of age; note - military conscripts do not vote |
| Executive branch: | chief of state: President Luiz Inacio LULA DA SILVA (since 1 January 2003); Vice President Jose ALENCAR (since 1 January 2003); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Luiz Inacio LULA DA SILVA (since 1 January 2003); Vice President Jose ALENCAR (since 1 January 2003); note - the president is both the chief of state and head of government |
| Executive branch: | cabinet: Cabinet appointed by the president |
| Executive branch: | elections: president and vice president elected on the same ticket by popular vote for four-year terms; election last held 6 October 2002 (next to be held 1 October 2006, with a runoff on 29 October 2006 if necessary); runoff election held 27 October 2002 |
| Executive branch: | election results: in runoff election 27 October 2002, Luiz Inacio LULA DA SILVA (PT) elected with 61.3% of the vote; Jose SERRA (PSDB) 38.7% |
| Legislative branch: | bicameral National Congress or Congresso Nacional consists of the Federal Senate or Senado Federal (81 seats; three members from each state and federal district elected according to the principle of majority to serve eight-year terms; one-third elected after a four-year period, two-thirds elected after the next four-year period) and the Chamber of Deputies or Camara dos Deputados (513 seats; members are elected by proportional representation to serve four-year terms) |
| Legislative branch: | elections: Federal Senate - last held 6 October 2002 for two-thirds of the Senate (next to be held October 2006 for one-third of the Senate); Chamber of Deputies - last held 6 October 2002 (next to be held October 2006) |
| Legislative branch: | election results: Federal Senate - percent of vote by party - NA%; seats by party - PMBD 19, PFL 19, PT 14, PSDB 11, PDT 5, PSB 4, PL 3, PTB 3, PPS 1, PSD 1, PP 1; Chamber of Deputies - percent of vote by party - NA%; seats by party - PT 91, PFL 84, PMDB 74, PSDB 71, PP 49, PL 26, PTB 26, PSB 22, PDT 21, PPS 15, PCdoB 12, PRONA 6, PV 5, other 11; note - many congressmen have changed party affiliation since the most recent election |
| Judicial branch: | Supreme Federal Tribunal (11 ministers are appointed for life by the president and confirmed by the Senate); Higher Tribunal of Justice; Regional Federal Tribunals (judges are appointed for life); note - though appointed "for life," judges, like all federal employees, have a mandatory retirement age of 70 |
