| Government | Brazil |
| --- | --- |
| Country name: | conventional long form: Federative Republic of Brazil |
| Country name: | conventional short form: Brazil |
| Country name: | local long form: Republica Federativa do Brasil |
| Country name: | local short form: Brasil |
| Government type: | federal republic |
| Capital: | name: Brasilia |
| Capital: | geographic coordinates: 15 47 S, 47 55 W |
| Capital: | time difference: UTC-3 (2 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins third Sunday in October; ends third Sunday in February |
| Capital: | note: Brazil has three time zones, including one for the Fernando de Noronha Islands |
| Administrative divisions: | 26 states (estados, singular - estado) and 1 federal district* (distrito federal); Acre, Alagoas, Amapa, Amazonas, Bahia, Ceara, Distrito Federal*, Espirito Santo, Goias, Maranhao, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Para, Paraiba, Parana, Pernambuco, Piaui, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, Rondonia, Roraima, Santa Catarina, Sao Paulo, Sergipe, Tocantins |
| Independence: | 7 September 1822 (from Portugal) |
| National holiday: | Independence Day, 7 September (1822) |
| Constitution: | several previous; latest ratified 5 October 1988; amended many times, last in 2012 (2012) |
| Legal system: | civil law; note - a new civil law code was enacted in 2002 replacing the 1916 code |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Suffrage: | voluntary between 16 to under 18 years of age and over 70; compulsory 18 to 70 years of age; note - military conscripts by law cannot vote |
| Executive branch: | chief of state: President Dilma ROUSSEFF (since 1 January 2011); Vice President Michel Miguel Elias TEMER Lulia (since 1 January 2011); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President Dilma ROUSSEFF (since 1 January 2011); Vice President Michel Miguel Elias TEMER Lulia (since 1 January 2011) |
| Executive branch: | cabinet: Cabinet appointed by the president |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president and vice president elected on the same ticket by popular vote for a single four-year term; election last held on 3 October 2010 with runoff on 31 October 2010 (next to be held on 5 October 2014 and, if necessary, a runoff election on 26 October 2014) |
| Executive branch: | election results: Dilma ROUSSEFF (PT) elected president in a runoff election; percent of vote - Dilma ROUSSEFF 56.01%, Jose SERRA (PSDB) 43.99% |
| Legislative branch: | bicameral National Congress or Congresso Nacional consists of the Federal Senate or Senado Federal (81 seats; 3 members from each state and federal district elected according to the principle of majority to serve eight-year terms; one-third and two-thirds of members elected every four years, alternately) and the Chamber of Deputies or Camara dos Deputados (513 seats; members are elected by proportional representation to serve four-year terms) |
| Legislative branch: | elections: Federal Senate - last held on 3 October 2010 for two-thirds of the Senate (next to be held in October 2014 for one-third of the Senate); Chamber of Deputies - last held on 3 October 2010 (next to be held in October 2014) |
| Legislative branch: | election results: Federal Senate - percent of vote by party - NA; seats by party - PMDB 19, PT 15, PSDB 11, DEM (formerly PFL) 7, PTB 6, PP 4, PDT 4, PR 4, PSB 3, PCdoB 2, PSOL 2, other 4; Chamber of Deputies - percent of vote by party - NA; seats by party - PT 88, PMDB 79, PSDB 53, DEM (formerly PFL) 43, PP 41, PR 41, PSB 34, PDT 28, PTB 21, PSC 17, PCdoB 15, PPS 12, PPS 12, PRB 8, PMN 4, PSOL 3, other 26 |
| Judicial branch: | highest court(s): Supreme Federal Court (consists of 11 justices) |
| Judicial branch: | judge selection and term of office: justices appointed by the president and approved by the Federal Senate; justices appointed to serve until mandatory retirement at age 70 |
