| Government |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Burkina Faso |
| Country name: | former: Upper Volta, Republic of Upper Volta |
| Government type: | parliamentary |
| Capital: | Ouagadougou |
| Administrative divisions: | 30 provinces; Bam, Bazega, Bougouriba, Boulgou, Boulkiemde, Ganzourgou, Gnagna, Gourma, Houe, Kadiogo, Kenedougou, Komoe, Kossi, Kouritenga, Mouhoun, Namentenga, Naouri, Oubritenga, Oudalan, Passore, Poni, Sanguie, Sanmatenga, Seno, Sissili, Soum, Sourou, Tapoa, Yatenga, Zoundweogo |
| Administrative divisions: | note: a new electoral code was approved by the National Assembly in January 1997; the number of administrative provinces was increased from 30 to 45 (Bale, Bam, Banwa, Bazega, Bougouriba, Boulgou, Boulkiemde, Comoe, Ganzourgou, Gnagna, Gourma, Houet, Ioba, Kadiogo, Kenedougou, Komandjari, Kompienga, Kossi, Koupelogo, Kouritenga, Kourweogo, Leraba, Loroum, Mouhoun, Nahouri, Namentenga, Nayala, Naumbiel, Oubritenga, Oudalan, Passore, Poni, Samentenga, Sanguie, Seno, Sissili, Soum, Sourou, Tapoa, Tuy, Yagha, Yatenga, Ziro, Zondomo, Zoundweogo), however, this change has not yet been confirmed by the US Board on Geographic Names |
| Independence: | 5 August 1960 (from France) |
| National holiday: | Republic Day, 11 December (1958) |
| Constitution: | 2 June 1991 approved by referendum; 11 June 1991 formally adopted |
| Legal system: | based on French civil law system and customary law |
| Suffrage: | universal |
| Executive branch: | chief of state: President Blaise COMPAORE (since 15 October 1987) |
| Executive branch: | head of government: Prime Minister Ernest Paramanga YONLI (since 6 November 2000) |
| Executive branch: | cabinet: Council of Ministers appointed by the president on the recommendation of the prime minister |
| Executive branch: | elections: president elected by popular vote for a seven-year term; the president may serve unlimited terms; election last held 15 November 1998 (next to be held NA 2005); prime minister appointed by the president with the consent of the legislature |
| Executive branch: | election results: Blaise COMPAORE reelected president with 87.5% percent of the vote, 56% of voter turnout |
| Executive branch: | note: President COMPAORE faces an increasingly well-coordinated opposition; recent charges against a former member of his Presidential Guard in the 1998 assassination of a newspaper editor signify an attempt to defuse chronic areas of dissatisfaction |
| Legislative branch: | bicameral; consists of a National Assembly or Assemblee des Deputes Populaires (111 seats; members are elected by popular vote to serve five-year terms) and the purely consultative Chamber of Representations or Chambre des Representants (178 seats; members are appointed to serve three-year terms) |
| Legislative branch: | elections: National Assembly election last held 11 May 1997 (next to be held NA 2002) |
| Legislative branch: | election results: percent of vote by party - NA%; seats by party - CDP 101, PDP 6, RDA 2, ADF 2 |
| Judicial branch: | Supreme Court; Appeals Court |
| Political parties and leaders: | African Democratic Rally-Alliance for Democracy and Federation or RDA-ADF [Herman YAMEOGO]; Congress for Democracy and Progress or CDP [Roch Marc-Christian KABORE]; Movement for Tolerance and Progress or MTP [Noyabtigungu Congo KABORE]; Party for African Independence or PAI [Philippe OUEDRAOGO]; Party for Democracy and Progress or PDP [Joseph KI-ZERBO]; Union of Greens for the Development of Burkina Faso or UVDB [Ram OVEDRAGO] |
| Political pressure groups and leaders: | Burkinabe General Confederation of Labor or CGTB; Burkinabe Movement for Human Rights or HBDHP; Group of 14 February; National Confederation of Burkinabe Workers or CNTB; National Organization of Free Unions or ONSL; watchdog/political action groups throughout the country in both organizations and communities |
| International organization participation: | ACCT, ACP, AfDB, CCC, ECA, ECOWAS, Entente, FAO, FZ, G-77, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, Intelsat, Interpol, IOC, IOM, ISO (subscriber), ITU, MONUC, NAM, OAU, OIC, OPCW, UN, UNCTAD, UNESCO, UNIDO, UPU, WADB, WAEMU, WCL, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| Diplomatic representation in the US: | chief of mission: Ambassador Bruno ZIDOUEMBA |
| Diplomatic representation in the US: | chancery: 2340 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 332-5577 |
| Diplomatic representation in the US: | FAX: [1] (202) 667-1882 |
| Diplomatic representation from the US: | chief of mission: Ambassador Jimmy J. KOLKER |
| Diplomatic representation from the US: | embassy: 602 Avenue Raoul Follerau, Koulouba, Secteur 4, Ouagadougou |
| Diplomatic representation from the US: | mailing address: B. P. 35, Ouagadougou 01 |
| Diplomatic representation from the US: | telephone: [226] 306723 |
| Diplomatic representation from the US: | FAX: [226] 303890 |
| Flag description: | two equal horizontal bands of red (top) and green with a yellow five-pointed star in the center; uses the popular pan-African colors of Ethiopia |
