| Government | Albania |
| --- | --- |
| Country name: | conventional long form: Republic of Albania |
| Country name: | conventional short form: Albania |
| Country name: | local short form: Shqiperia |
| Country name: | former: People's Socialist Republic of Albania |
| Country name: | local long form: Republika e Shqiperise |
| Government type: | emerging democracy |
| Capital: | Tirana |
| Administrative divisions: | 12 counties (qarqe, singular - qark); Qarku i Beratit, Qarku i Dibres, Qarku i Durresit, Qarku i Elbasanit, Qarku i Fierit, Qarku i Gjirokastres, Qarku i Korces, Qarku i Kukesit, Qarku i Lezhes, Qarku i Shkodres, Qarku i Tiranes, Qarku i Vlores |
| Independence: | 28 November 1912 (from Ottoman Empire) |
| National holiday: | Independence Day, 28 November (1912) |
| Constitution: | a constitution was adopted by popular referendum on 28 November 1998 |
| Legal system: | has a civil law system; has not accepted compulsory ICJ jurisdiction; has accepted jurisdiction of the International Criminal Court for its citizens |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President of the Republic Alfred MOISIU (since 24 July 2002) |
| Executive branch: | head of government: Prime Minister Fatos NANO (since 31 July 2002) |
| Executive branch: | cabinet: Council of Ministers proposed by the prime minister, nominated by the president, and approved by Parliament |
| Executive branch: | elections: president elected by the People's Assembly for a five-year term; election last held 24 June 2002 (next to be held NA June 2007); prime minister appointed by the president |
| Executive branch: | election results: Alfred MOISIU elected president; People's Assembly vote by number - total votes 116, for 97, against 19 |
| Legislative branch: | unicameral People's Assembly or Kuvendi Popullor (140 seats; 100 are elected by direct popular vote and 40 by proportional vote for four-year terms) |
| Legislative branch: | elections: last held 24 June 2001 with subsequent rounds on 8 July, 22 July, 29 July, 19 August 2001 (next to be held July 2005) |
| Legislative branch: | election results: percent of vote by party - PS 41.5%, PD and coalition allies 36.8%, PDR 5.2%, PSD 3.6%, PBDNJ 2.6%, PASH (now PAA) 2.6%, PAD 2.5%; seats by party - PS 73, PD and coalition allies 46, PDR 6, PSD 4, PBDNJ 3, PASH (now PAA) 3, PAD 3, independents 2; note - seats by party as of January 2005: PS 65, PD and coalition allies 46, LSI 9, PDR 6, PSD 3, PBDNJ 3, PASH (now PAA) 3, PAD 3, PDS 1, independents 1 |
| Judicial branch: | Constitutional Court, Supreme Court (chairman is elected by the People's Assembly for a four-year term), and multiple appeals and district courts |
| Political parties and leaders: | Agrarian Environmentalist Party or PAA [Lufter XHUVELI]; Christian Democratic Party or PDK [Nikolle LESI]; Communist Party of Albania or PKSH [Hysni MILLOSHI]; Democratic Alliance Party or PAD [Neritan CEKA]; Democratic Party or PD [Sali BERISHA]; Legality Movement Party or PLL [Ekrem SPAHIU]; Liberal Union Party or PBL [Arjan STAROVA]; National Front Party (Balli Kombetar) or PBK [Adriatik ALIMADHI]; New Democratic Party or PDR [Genc POLLO]; Party of National Unity or PUK [Idajet BEQIRI]; Renewed Democratic Party or PDR [Dashamir SHEHI]; Republican Party or PR [Fatmir MEDIU]; Social Democracy Party or PDS [Paskal MILO]; Social Democratic Party or PSD [Skender GJINUSHI]; Socialist Movement for Integration or LSI [Ilir META]; Socialist Party or PS (formerly the Albanian Party of Labor) [Fatos NANO]; Union for Human Rights Party or PBDNJ [Vangjel DULE] |
| Political pressure groups and leaders: | Confederation of Trade Unions of Albania or KSSH [Kastriot MUCO]; Front for Albanian National Unification or FBKSH [Gafur ADILI]; Omonia [Jani JANI]; Union of Independent Trade Unions of Albania or BSPSH [Gezim KALAJA] |
| International organization participation: | ACCT, BSEC, CE, CEI, EAPC, EBRD, FAO, IAEA, IBRD, ICAO, ICCt, ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ISO (correspondent), ITU, MIGA, OIC, OPCW, OSCE, PFP, UN, UNCTAD, UNESCO, UNIDO, UNOMIG, UPU, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Dr. Fatos TARIFA |
| Diplomatic representation in the US: | FAX: [1] (202) 628-7342 |
| Diplomatic representation in the US: | telephone: [1] (202) 223-4942 |
| Diplomatic representation in the US: | chancery: 2100 S Street NW, Washington, DC 20008 |
| Diplomatic representation from the US: | chief of mission: Ambassador Marcie B. RIES |
| Diplomatic representation from the US: | embassy: Rruga Elbasanit, Labinoti #103, Tirana |
| Diplomatic representation from the US: | mailing address: U. S. Department of State, 9510 Tirana Place, Dulles, VA 20189-9510 |
| Diplomatic representation from the US: | telephone: [355] (4) 247285 |
| Diplomatic representation from the US: | FAX: [355] (4) 374957 and [355] (4) 232222 |
| Flag description: | red with a black two-headed eagle in the center |
