| Government | Albania |
| --- | --- |
| Country name: | conventional long form: Republic of Albania |
| Country name: | conventional short form: Albania |
| Country name: | local long form: Republika e Shqiperise |
| Country name: | local short form: Shqiperia |
| Country name: | former: People's Socialist Republic of Albania |
| Country name: | etymology: the English-language country name seems to be derived from the ancient Illyrian tribe of the Albani; the native name "Shqiperia" is derived from the Albanian word "Shqiponje" ("Eagle") and is popularly interpreted to mean "Land of the Eagles" |
| Government type: | parliamentary republic |
| Capital: | name: Tirana (Tirane) |
| Capital: | geographic coordinates: 41 19 N, 19 49 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Capital: | etymology: the name Tirana first appears in a 1418 Venetian document; the origin of the name is unclear, but may derive from Tirkan fortress, whose ruins survive on the slopes of Dajti mountain and which overlooks the city |
| Administrative divisions: | 12 counties (qarqe, singular - qark); Berat, Diber, Durres, Elbasan, Fier, Gjirokaster, Korce, Kukes, Lezhe, Shkoder, Tirane, Vlore |
| Independence: | 28 November 1912 (from the Ottoman Empire) |
| National holiday: | Independence Day, 28 November (1912) also known as Flag Day |
| Constitution: | history: several previous; latest approved by the Assembly 21 October 1998, adopted by referendum 22 November 1998, promulgated 28 November 1998 (2017) |
| Constitution: | amendments: proposed by at least one-fifth of the Assembly membership; passage requires at least a two-thirds majority vote by the Assembly; referendum required only if approved by two-thirds of the Assembly; amendments approved by referendum effective upon declaration by the president of the republic; amended several times, last in 2016 (2017) |
| Legal system: | civil law system except in the northern rural areas where customary law known as the "Code of Leke" prevails |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Albania |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 18 years of age; universal |
| Judicial branch: | highest courts: Supreme Court (consists of 17 judges, including the chief justice); Constitutional Court (consists of 9 judges, including the chairman) |
| Judicial branch: | judge selection and term of office: Supreme Court judges, including the chairman, appointed by the president with the consent of the Assembly to serve single 9-year terms; Constitutional Court judges appointed by the president with the consent of the Assembly to serve single 9-year terms with one-third of the membership renewed every 3 years; chairman elected by the People's Assembly for a single 3-year term |
| Judicial branch: | subordinate courts: Courts of Appeal; Courts of First Instance |
| Executive branch: | chief of state: President of the Republic Ilir META (since 24 July 2017) |
| Executive branch: | head of government: Prime Minister Edi RAMA (since 10 September 2013); Deputy Prime Minister Senida MESI (since 13 September 2017) |
| Executive branch: | cabinet: Council of Ministers proposed by the prime minister, nominated by the president, and approved by the Assembly |
| Executive branch: | elections/appointments: president indirectly elected by the Assembly for a 5-year term (eligible for a second term); a candidate needs three-fifths majority vote of the Assembly in 1 of 3 rounds or a simple majority in 2 additional rounds to become president; election last held in 4 rounds on 19, 20, 27, and 28 April 2017 (next election to be held in 2022); prime minister appointed by the president on the proposal of the majority party or coalition of parties in the Assembly |
| Executive branch: | election results: Ilir META elected president; Assembly vote - 87 - 2 in fourth round |
| Legislative branch: | description: unicameral Assembly or Kuvendi (140 seats; members directly elected in multi-seat constituencies by proportional representation vote to serve 4-year terms) |
| Legislative branch: | elections: last held on 25 June 2017 (next to be held in 2021) |
| Legislative branch: | election results: percent of vote by party - PS 48.3%, PD 28.9%, LSI 14.3%, PDIU 4.8%, PSD 1%, other 2.7%; seats by party - PS 74, PD 43, LSI 19, PDIU 3, PSD 1; composition - men 108, women 32, percent of women 22.9% |
| Political parties and leaders: | Democratic Party or PD [Lulzim BASHA] |
| Political parties and leaders: | Party for Justice, Integration and Unity or PDIU [Shpetim IDRIZI] (formerly part of APMI) |
| Political parties and leaders: | Social Democratic Party or PSD [Skender GJINUSHI]Socialist Movement for Integration or LSI [Monika KRYEMADHI] |
| Political parties and leaders: | Socialist Party or PS [Edi RAMA] |
| International organization participation: | BSEC, CD, CE, CEI, EAPC, EBRD, EITI (compliant country), FAO, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITU, ITUC (NGOs), MIGA, NATO, OAS (observer), OIC, OIF, OPCW, OSCE, PCA, SELEC, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Floreta FABER (since 18 May 2015) |
| Diplomatic representation in the US: | chancery: 2100 S Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 223-4942 |
