| Government | Albania |
| --- | --- |
| Country name: | conventional long form: Republic of Albania |
| Country name: | conventional short form: Albania |
| Country name: | local long form: Republika e Shqiperise |
| Country name: | local short form: Shqiperia |
| Country name: | former: People's Socialist Republic of Albania |
| Government type: | parliamentary democracy |
| Capital: | name: Tirana (Tirane) |
| Capital: | geographic coordinates: 41 19 N, 19 49 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 12 counties (qarqe, singular - qark); Berat, Diber, Durres, Elbasan, Fier, Gjirokaster, Korce, Kukes, Lezhe, Shkoder, Tirane, Vlore |
| Independence: | 28 November 1912 (from the Ottoman Empire) |
| National holiday: | Independence Day, 28 November (1912) also known as Flag Day |
| Constitution: | approved by parliament 21 October 1998; adopted by popular referendum 22 November 1998; promulgated 28 November 1998 |
| Legal system: | civil law system except in the northern rural areas where customary law known as the "Code of Leke" prevails |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President of the Republic Bamir TOPI (since 24 July 2007) |
| Executive branch: | head of government: Prime Minister Sali BERISHA (since 10 September 2005) |
| Executive branch: | cabinet: Council of Ministers proposed by the prime minister, nominated by the president, and approved by parliament |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president elected by three-fifths the Assembly for a five-year term (eligible for a second term); four election rounds held between 8 and 20 July 2007 (next election to be held in 2012); prime minister appointed by the president |
| Executive branch: | election results: Bamir TOPI elected president; Assembly vote, fourth round (three-fifths majority, 84 votes, required): Bamir TOPI 85 votes, Neritan CEKA 5 votes |
| Legislative branch: | unicameral Assembly or Kuvendi (140 deputies; 100 deputies elected directly in single member electoral zones with an approximate number of voters; 40 deputies elected from multi-name lists of parties or party coalitions according to their respective order; elected for a 4-year term) |
| Legislative branch: | elections: last held on 28 June 2009 (next to be held in 2013) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - PD 68, PS 65, LSI 4, other 3 |
| Judicial branch: | Constitutional Court consists of 9 members appointed by the president with the consent of the Assembly who serve 9-year terms (chairman is elected by the People's Assembly for a four-year term); the High Court members appointed by the president with the consent of the Assembly for a 9-year term; note - there are also courts of appeal and courts of first instance |
| Political parties and leaders: | Democratic Party or PD [Sali BERISHA]; New Democracy Party or PDR [Genc POLLO]; Party for Justice and Integration or PDI [Shpetim IDRIZ]; Republican Party or PR [Fatmir MEDIU]; Social Democracy Party or PDS [Paskel MILO]; Social Democratic Party or PSD [Skender GJINUSHI]; Socialist Movement for Integration or LSI [Ilir META]; Socialist Party or PS [Edi RAMA]; Unity for Human Rights Party or PBDNJ [Vangjel DULE] |
| Political pressure groups and leaders: | Red and Black Alliance [Kreshnik SPAHIU]; Front for Albanian National Unification or FBKSH [Gafur ADILI]; Mjaft Movement [Elton KACIDHJA]; Omonia [Vasil BOLLANO]; Union of Independent Trade Unions of Albania or BSPSH [Gezim KALAJA] |
| International organization participation: | BSEC, CE, CEI, EAPC, EBRD, FAO, IAEA, IBRD, ICAO, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITU, ITUC, MIGA, NATO, OAS (observer), OIC, OIF, OPCW, OSCE, SECI, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Gilbert GALANXHI |
| Diplomatic representation in the US: | chancery: 2100 S Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 223-4942 |
| Diplomatic representation in the US: | FAX: [1] (202) 628-7342 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Alexander ARVIZU |
| Diplomatic representation from the US: | embassy: Rruga e Elbasanit, Labinoti #103, Tirana |
| Diplomatic representation from the US: | mailing address: US Department of State, 9510 Tirana Place, Dulles, VA 20189-9510 |
| Diplomatic representation from the US: | telephone: [355] (4) 2247285 |
| Diplomatic representation from the US: | FAX: [355] (4) 2232222 |
| Flag description: | red with a black two-headed eagle in the center; the design is claimed to be that of 15th-century hero George Castriota SKANDERBEG, who led a successful uprising against the Turks that resulted in a short-lived independence for some Albanian regions (1443-1478); an unsubstantiated explanation for the eagle symbol is the tradition that Albanians see themselves as descendants of the eagle; they refer to themselves as "Shkypetars," which translates as "sons of the eagle" |
| National symbol(s): | double-headed eagle |
| National anthem: | name: "Hymni i Flamurit" (Hymn to the Flag) |
| National anthem: | lyrics/music: Aleksander Stavre DRENOVA/Ciprian PORUMBESCU |
| National anthem: | note: adopted 1912 |
