| Government | Vietnam |
| --- | --- |
| Country name: | conventional long form: Socialist Republic of Vietnam |
| Country name: | conventional short form: Vietnam |
| Country name: | local long form: Cong Hoa Xa Hoi Chu Nghia Viet Nam |
| Country name: | local short form: Viet Nam |
| Country name: | abbreviation: SRV |
| Government type: | Communist state |
| Capital: | name: Hanoi (Ha Noi) |
| Capital: | geographic coordinates: 21 02 N, 105 51 E |
| Capital: | time difference: UTC+7 (12 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 58 provinces (tinh, singular and plural) and 5 municipalities (thanh pho, singular and plural) |
| Administrative divisions: | provinces: An Giang, Bac Giang, Bac Kan, Bac Lieu, Bac Ninh, Ba Ria-Vung Tau, Ben Tre, Binh Dinh, Binh Duong, Binh Phuoc, Binh Thuan, Ca Mau, Cao Bang, Dak Lak, Dak Nong, Dien Bien, Dong Nai, Dong Thap, Gia Lai, Ha Giang, Ha Nam, Ha Tinh, Hai Duong, Hau Giang, Hoa Binh, Hung Yen, Khanh Hoa, Kien Giang, Kon Tum, Lai Chau, Lam Dong, Lang Son, Lao Cai, Long An, Nam Dinh, Nghe An, Ninh Binh, Ninh Thuan, Phu Tho, Phu Yen, Quang Binh, Quang Nam, Quang Ngai, Quang Ninh, Quang Tri, Soc Trang, Son La, Tay Ninh, Thai Binh, Thai Nguyen, Thanh Hoa, Thua Thien-Hue, Tien Giang, Tra Vinh, Tuyen Quang, Vinh Long, Vinh Phuc, Yen Bai |
| Administrative divisions: | municipalities: Can Tho, Da Nang, Ha Noi, Hai Phong, Ho Chi Minh City (Saigon) |
| Independence: | 2 September 1945 (from France) |
| National holiday: | Independence Day, 2 September (1945) |
| Constitution: | several previous; latest adopted 15 April 1992, effective 1 January 1995; amended 2001; note - in early 2013, the Vietnamese Government asked for public comment on its constitution (2013) |
| Legal system: | civil law system; note - the civil code of 2005 reflects a European-style civil law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Truong Tan SANG (since 25 July 2011); Vice President Nguyen Thi DOAN (since 25 July 2007) |
| Executive branch: | head of government: Prime Minister Nguyen Tan DUNG (since 27 June 2006); Deputy Prime Minister Vu Duc DAM (since 13 November 2013), Deputy Prime Minister Hoang Trung HAI (since 2 August 2007), Deputy Prime Minister Pham Binh MINH (since 13 November 2013), Deputy Prime Minister Vu Van NINH (since 3 August 2011), and Deputy Prime Minister Nguyen Xuan PHUC (since 3 August 2011) |
| Executive branch: | cabinet: Cabinet appointed by president based on proposal of prime minister and confirmed by National Assembly |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president elected by the National Assembly from among its members for five-year term; last election held 25 July 2011 (next to be held in July 2016); prime minister appointed by the president from among the members of the National Assembly; deputy prime ministers appointed by the prime minister; appointment of prime minister and deputy prime ministers confirmed by National Assembly |
| Executive branch: | election results: Truong Tan SANG elected president, percent of National Assembly vote - 97%; Nguyen Tan DUNG elected prime minister, percent of National Assembly vote - 94% |
| Legislative branch: | unicameral National Assembly or Quoc Hoi (500 seats; members elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: last held on 22 May 2011 (next to be held in May 2016) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - CPV 458, non-party CPV-approved 38, self-nominated 4; note - 500 candidates were elected; the 496 CPV and non-party CPV-approved delegates were members of the Vietnamese Fatherland Front and were vetted prior to the election |
| Judicial branch: | highest court(s): Supreme People's Court (consists of the chief justice and 13 judges) |
| Judicial branch: | judge selection and term of office: chief justice elected by the National Assembly on the recommendation of the president for a 5-year, renewable term; other judges appointed by the president for 5-year terms |
| Judicial branch: | subordinate courts: Court of Appeals; administrative, civil, criminal, economic, and labor courts; Central Military Court; People's Special Courts; note - the National Assembly can establish special tribunals |
| Political parties and leaders: | Communist Party of Vietnam or CPV [Nguyen Phu TRONG] |
| Political parties and leaders: | note: other parties proscribed |
| Political pressure groups and leaders: | 8406 Bloc |
| Political pressure groups and leaders: | Democratic Party of Vietnam or DPV |
| Political pressure groups and leaders: | People's Democratic Party Vietnam or PDP-VN |
| Political pressure groups and leaders: | Alliance for Democracy |
| Political pressure groups and leaders: | note: these groups advocate democracy but are not recognized by the government |
| International organization participation: | ADB, APEC, ARF, ASEAN, CICA, CP, EAS, FAO, G-77, IAEA, IBRD, ICAO, ICC (NGOs), ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, MIGA, NAM, OIF, OPCW, PCA, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Nguyen Quoc CUONG (since 2 May 2011) |
| Diplomatic representation in the US: | chancery: 1233 20th Street NW, Suite 400, Washington, DC 20036 |
| Diplomatic representation in the US: | telephone: [1] (202) 861-0737 |
| Diplomatic representation in the US: | FAX: [1] (202) 861-0917 |
| Diplomatic representation in the US: | consulate(s) general: Houston, New York, San Francisco |
| Diplomatic representation in the US: | consulate: New York |
| Diplomatic representation from the US: | chief of mission: Ambassador David B. SHEAR (since 4 August 2011) |
| Diplomatic representation from the US: | embassy: Rose Garden Building, 170 Ngoc Khanh St., Hanoi |
| Diplomatic representation from the US: | mailing address: 7 Lang Ha Street, Ba Dinh District, Hanoi; 4550 Hanoi Place, Washington, DC 20521-4550 |
| Diplomatic representation from the US: | telephone: [84] (4) 3850-5000 |
| Diplomatic representation from the US: | FAX: [84] (4) 3850-5010 |
| Diplomatic representation from the US: | consulate(s) general: Ho Chi Minh City |
| Flag description: | red field with a large yellow five-pointed star in the center; red symbolizes revolution and blood, the five-pointed star represents the five elements of the populace - peasants, workers, intellectuals, traders, and soldiers - that unite to build socialism |
