| Government | Angola |
| --- | --- |
| Country name: | conventional long form: Republic of Angola |
| Country name: | conventional short form: Angola |
| Country name: | local long form: Republica de Angola |
| Country name: | local short form: Angola |
| Country name: | former: People's Republic of Angola |
| Government type: | republic; multiparty presidential regime |
| Capital: | name: Luanda |
| Capital: | geographic coordinates: 8 50 S, 13 13 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 18 provinces (provincias, singular - provincia); Bengo, Benguela, Bie, Cabinda, Kwando Kubango, Kwanza Norte, Kwanza Sul, Cunene, Huambo, Huila, Luanda, Lunda Norte, Lunda Sul, Malanje, Moxico, Namibe, Uige, Zaire |
| Independence: | 11 November 1975 (from Portugal) |
| National holiday: | Independence Day, 11 November (1975) |
| Constitution: | adopted by National Assembly 5 February 2010 |
| Legal system: | civil legal system based on Portuguese civil law; no judicial review of legislation |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Jose Eduardo DOS SANTOS (since 21 September 1979); Vice President Manuel Domingos VICENTE (since 26 September 2012); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President Jose Eduardo DOS SANTOS (since 21 September 1979); Vice President Manuel Domingos VICENTE (since 26 September 2012) |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president indirectly elected by National Assembly for a five-year term (eligible for a second consecutive or discontinuous term) under the 2010 constitution; President DOS SANTOS was selected by the party to take over after the death of former President Augustino NETO (1979) under a one-party system and stood for reelection in Angola's first multiparty elections on 29-30 September 1992 but the election was suspended; following the results of the 2012 legislative elections Jose Eduardo DOS SANTOS was indirectly elected president(elligible for a second term) |
| Executive branch: | election results: NA; Jose Eduardo DOS SANTOS was indirectly elected president by the National Assembly following legislative elections on 31 August 2012; DOS SANTOS was inaugurated on 26 September 2012 to serve the first of a possible two terms under the 2010 constitution |
| Legislative branch: | unicameral National Assembly or Assembleia Nacional (220 seats; members elected by proportional vote to serve four-year terms) |
| Legislative branch: | elections: last held on 31 August 2012 (next to be held in 2016) |
| Legislative branch: | election results: percent of vote by party - MPLA 71.8%, UNITA 18.7%, CASA-CE 6.0%, PRS 1.7%, FNLA 1.1%, other 0.8%; seats by party - MPLA 175, UNITA 32, CASA-CE 8, PRS 3, FNLA 2 |
| Judicial branch: | Constitutional Court or Tribunal Constitucional; Supreme Court or Tribunal Supremo; Court of Auditions or Tribunal de Contas; Supreme Military Court or Supremo Tribunal Militar; judges for all courts appointed by the president |
| Political parties and leaders: | Broad Convergence for Salvation of Angola Electoral Coalition or CASA-CE [Abel CHIVUKUVUKU]; National Front for the Liberation of Angola or FNLA [Lucas NGONDA]; National Union for the Total Independence of Angola or UNITA [Isaias SAMAKUVA] (largest opposition party); New Democracy Electoral Union or ND [Quintino de MOREIRA]; Popular Movement for the Liberation of Angola or MPLA [Jose Eduardo DOS SANTOS] (ruling party in power since 1975); Social Renewal Party or PRS [Eduardo KUANGANA] |
| Political parties and leaders: | note: 21 other parties registered to participate in the national election in August 2012 |
| Political pressure groups and leaders: | Front for the Liberation of the Enclave of Cabinda or FLEC [N'zita Henriques TIAGO, Antonio Bento BEMBE] |
| Political pressure groups and leaders: | note: FLEC's small-scale armed struggle for the independence of Cabinda Province persists despite the signing of a peace accord with the government in August 2006 |
| International organization participation: | ACP, AfDB, AU, CPLP, FAO, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, ITUC (NGOs), MIGA, NAM, OAS (observer), OPEC, SADC, UN, UNCTAD, UNESCO, UNIDO, Union Latina, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Alberto do Carmo BENTO RIBEIRO |
| Diplomatic representation in the US: | chancery: 2108 16th Street NW, Washington, DC 20009 |
| Diplomatic representation in the US: | telephone: [1] (202) 785-1156 |
| Diplomatic representation in the US: | FAX: [1] (202) 785-1258 |
| Diplomatic representation in the US: | consulate(s) general: Houston, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Christopher J. MCMULLEN |
| Diplomatic representation from the US: | embassy: number 32 Rua Houari Boumedienne (in the Miramar area of Luanda), Luanda |
| Diplomatic representation from the US: | mailing address: international mail: Caixa Postal 6468, Luanda; pouch: US Embassy Luanda, US Department of State, 2550 Luanda Place, Washington, DC 20521-2550 |
| Diplomatic representation from the US: | telephone: [244] (222) 64-1000 |
| Diplomatic representation from the US: | FAX: [244] (222) 64-1232 |
| Flag description: | two equal horizontal bands of red (top) and black with a centered yellow emblem consisting of a five-pointed star within half a cogwheel crossed by a machete (in the style of a hammer and sickle); red represents liberty, black the African continent, the symbols characterize workers and peasants |
| National symbol(s): | sable antelope |
| National anthem: | name: "Angola Avante" (Forward Angola) |
| National anthem: | lyrics/music: Manuel Rui Alves MONTEIRO/Rui Alberto Vieira Dias MINGAO |
| National anthem: | note: adopted 1975 |
