| Government | Angola |
| --- | --- |
| Country name: | conventional long form: Republic of Angola |
| Country name: | conventional short form: Angola |
| Country name: | local long form: Republica de Angola |
| Country name: | local short form: Angola |
| Country name: | former: People's Republic of Angola |
| Country name: | etymology: name derived by the Portuguese from the title "ngola" held by kings of the Ndongo (Ndongo was a kingdom in what is now northern Angola) |
| Government type: | presidential republic |
| Capital: | name: Luanda |
| Capital: | geographic coordinates: 8 50 S, 13 13 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: does not observe daylight savings time |
| Capital: | etymology: originally named "Sao Paulo da Assuncao de Loanda" (Saint Paul of the Assumption of Loanda), which over time was shortened and corrupted to just Luanda |
| Administrative divisions: | 18 provinces (provincias, singular - provincia); Bengo, Benguela, Bie, Cabinda, Cunene, Huambo, Huila, Kwando Kubango, Kwanza Norte, Kwanza Sul, Luanda, Lunda Norte, Lunda Sul, Malanje, Moxico, Namibe, Uige, Zaire |
| Independence: | 11 November 1975 (from Portugal) |
| National holiday: | Independence Day, 11 November (1975) |
| Constitution: | history: previous 1975, 1992; latest passed by National Assembly 21 January 2010, adopted 5 February 2010 |
| Constitution: | amendments: proposed by the president of the republic or supported by at least one third of the National Assembly membership; passage requires at least two-thirds majority vote of the Assembly subject to prior Constitutional Court review if requested by the president of the republic (2017) |
| Legal system: | civil legal system based on Portuguese civil law; no judicial review of legislation |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Angola |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 10 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Joao Manuel Goncalves LOURENCO (since 26 September 2017); Vice President Bornito De Sousa Baltazar DIOGO (since 26 September 2017); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President Joao Manuel Goncalves LOURENCO (since 26 September 2017); Vice President Bornito De Sousa Baltazar DIOGO (since 26 September 2017) |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | elections/appointments: the candidate of the winning party or coalition in the last legislative election becomes the president; president serves a 5-year term (eligible for a second consecutive or discontinuous term); last held on 23 August 2017 (next to be held in 2022) |
| Executive branch: | election results: Joao Manuel Goncalves LOURENCO (MPLA) elected president by the winning party following the 23 August 2017 general election |
| Legislative branch: | description: unicameral National Assembly or Assembleia Nacional (220 seats; members directly elected in a single national constituency and in multi-seat constituencies by closed list proportional representation vote; members serve 5-year terms) |
| Legislative branch: | elections: last held on 23 August 2017 (next to be held in August 2022) |
