| Government | ANGOLA |
| --- | --- |
| Country name: | conventional long form: Republic of Angola |
| Country name: | conventional short form: Angola |
| Country name: | local long form: Republica de Angola |
| Country name: | local short form: Angola |
| Country name: | former: People's Republic of Angola |
| Country name: | etymology: name derived by the Portuguese from the title "ngola" held by kings of the Ndongo (Ndongo was a kingdom in what is now northern Angola) |
| Government type: | presidential republic |
| Capital: | name: Luanda |
| Capital: | geographic coordinates: 8 50 S, 13 13 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 18 provinces (provincias, singular - provincia); Bengo, Benguela, Bie, Cabinda, Cunene, Huambo, Huila, Kwando Kubango, Kwanza Norte, Kwanza Sul, Luanda, Lunda Norte, Lunda Sul, Malanje, Moxico, Namibe, Uige, Zaire |
| Independence: | 11 November 1975 (from Portugal) |
| National holiday: | Independence Day, 11 November (1975) |
| Constitution: | previous 1975, 1992; latest passed by National Assembly 21 January 2010, adopted 5 February 2010 (2016) |
| Legal system: | civil legal system based on Portuguese civil law; no judicial review of legislation |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Angola |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 10 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Jose Eduardo DOS SANTOS (since 21 September 1979); Vice President Manuel Domingos VICENTE (since 26 September 2012); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President Jose Eduardo DOS SANTOS (since 21 September 1979); Vice President Manuel Domingos VICENTE (since 26 September 2012) |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | elections/appointments: president indirectly elected by the National Assembly for a 5-year term (eligible for a second consecutive or discontinuous term); note - according to the 2010 constitution, ballots are cast for parties rather than candidates, and the leader of the winning party becomes president |
| Executive branch: | election results: NA; as leader of the MPLA, Jose Eduardo DOS SANTOS elected president following legislative elections on 31 August 2012, inaugurated on 26 September 2012 to serve the first of a possible two terms under the 2010 constitution |
| Legislative branch: | description: unicameral National Assembly or Assembleia Nacional (220 seats; members directly elected in a single national constituency and in multi-seat constituencies by proportional representation vote; members serve 5-year terms) |
| Legislative branch: | elections: last held on 31 August 2012 (next to be held in 2017) |
| Legislative branch: | election results: percent of vote by party - MPLA 71.8%, UNITA 18.7%, CASA-CE 6.0%, PRS 1.7%, FNLA 1.1%, other 0.7%; seats by party - MPLA 175, UNITA 32, CASA-CE 8, PRS 3, FNLA 2 |
| Judicial branch: | highest court(s): Supreme Court or Supremo Tribunal de Justica (consists of the court president, vice president, and a minimum of 16 judges); Constitutional Court or Tribunal Constitucional (consists of 11 judges) |
