| Government | Saint Kitts and Nevis |
| --- | --- |
| Country name: | conventional long form: Federation of Saint Kitts and Nevis |
| Country name: | conventional short form: Saint Kitts and Nevis |
| Country name: | former: Federation of Saint Christopher and Nevis |
| Government type: | parliamentary democracy and a Commonwealth realm |
| Capital: | name: Basseterre |
| Capital: | geographic coordinates: 17 18 N, 62 43 W |
| Capital: | time difference: UTC-4 (1 hour ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 14 parishes; Christ Church Nichola Town, Saint Anne Sandy Point, Saint George Basseterre, Saint George Gingerland, Saint James Windward, Saint John Capesterre, Saint John Figtree, Saint Mary Cayon, Saint Paul Capesterre, Saint Paul Charlestown, Saint Peter Basseterre, Saint Thomas Lowland, Saint Thomas Middle Island, Trinity Palmetto Point |
| Independence: | 19 September 1983 (from the UK) |
| National holiday: | Independence Day, 19 September (1983) |
| Constitution: | 19 September 1983 |
| Legal system: | English common law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Queen ELIZABETH II (since 6 February 1952); represented by Governor General Cuthbert Montraville SEBASTIAN (since 1 January 1996) |
| Executive branch: | head of government: Prime Minister Dr. Denzil DOUGLAS (since 6 July 1995); Deputy Prime Minister Sam CONDOR (since 6 July 1995) |
| Executive branch: | cabinet: Cabinet appointed by the governor general in consultation with the prime minister |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: the monarchy is hereditary; the governor general appointed by the monarch; following legislative elections, the leader of the majority party or leader of a majority coalition usually appointed prime minister by the governor general; deputy prime minister appointed by the governor general |
| Legislative branch: | unicameral National Assembly (14 seats, 3 appointed and 11 popularly elected from single-member constituencies; members serve five-year terms) |
| Legislative branch: | elections: last held on 25 January 2010 (next to be held by 2015) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - SKNLP 6, CCM 2, PAM 2, NRP 1 |
| Judicial branch: | Eastern Caribbean Supreme Court (consisting of a Court of Appeal and a High Court; based on Saint Lucia; two judges of the Supreme Court reside in Saint Kitts and Nevis); member of the Caribbean Court of Justice (CCJ) |
| Political parties and leaders: | Concerned Citizens Movement or CCM [Vance AMORY]; Nevis Reformation Party or NRP [Joseph PARRY]; People's Action Movement or PAM [Lindsay GRANT]; Saint Kitts and Nevis Labor Party or SKNLP [Dr. Denzil DOUGLAS] |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACP, AOSIS, C, Caricom, CDB, FAO, G-77, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, ITU, MIGA, NAM, OAS, OECS, OPANAL, OPCW, PetroCaribe, UN, UNCTAD, UNESCO, UNIDO, UPU, WHO, WIPO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Jacinth HENRY-MARTIN |
| Diplomatic representation in the US: | chancery: 3216 New Mexico Avenue NW, Washington, DC 20016 |
| Diplomatic representation in the US: | telephone: [1] (202) 686-2636 |
| Diplomatic representation in the US: | FAX: [1] (202) 686-5740 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | the US does not have an embassy in Saint Kitts and Nevis; the US Ambassador to Barbados is accredited to Saint Kitts and Nevis |
| Flag description: | divided diagonally from the lower hoist side by a broad black band bearing two white, five-pointed stars; the black band is edged in yellow; the upper triangle is green, the lower triangle is red; green signifies the island's fertility, red symbolizes the struggles of the people from slavery, yellow denotes year-round sunshine, and black represents the African heritage of the people; the white stars stand for the islands of Saint Kitts and Nevis, but can also express hope and liberty, or independence and optimism |
| National symbol(s): | brown pelican |
| National anthem: | name: "Oh Land of Beauty!" |
| National anthem: | lyrics/music: Kenrick Anderson GEORGES |
| National anthem: | note: adopted 1983 |
