| Government | Saint Kitts and Nevis |
| --- | --- |
| Country name: | conventional long form: Federation of Saint Kitts and Nevis |
| Country name: | conventional short form: Saint Kitts and Nevis |
| Country name: | former: Federation of Saint Christopher and Nevis |
| Government type: | constitutional monarchy with Westminster-style parliament |
| Capital: | Basseterre |
| Administrative divisions: | 14 parishes; Christ Church Nichola Town, Saint Anne Sandy Point, Saint George Basseterre, Saint George Gingerland, Saint James Windward, Saint John Capesterre, Saint John Figtree, Saint Mary Cayon, Saint Paul Capesterre, Saint Paul Charlestown, Saint Peter Basseterre, Saint Thomas Lowland, Saint Thomas Middle Island, Trinity Palmetto Point |
| Independence: | 19 September 1983 (from UK) |
| National holiday: | Independence Day, 19 September (1983) |
| Constitution: | 19 September 1983 |
| Legal system: | based on English common law |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Queen ELIZABETH II (since 6 February 1952), represented by Governor General Cuthbert Montraville SEBASTIAN (since 1 January 1996) |
| Executive branch: | head of government: Prime Minister Dr. Denzil DOUGLAS (since 6 July 1995) and Deputy Prime Minister Sam CONDOR (since 6 July 1995) |
| Executive branch: | cabinet: Cabinet appointed by the governor general in consultation with the prime minister |
| Executive branch: | elections: none; the monarch is hereditary; the governor general is appointed by the monarch; following legislative elections, the leader of the majority party or leader of a majority coalition is usually appointed prime minister by the governor general; deputy prime minister appointed by the governor general |
| Legislative branch: | unicameral National Assembly (14 seats, 3 appointed and 11 popularly elected from single-member constituencies; members serve five-year terms) |
| Legislative branch: | elections: last held 25 October 2004 (next to be held by 2009) |
| Legislative branch: | election results: percent of vote by party - NA%; seats by party - SKNLP 7, CCM 2, NRP 1, PAM 1 |
| Judicial branch: | Eastern Caribbean Supreme Court (based on Saint Lucia; one judge of the Supreme Court resides in Saint Kitts and Nevis) |
| Political parties and leaders: | Concerned Citizens Movement or CCM [Vance AMORY]; Nevis Reformation Party or NRP [Joseph PARRY]; People's Action Movement or PAM [Lindsey GRANT]; Saint Kitts and Nevis Labor Party or SKNLP [Dr. Denzil DOUGLAS] |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACP, C, Caricom, CDB, FAO, G-77, IBRD, ICAO, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, MIGA, OAS, OECS, OPANAL, OPCW, UN, UNCTAD, UNESCO, UNIDO, UPU, WHO, WIPO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Dr. Izben Cordinal WILLIAMS |
| Diplomatic representation in the US: | chancery: 3216 New Mexico Avenue NW, Washington, DC 20016 |
| Diplomatic representation in the US: | telephone: [1] (202) 686-2636 |
| Diplomatic representation in the US: | FAX: [1] (202) 686-5740 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | the US does not have an embassy in Saint Kitts and Nevis; the US Ambassador to Barbados is accredited to Saint Kitts and Nevis |
| Flag description: | divided diagonally from the lower hoist side by a broad black band bearing two white, five-pointed stars; the black band is edged in yellow; the upper triangle is green, the lower triangle is red |
