| Government | GABON |
| --- | --- |
| Country name: | conventional long form: Gabonese Republic |
| Country name: | conventional short form: Gabon |
| Country name: | local long form: Republique Gabonaise |
| Country name: | local short form: Gabon |
| Government type: | republic; multiparty presidential regime |
| Capital: | name: Libreville |
| Capital: | geographic coordinates: 0 23 N, 9 27 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 9 provinces; Estuaire, Haut-Ogooue, Moyen-Ogooue, Ngounie, Nyanga, Ogooue-Ivindo, Ogooue-Lolo, Ogooue-Maritime, Woleu-Ntem |
| Independence: | 17 August 1960 (from France) |
| National holiday: | Independence Day, 17 August (1960) |
| Constitution: | previous 1961; latest drafted May 1990, adopted 15 March 1991, promulgated 26 March 1991; amended several times, last in 2011 |
| Legal system: | mixed legal system of French civil law and customary law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Citizenship: | birthright citizenship: no, unless at least one parent is a citizen of Gabon |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 10 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Ali BONGO Ondimba (since 16 October 2009) |
| Executive branch: | head of government: Prime Minister Daniel ONA ONDO (since 27 January 2014) |
| Executive branch: | cabinet: Council of Ministers appointed by the prime minister in consultation with the president |
| Executive branch: | elections/appointments: president directly elected by simple majority popular vote for a 7-year term (no term limits); election last held on 30 August 2009 (next to be held in 2016); prime minister appointed by the president |
| Executive branch: | election results: Ali BONGO Ondimba elected president; percent of vote - Ali BONGO Ondimba (PDG) 41.7%, Andre MBA OBAME (independent) 25.9%, Pierre MAMBOUNDOU (UPG) 25.2%, Zacharie MYBOTO (UGDD) 3.9%, other 3.3%; note |
| Legislative branch: | description: bicameral Parliament or Parlement consists of the Senate or Senat (102 seats; members indirectly elected by municipal councils and departmental assemblies by absolute majority vote in two rounds; members serve 6-year terms) and the National Assembly or Assemblee Nationale (120 seats; members elected in single-seat constituencies by absolute majority vote in two rounds if needed; members serve 5-year terms) |
| Legislative branch: | elections: Senate - last held on 18 January 2009 (next to be held in January 2015); National Assembly - last held on 17 December 2011 (next to be held in December 2016) |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - PDG 75, RPG 6, UGDD 3, CLR 2, PGCI 2, PSD 2, UPG 2, ADERE 1, independent 9; National Assembly - percent of vote by party - NA; seats by party - PDG 114, RPG 3, other 3 |
| Judicial branch: | highest court(s): Supreme Court (organized into Judicial, Administrative, and Accounts chambers and consists of NA judges); Constitutional Court (consists of 9 judges) |
| Judicial branch: | judge selection and term of office: Supreme Court judges appointment and tenure NA; Constitutional Court judges appointed - 3 by the national president, 3 by the president of the Senate, and 3 by the president of the National Assembly; judges serve 7-year, single renewable terms |
| Judicial branch: | subordinate courts: Courts of Appeal; Court of State Security; county courts; military courts |
| Political parties and leaders: | Circle of Liberal Reformers or CLR [General Jean-Boniface ASSELE] |
| Political parties and leaders: | Democratic and Republican Alliance or ADERE [DIDJOB Divungui di Ndinge] |
| Political parties and leaders: | Gabonese Democratic Party or PDG [Ali BONGO Ondimba] |
| Political parties and leaders: | Independent Center Party of Gabon or PGCI [Luccheri GAHILA] |
| Political parties and leaders: | National Rally of Woodcutters-Democratic or RNB-D [Pierre Andre KOMBILA] |
| Political parties and leaders: | Social Democratic Party or PSD [Pierre Claver MAGANGA-MOUSSAVOU] |
| Political parties and leaders: | Union for the New Republic or UPRN [Louis Gaston MAYILA] |
| Political parties and leaders: | Union of Gabonese People or UPG [Richard MOULOMBA] |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACP, AfDB, AU, BDEAC, CEMAC, FAO, FZ, G-24, G-77, IAEA, IBRD, ICAO, ICCt, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, NAM, OIC, OIF, OPCW, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Baudelaire Ndong ELLA (since 31 July 2015) |
| Diplomatic representation in the US: | chancery: 2034 20th Street NW, Suite 200, Washington, DC 20009 |
| Diplomatic representation in the US: | telephone: [1] (202) 797-1000 |
| Diplomatic representation in the US: | FAX: [1] (301) 332-0668 |
| Diplomatic representation in the US: | consulate(s): New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Cythia Akuetteh (since 13 August 2014); note - also accredited to Sao Tome and Principe |
| Diplomatic representation from the US: | embassy: Boulevard du Bord de Mer, Libreville |
| Diplomatic representation from the US: | mailing address: Centre Ville, B. P. 4000, Libreville; pouch: 2270 Libreville Place, Washington, DC 20521-2270 |
| Diplomatic representation from the US: | telephone: [241] 01-45-71-00, after hours - 07380171 |
| Diplomatic representation from the US: | FAX: [241] 74 55 07 |
| Flag description: | three equal horizontal bands of green (top), yellow, and blue; green represents the country's forests and natural resources, gold represents the equator (which transects Gabon) as well as the sun, blue represents the sea |
| National symbol(s): | black panther; national colors: green, yellow, blue |
| National anthem: | name: "La Concorde" (The Concorde) |
| National anthem: | lyrics/music: Georges Aleka DAMAS |
| National anthem: | note: adopted 1960 |
