| Government | Cote d'Ivoire |
| --- | --- |
| Country name: | conventional long form: Republic of Cote d'Ivoire |
| Country name: | conventional short form: Cote d'Ivoire |
| Country name: | local long form: Republique de Cote d'Ivoire |
| Country name: | local short form: Cote d'Ivoire |
| Country name: | note: pronounced coat-div-whar |
| Country name: | former: Ivory Coast |
| Government type: | republic; multiparty presidential regime established 1960 |
| Government type: | note: the government is currently disputed as of 31 January 2011, with both candidates in the runoff claiming victory |
| Capital: | name: Yamoussoukro |
| Capital: | geographic coordinates: 6 49 N, 5 17 W |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC during Standard Time) |
| Capital: | note: although Yamoussoukro has been the official capital since 1983, Abidjan remains the commercial and administrative center; the US, like other countries, maintains its Embassy in Abidjan |
| Administrative divisions: | 19 regions; Agneby, Bafing, Bas-Sassandra, Denguele, Dix-Huit Montagnes, Fromager, Haut-Sassandra, Lacs, Lagunes, Marahoue, Moyen-Cavally, Moyen-Comoe, N'zi-Comoe, Savanes, Sud-Bandama, Sud-Comoe, Vallee du Bandama, Worodougou, Zanzan |
| Independence: | 7 August 1960 (from France) |
| National holiday: | Independence Day, 7 August (1960) |
| Constitution: | approved by referendum 23 July 2000 |
| Legal system: | civil law system based on the French civil code; judicial review in the Constitutional Chamber of the Supreme Court |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction under Article 12(3)of the Rome Statute |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Alassane OUATTARA (since 4 December 2010); |
| Executive branch: | head of government: Prime Minister Guillaume SORO (since 4 April 2007); |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president elected by popular vote for a five-year term (no term limits); election last held on 31 October and 28 November 2010 (next to be held in 2015); prime minister appointed by the president |
| Executive branch: | election results: Alassane OUATTARA elected president; percent of vote - Alassane OUATTARA 54.1%, Laurent GBAGBO 45.9%; note - President OUATTARA was declared winner by the election commission and took the oath of office on 4 December, Prime Minister SORO resigned from the incumbent administration and was subsequently appointed to the same position by OUATTARA; former president GBAGBO refused to cede resulting in a 6-month stand-off, he was finally forced to stand down in April 2011 |
| Legislative branch: | unicameral National Assembly or Assemblee Nationale (225 seats; members elected in single- and multi-district elections by direct popular vote to serve five-year terms) |
| Legislative branch: | elections: elections last held on 10 December 2000 with by-elections on 14 January 2001 (elections originally scheduled for 2005 have been repeatedly postponed by the government) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - FPI 96, PDCI-RDA 94, RDR 5, PIT 4, other 2, independents 22, vacant 2 |
| Legislative branch: | note: a Senate was scheduled to be created in October 2006 elections that never took place |
| Judicial branch: | Supreme Court or Cour Supreme consists of four chambers: Judicial Chamber for criminal cases, Audit Chamber for financial cases, Constitutional Chamber for judicial review cases, and Administrative Chamber for civil cases; there is no legal limit to the number of members |
| Political parties and leaders: | Citizen's Democratic Union or UDCY [Theodore MEL EG]; Democratic Party of Cote d'Ivoire or PDCI [Henri Konan BEDIE]; Freedom and Democracy for the Republic or LIBRE [Mamadou KOULIBALY]; Ivorian Popular Front or FPI [vacant]; Ivorian Worker's Party or PIT [Francis WODIE]; Opposition Movement of the Future or MFA [Innocent Augustin ANAKY]; Rally of the Republicans or RDR [Alassane OUATTARA]; Union for Democracy and Peace in Cote d'Ivoire or UDPCI [Toikeuse MABRI]; over 144 smaller registered parties |
| Political pressure groups and leaders: | Federation of University and High School Students of Cote d'Ivoire or FESCI [Serges KOFFI]; Rally of Houphouetists for Democracy and Peace or RHDP [Alphonse DJEDJE MADY]; Young Patriots [Charles BLE GOUDE] |
| International organization participation: | ACP, AfDB, AU, ECOWAS, Entente, FAO, FZ, G-24, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, MIGA, NAM, OIC, OIF, OPCW, UN, UNCTAD, UNESCO, UNHCR, UNIDO, Union Latina, UNWTO, UPU, WADB (regional), WAEMU, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Daouda DIABATE |
| Diplomatic representation in the US: | chancery: 2424 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 797-0300 |
| Diplomatic representation in the US: | FAX: [1] (202) 244-3088 |
| Diplomatic representation from the US: | chief of mission: Ambassador Wanda L. NESBITT |
| Diplomatic representation from the US: | embassy: Cocody Riviera Golf 01, Abidjan |
| Diplomatic representation from the US: | mailing address: B. P. 1712, Abidjan 01 |
| Diplomatic representation from the US: | telephone: [225] 22 49 40 00 |
| Diplomatic representation from the US: | FAX: [225] 22 49 43 32 |
| Flag description: | three equal vertical bands of orange (hoist side), white, and green; orange symbolizes the land (savannah) of the north and fertility, white stands for peace and unity, green represents the forests of the south and the hope for a bright future |
| Flag description: | note: similar to the flag of Ireland, which is longer and has the colors reversed - green (hoist side), white, and orange; also similar to the flag of Italy, which is green (hoist side), white, and red; design was based on the flag of France |
| National symbol(s): | elephant |
| National anthem: | name: "L'Abidjanaise" (Song of Abidjan) |
| National anthem: | lyrics/music: Mathieu EKRA, Joachim BONY, and Pierre Marie COTY/Pierre Marie COTY and Pierre Michel PANGO |
| National anthem: | note: adopted 1960; although the nation's capital city moved from Abidjan to Yamoussoukro in 1983, the anthem still owes its name to the former capital |
