| Government | Cuba |
| --- | --- |
| Country name: | conventional long form: Republic of Cuba |
| Country name: | conventional short form: Cuba |
| Country name: | local long form: Republica de Cuba |
| Country name: | local short form: Cuba |
| Country name: | etymology: name derives from the Taino Indian designation for the island "coabana" meaning "great place" |
| Government type: | communist state |
| Capital: | name: Havana |
| Capital: | geographic coordinates: 23 07 N, 82 21 W |
| Capital: | time difference: UTC-5 (same time as Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins second Sunday in March; ends first Sunday in November; note - Cuba has been known to alter the schedule of DST on short notice in an attempt to conserve electricity for lighting |
| Administrative divisions: | 15 provinces (provincias, singular - provincia) and 1 special municipality* (municipio especial); Artemisa, Camaguey, Ciego de Avila, Cienfuegos, Granma, Guantanamo, Holguin, Isla de la Juventud*, La Habana, Las Tunas, Matanzas, Mayabeque, Pinar del Rio, Sancti Spiritus, Santiago de Cuba, Villa Clara |
| Independence: | 20 May 1902 (from Spain 10 December 1898; administered by the US from 1898 to 1902); not acknowledged by the Cuban Government as a day of independence |
| National holiday: | Triumph of the Revolution (Liberation Day), 1 January (1959) |
| Constitution: | history: several previous; latest adopted by referendum 15 February 1976, effective 24 February 1976; note - in early June 2018, the Cuban Government announced that Raul CASTRO would head a commission to rewrite the country's constitution (2018) |
| Constitution: | amendments: proposed by the National Assembly of Peopleâ€™s Power; passage requires approval of at least two-thirds majority of the National Assembly membership; amendments to constitutional articles on the authorities of the National Assembly, Council of State, or any rights and duties in the constitution also require approval in a referendum; constitutional articles on the Cuban political, social, and economic system cannot be amended; amended 1978, 1992, 2002 (2018) |
| Legal system: | civil law system based on Spanish civil code |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Citizenship: | citizenship by birth: yes |
| Citizenship: | citizenship by descent only: yes |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: unknown |
| Suffrage: | 16 years of age; universal |
| Judicial branch: | highest courts: People's Supreme Court (consists of court president, vice president, 41 professional justices, and NA lay judges); organization includes the State Council, criminal, civil, administrative, labor, crimes against the state, and military courts) |
| Judicial branch: | judge selection and term of office: professional judges elected by the National Assembly are not subject to a specific term; lay judges nominated by workplace collectives and neighborhood associations and elected by municipal or provincial assemblies; lay judges appointed for 5-year terms and serve up to 30 days per year |
| Judicial branch: | subordinate courts: People's Provincial Courts; People's Regional Courts; People's Courts |
| Executive branch: | chief of state: President of the Council of State and President of the Council of Ministers Miguel DIAZ-CANEL Bermudez (since 19 April 2018); First Vice President of the Council of State and First Vice President of the Council of Ministers Salvador Antonio VALDES Mesa (since 19 April 2018); note - the president is both chief of state and head of government |
