| Government | Cuba |
| --- | --- |
| Country name: | conventional long form: Republic of Cuba |
| Country name: | conventional short form: Cuba |
| Country name: | local long form: Republica de Cuba |
| Country name: | local short form: Cuba |
| Country name: | etymology: name derives from the Taino Indian designation for the island "coabana" meaning "great place" |
| Government type: | communist state |
| Capital: | name: Havana |
| Capital: | geographic coordinates: 23 07 N, 82 21 W |
| Capital: | time difference: UTC-5 (same time as Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins second Sunday in March; ends first Sunday in November; note - Cuba has been known to alter the schedule of DST on short notice in an attempt to conserve electricity for lighting |
| Capital: | etymology: the sites of Spanish colonial cities often retained their original Taino names; Habana, the Spanish name for the city, may be based on the name of a local Taino chief, HABAGUANEX |
| Administrative divisions: | 15 provinces (provincias, singular - provincia) and 1 special municipality* (municipio especial); Artemisa, Camaguey, Ciego de Avila, Cienfuegos, Granma, Guantanamo, Holguin, Isla de la Juventud*, La Habana, Las Tunas, Matanzas, Mayabeque, Pinar del Rio, Sancti Spiritus, Santiago de Cuba, Villa Clara |
| Independence: | 20 May 1902 (from Spain 10 December 1898; administered by the US from 1898 to 1902); not acknowledged by the Cuban Government as a day of independence |
| National holiday: | Triumph of the Revolution (Liberation Day), 1 January (1959) |
| Constitution: | history: several previous; latest drafted 14 July 2018, approved by the National Assembly 22 December 2018, approved by referendum 24 February 2019 |
| Constitution: | amendments: proposed by the National Assembly of Peopleâ€™s Power; passage requires approval of at least two-thirds majority of the National Assembly membership; amendments to constitutional articles on the authorities of the National Assembly, Council of State, or any rights and duties in the constitution also require approval in a referendum; constitutional articles on the Cuban political, social, and economic system cannot be amended |
| Legal system: | civil law system based on Spanish civil code |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Citizenship: | citizenship by birth: yes |
| Citizenship: | citizenship by descent only: yes |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: unknown |
| Suffrage: | 16 years of age; universal |
| Executive branch: | chief of state: President Miguel DIAZ-CANEL Bermudez (since 10 October 2019); Vice President Salvador Antonio VALDES Mesa (since 10 October 2019); note - the president is both chief of state and head of government |
| Executive branch: | head of government: Prime Minister Manuel MARRERO Cruz (since 21 December 2019); Deputy Prime Ministers Ramiro VALDES Menendez, Roberto MORALES Ojeda, Ines Maria CHAPMAN Waugh, Jorge Luis TAPIA Fonseca, Alejandro GIL Fernandez, Ricardo CABRISAS Ruiz (since 21 December 2019) |
| Executive branch: | cabinet: Council of Ministers proposed by the president and appointed by the National Assembly; it is subordinate to the 21-member Council of State, which is elected by the Assembly to act on its behalf when it is not in session |
| Executive branch: | elections/appointments: president and vice president indirectly elected by the National Assembly for a 5-year term (may be reelected for another 5-year term); election last held on 10 October 2019 (next to be held in 2024) |
