| Government | Sri Lanka |
| --- | --- |
| Country name: | conventional long form: Democratic Socialist Republic of Sri Lanka |
| Country name: | conventional short form: Sri Lanka |
| Country name: | local long form: Shri Lanka Prajatantrika Samajavadi Janarajaya/Ilankai Jananayaka Choshalichak Kutiyarachu |
| Country name: | local short form: Shri Lanka/Ilankai |
| Country name: | former: Serendib, Ceylon |
| Country name: | etymology: the name means "resplendent island" in Sanskrit |
| Government type: | presidential republic |
| Capital: | name: Colombo (commercial capital); Sri Jayewardenepura Kotte (legislative capital) |
| Capital: | geographic coordinates: 6 55 N, 79 50 E |
| Capital: | time difference: UTC+5.5 (10.5 hours ahead of Washington, DC, during Standard Time) |
| Capital: | etymology: Colombo may derive from the Sinhala "kolon thota," meaning "port on the river" (referring to the Kelani River that empties into the Indian Ocean at Colombo); alternatively, the name may derive from the Sinhala "kola amba thota" meaning "harbor with mango trees"; it is also possible that the Portuguese named the city after Christopher COLUMBUS, who lived in Portugal for many years (as Cristovao COLOMBO) before discovering the Americas for the Spanish crown in 1492 - not long before the Portuguese made their way to Sri Lanka in 1505; Sri Jayewardenepura Kotte translates as "Resplendent City of Growing Victory" in Sinhala |
| Administrative divisions: | 9 provinces; Central, Eastern, North Central, Northern, North Western, Sabaragamuwa, Southern, Uva, Western |
| Independence: | 4 February 1948 (from the UK) |
| National holiday: | Independence Day (National Day), 4 February (1948) |
| Constitution: | history: several previous; latest adopted 16 August 1978, certified 31 August 1978 |
| Constitution: | amendments: proposed by Parliament; passage requires at least two-thirds majority vote of its total membership, certification by the president of the republic or the Parliament speaker, and in some cases approval in a referendum by absolute majority of valid votes; amended many times, last in 2020 |
| Legal system: | mixed legal system of Roman-Dutch civil law, English common law, Jaffna Tamil customary law, and Muslim personal law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Sri Lanka |
| Citizenship: | dual citizenship recognized: no, except in cases where the government rules it is to the benefit of Sri Lanka |
| Citizenship: | residency requirement for naturalization: 7 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Gotabaya RAJAPAKSA (since 18 November 2019); note - the president is both chief of state and head of government; Prime Minister Mahinda RAJAPAKSA (since 21 November 2019) |
| Executive branch: | head of government: President Gotabaya RAJAPAKSA (since 18 November 2019) |
| Executive branch: | cabinet: Cabinet appointed by the president in consultation with the prime minister |
| Executive branch: | elections/appointments: president directly elected by preferential majority popular vote for a 5-year term (eligible for a second term); election last held on 16 November 2019 (next to be held in 2024); prime minister appointed by the president from among members of Parliament for a 5-year term) |
| Executive branch: | election results: Gotabaya RAJAPAKSA elected president; percent of vote - Gotabaya RAJAPAKSA (SLPP) 52.2%, Sajith PREMADASA (UNP) 42%, other 5.8% |
| Legislative branch: | description: unicameral Parliament (225 seats; 196 members directly elected in multi-seat constituencies by proportional representation vote using a preferential method in which voters select 3 candidates in order of preference; remaining 29 seats allocated to other political parties and groups in proportion to share of national vote; members serve 5-year terms) |
| Legislative branch: | elections: last held on 17 August 2015 (next originally scheduled for 25 April 2020 but postponed to due to the COVID-19 pandemic) |
| Legislative branch: | election results: percent of vote by coalition/party - SLFPA 59.1%, SJB 23.9%, JVP 3.8%, TNA 2.8%, UNP 2.2%, TNPF 0.6%, EPDP 0.5%,Â  other 7.1%; seats by coalition/party - SLFPA 145, SJB 54, TNA 10, JVP 3, other 13; composition - NA |
| Judicial branch: | highest courts: Supreme Court of the Republic (consists of the chief justice and 9 justices); note - the court has exclusive jurisdiction to review legislation |
| Judicial branch: | judge selection and term of office: chief justice nominated by the Constitutional Council (CC), a 9-member high-level advisory body, and appointed by the president; other justices nominated by the CC and appointed by the president on the advice of the chief justice; all justices can serve until age 65 |
| Judicial branch: | subordinate courts: Court of Appeals; High Courts; Magistrates' Courts; municipal and primary courts |
| Political parties and leaders: | Crusaders for Democracy [Ganeshalingam CHANDRALINGAM] |
| Political parties and leaders: | Eelam People's Democratic Party or EPDP [Douglas DEVANANDA] |
| Political parties and leaders: | Eelam People's Revolutionary Liberation Front [Suresh PREMACHANDRAN] |
| Political parties and leaders: | Janatha Vimukthi Peramuna or JVP [Anura Kumara DISSANAYAKE] |
| Political parties and leaders: | Jathika Hela Urumaya or JHU [Karunarathna PARANAWITHANA, Ven. Hadigalle Wimalasara THERO] |
| Political parties and leaders: | National Peoples Power or JVP [Anura Kumara DISSANAYAKE] |
| Political parties and leaders: | Samagi Jana Balawegaya or SJB [Sajith PREMADASA] |
| Political parties and leaders: | Sri Lanka Freedom Party or SLFP [Maithripala SIRISENA] |
| Political parties and leaders: | Sri Lanka Muslim Congress or SLMC [Rauff HAKEEM] |
| Political parties and leaders: | Sri Lanka People's Freedom Alliance [Mahinda RAJAPAKSA] |
| Political parties and leaders: | Sri Lanka Podujana Peramuna or SLPP [G. L. PEIRIS] |
| Political parties and leaders: | Tamil National Alliance or TNA [Rajavarothiam SAMPANTHAN] (alliance includes Illankai Tamil Arasu Kachchi [Mavai SENATHIRAJAH], People's Liberation Organisation of Tamil Eelam [D. SIDDARTHAN], Tamil Eelam Liberation Organization [Selvam ADAIKALANATHAN]) |
| Political parties and leaders: | Tamil National People's Front [Gajendrakumar PONNAMBALAM] |
| Political parties and leaders: | United National Front for Good Governance or UNFGG [Ranil WICKREMESINGHE] (coalition includes JHU, UNP) |
| Political parties and leaders: | United National Party or UNP [Ranil WICKREMESINGHE] |
| Political parties and leaders: | United People's Freedom Alliance or UPFA [Maithripala SIRISENA] (coalition includes SLFP) |
| International organization participation: | ABEDA, ADB, ARF, BIMSTEC, C, CD, CICA (observer), CP, FAO, G-11, G-15, G-24, G-77, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MINURSO, MINUSTAH, MONUSCO, NAM, OAS (observer), OPCW, PCA, SAARC, SACEP, SCO (dialogue member), UN, UNCTAD, UNESCO, UNIDO, UNIFIL, UNISFA, UNMISS, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador E. Rodney M. PERERA (since 8 July 2019) |
| Diplomatic representation in the US: | chancery: 3025 Whitehaven Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 483-4025 through 4028 |
| Diplomatic representation in the US: | FAX: [1] (202) 232-7181 |
| Diplomatic representation in the US: | consulate(s) general: Los Angeles, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Alaina B.Â TEPLITZ (since 1 November 2018); note - also accredited to Maldives |
| Diplomatic representation from the US: | telephone: [94] (11) 249-8500 |
| Diplomatic representation from the US: | embassy: 210 Galle Road, Colombo 03 |
| Diplomatic representation from the US: | mailing address: P. O. Box 106, Colombo |
| Diplomatic representation from the US: | FAX: [94] (11) 243-7345 |
| Flag description: | yellow with two panels; the smaller hoist-side panel has two equal vertical bands of green (hoist side) and orange; the other larger panel depicts a yellow lion holding a sword on a maroon rectangular field that also displays a yellow bo leaf in each corner; the yellow field appears as a border around the entire flag and extends between the two panels; the lion represents Sinhalese ethnicity, the strength of the nation, and bravery; the sword demonstrates the sovereignty of the nation; the four bo leaves - symbolizing Buddhism and its influence on the country - stand for the four virtues of kindness, friendliness, happiness, and equanimity; orange signifies Sri Lankan Tamils, green Sri Lankan Moors, and maroon the Sinhalese majority; yellow denotes other ethnic groups; also referred to as the Lion Flag |
| National symbol(s): | lion, water lily; national colors: maroon, yellow |
| National anthem: | name: "Sri Lanka Matha" (Mother Sri Lanka) |
| National anthem: | lyrics/music: Ananda SAMARKONE |
| National anthem: | note: adopted 1951 |
