| Government | Palau |
| --- | --- |
| Country name: | conventional long form: Republic of Palau |
| Country name: | conventional short form: Palau |
| Country name: | local short form: Belau |
| Country name: | former: Palau District (Trust Territory of the Pacific Islands) |
| Country name: | local long form: Beluu er a Belau |
| Government type: | constitutional government in free association with the US; the Compact of Free Association entered into force 1 October 1994 |
| Capital: | Koror; note - a new capital is being built about 20 km northeast of Koror |
| Administrative divisions: | 16 states; Aimeliik, Airai, Angaur, Hatobohei, Kayangel, Koror, Melekeok, Ngaraard, Ngarchelong, Ngardmau, Ngatpang, Ngchesar, Ngeremlengui, Ngiwal, Peleliu, Sonsoral |
| Independence: | 1 October 1994 (from the US-administered UN Trusteeship) |
| National holiday: | Constitution Day, 9 July (1979) |
| Constitution: | 1 January 1981 |
| Legal system: | based on Trust Territory laws, acts of the legislature, municipal, common, and customary laws |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Tommy Esang REMENGESAU, Jr. (since 19 January 2001) and Vice President Sandra PIERANTOZZI (since 19 January 2001); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Tommy Esang REMENGESAU, Jr. (since 19 January 2001) and Vice President Sandra PIERANTOZZI (since 19 January 2001); note - the president is both the chief of state and head of government |
| Executive branch: | cabinet: Cabinet |
| Executive branch: | elections: president and vice president elected on separate tickets by popular vote for four-year terms; election last held 7 November 2000 (next to be held NA November 2004) |
| Executive branch: | election results: Tommy Esang REMENGESAU, Jr. elected president; percent of vote - Tommy Esang REMENGESAU, Jr. 53%, Peter SUGIYAMA 46%; Sandra PIERANTOZZI elected vice president; percent of vote - Sandra PIERANTOZZI 52%, Alan SEID 45% |
| Legislative branch: | bicameral Parliament or Olbiil Era Kelulau (OEK) consists of the Senate (9 seats; members elected by popular vote on a population basis to serve four-year terms) and the House of Delegates (16 seats; members elected by popular vote to serve four-year terms) |
| Legislative branch: | elections: Senate - last held 7 November 2000 (next to be held NA November 2004); House of Delegates - last held 7 November 2000 (next to be held NA November 2004) |
| Legislative branch: | election results: Senate - percent of vote - NA%; seats - independents 9; House of Delegates - percent of vote - NA%; seats - independents 16 |
| Judicial branch: | Supreme Court; National Court; Court of Common Pleas |
| Political parties and leaders: | none |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACP, ESCAP, FAO, G-77, IBRD, ICAO, ICRM, IDA, IFC, IFRCS, IMF, IOC, Sparteca, SPC, SPF, UN, UNCTAD, UNESCO, WHO |
| Diplomatic representation in the US: | chief of mission: Ambassador Hersey KYOTA |
| Diplomatic representation in the US: | consulate(s): Saipan (Northern Mariana Islands) |
| Diplomatic representation in the US: | FAX: [1] (202) 452-6281 |
| Diplomatic representation in the US: | telephone: [1] (202) 452-6814 |
| Diplomatic representation in the US: | chancery: 1800 K Street NW, Suite 714, Washington, DC 20006 |
| Diplomatic representation from the US: | chief of mission: the Ambassador to the Philippines is accredited to Palau |
| Diplomatic representation from the US: | embassy: address NA, Koror |
| Diplomatic representation from the US: | mailing address: P. O. Box 6028, Republic of Palau 96940 |
| Diplomatic representation from the US: | telephone: [680] 488-2920, 2990 |
| Diplomatic representation from the US: | FAX: [680] 488-2911 |
| Flag description: | light blue with a large yellow disk (representing the moon) shifted slightly to the hoist side |
