| Government | Palau |
| --- | --- |
| Country name: | conventional long form: Republic of Palau |
| Country name: | conventional short form: Palau |
| Country name: | local long form: Beluu er a Belau |
| Country name: | local short form: Belau |
| Country name: | former: Trust Territory of the Pacific Islands, Palau District |
| Government type: | constitutional government in free association with the US; the Compact of Free Association entered into force 1 October 1994 |
| Capital: | name: Melekeok |
| Capital: | geographic coordinates: 7 29 N, 134 38 E |
| Capital: | time difference: UTC+9 (14 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 16 states; Aimeliik, Airai, Angaur, Hatohobei, Kayangel, Koror, Melekeok, Ngaraard, Ngarchelong, Ngardmau, Ngatpang, Ngchesar, Ngeremlengui, Ngiwal, Peleliu, Sonsorol |
| Independence: | 1 October 1994 (from the US-administered UN Trusteeship) |
| National holiday: | Constitution Day, 9 July (1979) |
| Constitution: | 1 January 1981 |
| Legal system: | based on Trust Territory laws, acts of the legislature, municipal, common, and customary laws |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Tommy Esang REMENGESAU, Jr. (since 19 January 2001) and Vice President Camsek CHIN (since 1 January 2005); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Tommy Esang REMENGESAU, Jr. (since 19 January 2001) and Vice President Camsek CHIN (since 1 January 2005) |
| Executive branch: | cabinet: NA |
| Executive branch: | elections: president and vice president elected on separate tickets by popular vote for four-year terms (eligible for a second term); election last held 2 November 2004 (next to be held November 2008) |
| Executive branch: | election results: Tommy Esang REMENGESAU, Jr. reelected president; percent of vote - Tommy Esang REMENGESAU, Jr. 64%, Polycarp BASILIUS 33%; Elias Camsek CHIN elected vice president; percent of vote - Elias Camsek CHIN 70%, Sandra PIERANTOZZI 29% |
| Legislative branch: | bicameral Parliament or Olbiil Era Kelulau (OEK) consists of the Senate (9 seats; members elected by popular vote on a population basis to serve four-year terms) and the House of Delegates (16 seats; members elected by popular vote to serve four-year terms) |
| Legislative branch: | elections: Senate - last held 2 November 2004 (next to be held November 2008); House of Delegates - last held 2 November 2004 (next to be held November 2008) |
| Legislative branch: | election results: Senate - percent of vote - NA%; seats - independents 9 (four new members elected); House of Delegates - percent of vote - NA%; seats - independents 16 (one new member elected) |
| Judicial branch: | Supreme Court; National Court; Court of Common Pleas |
| Political parties and leaders: | none |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACP, AsDB, FAO, IAEA, IBRD, ICAO, ICRM, IDA, IFC, IFRCS, IMF, IOC, IPU, MIGA, OPCW, PIF, Sparteca, SPC, UN, UNCTAD, UNESCO, WHO |
| Diplomatic representation in the US: | chief of mission: Ambassador Hersey KYOTA |
| Diplomatic representation in the US: | chancery: 1700 Pennsylvania Avenue NW, Suite 400, Washington, DC 20006 |
| Diplomatic representation in the US: | telephone: [1] (202) 452-6814 |
| Diplomatic representation in the US: | FAX: [1] (202) 452-6281 |
| Diplomatic representation in the US: | consulate(s) general: Honolulu |
| Diplomatic representation in the US: | consulate(s): Tamuning (Guam) |
| Diplomatic representation from the US: | chief of mission: US ambassador to the Philippines is accredited to Palau |
| Diplomatic representation from the US: | embassy: Koror (no street address) |
| Diplomatic representation from the US: | mailing address: P. O. Box 6028, Republic of Palau 96940 |
| Diplomatic representation from the US: | telephone: [680] 488-2920, 2990 |
| Diplomatic representation from the US: | FAX: [680] 488-2911 |
| Flag description: | light blue with a large yellow disk (representing the moon) shifted slightly to the hoist side |
