| Government | Saudi Arabia |
| --- | --- |
| Country name: | conventional long form: Kingdom of Saudi Arabia |
| Country name: | conventional short form: Saudi Arabia |
| Country name: | local long form: Al Mamlakah al Arabiyah as Suudiyah |
| Country name: | local short form: Al Arabiyah as Suudiyah |
| Government type: | monarchy |
| Capital: | name: Riyadh |
| Capital: | geographic coordinates: 24 38 N, 46 43 E |
| Capital: | time difference: UTC+3 (8 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 13 provinces (mintaqat, singular - mintaqah); Al Bahah, Al Hudud ash Shamaliyah (Northern Border), Al Jawf, Al Madinah (Medina), Al Qasim, Ar Riyad (Riyadh), Ash Sharqiyah (Eastern), 'Asir, Ha'il, Jizan, Makkah (Mecca), Najran, Tabuk |
| Independence: | 23 September 1932 (unification of the kingdom) |
| National holiday: | Unification of the Kingdom, 23 September (1932) |
| Constitution: | governed according to Islamic law; the Basic Law that articulates the government's rights and responsibilities was promulgated by royal decree in 1992 |
| Legal system: | Islamic (sharia) legal system with some elements of Egyptian, French, and customary law; note - several secular codes have been introduced; commercial disputes handled by special committees |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | 21 years of age; male |
| Executive branch: | chief of state: King and Prime Minister ABDALLAH bin Abd al-Aziz Al Saud (since 1 August 2005); Heir Apparent Crown Prince; note - the monarch is both the chief of state and head of government |
| Executive branch: | head of government: King and Prime Minister ABDALLAH bin Abd al-Aziz Al Saud (since 1 August 2005); Deputy Prime Minister NAYIF bin Abd al-Aziz Al Saud |
| Executive branch: | cabinet: Council of Ministers appointed by the monarch every four years and includes many royal family members |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: none; the monarchy is hereditary; note - an Allegiance Commission created by royal decree in October 2006 established a committee of Saudi princes that will play a role in selecting future Saudi kings, but the system will not take effect until after Crown Prince SULTAN becomes king |
| Legislative branch: | Consultative Council or Majlis al-Shura (150 members and a chairman appointed by the monarch to serve four-year terms); note - though the Council of Ministers announced in October 2003 its intent to introduce elections for a third of the Majlis al-Shura incrementally over a period of four to five years, to date no such elections have been held or announced |
| Judicial branch: | Supreme Council of Justice |
| Political parties and leaders: | none |
| Political pressure groups and leaders: | Ansar Al Marah (supports women's rights) |
| Political pressure groups and leaders: | other: gas companies; religious groups |
| International organization participation: | ABEDA, AfDB (nonregional member), AFESD, AMF, BIS, FAO, G-20, G-77, GCC, IAEA, IBRD, ICAO, ICC, ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM (observer), IPU, ISO, ITSO, ITU, LAS, MIGA, NAM, OAPEC, OAS (observer), OIC, OPCW, OPEC, PCA, UN, UNCTAD, UNESCO, UNIDO, UNRWA, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Adil al-Ahmad al-JUBAYR |
| Diplomatic representation in the US: | chancery: 601 New Hampshire Avenue NW, Washington, DC 20037 |
| Diplomatic representation in the US: | telephone: [1] (202) 342-3800 |
| Diplomatic representation in the US: | FAX: [1] (202) 944-3113 |
| Diplomatic representation in the US: | consulate(s) general: Houston, Los Angeles, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador James B. SMITH |
| Diplomatic representation from the US: | embassy: Collector Road M, Diplomatic Quarter, Riyadh |
| Diplomatic representation from the US: | mailing address: American Embassy, Unit 61307, APO AE 09803-1307; International Mail: P. O. Box 94309, Riyadh 11693 |
| Diplomatic representation from the US: | telephone: [966] (1) 488-3800 |
| Diplomatic representation from the US: | FAX: [966] (1) 488-7360 |
| Diplomatic representation from the US: | consulate(s) general: Dhahran, Jiddah (Jeddah) |
| Flag description: | green, a traditional color in Islamic flags, with the Shahada or Muslim creed in large white Arabic script (translated as "There is no god but God; Muhammad is the Messenger of God") above a white horizontal saber (the tip points to the hoist side); design dates to the early twentieth century and is closely associated with the Al Saud family which established the kingdom in 1932; the flag is manufactured with differing obverse and reverse sides so that the Shahada reads - and the sword points - correctly from right to left on both sides |
| Flag description: | note: one of only three national flags that differ on their obverse and reverse sides - the others are Moldova and Paraguay |
| National symbol(s): | palm tree surmounting two crossed swords |
| National anthem: | name: "Aash Al Maleek" (Long Live Our Beloved King) |
| National anthem: | lyrics/music: Ibrahim KHAFAJI/Abdul Rahman al-KHATEEB |
| National anthem: | note: music adopted 1947, lyrics adopted 1984 |
