| Government | Saudi Arabia |
| --- | --- |
| Country name: | conventional long form: Kingdom of Saudi Arabia |
| Country name: | conventional short form: Saudi Arabia |
| Country name: | local long form: Al Mamlakah al Arabiyah as Suudiyah |
| Country name: | local short form: Al Arabiyah as Suudiyah |
| Government type: | monarchy |
| Capital: | name: Riyadh |
| Capital: | geographic coordinates: 24 39 N, 46 42 E |
| Capital: | time difference: UTC+3 (8 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 13 provinces (mintaqat, singular - mintaqah); Al Bahah, Al Hudud ash Shamaliyah (Northern Border), Al Jawf, Al Madinah (Medina), Al Qasim, Ar Riyad (Riyadh), Ash Sharqiyah (Eastern), 'Asir, Ha'il, Jazan, Makkah (Mecca), Najran, Tabuk |
| Independence: | 23 September 1932 (unification of the kingdom) |
| National holiday: | Unification of the Kingdom, 23 September (1932) |
| Constitution: | 1 March 1992 - Basic Law of Government, issued by royal decree, serves as the constitutional framework and is based on the Qur'an and the life and tradition of the Prophet Muhammad (2013) |
| Legal system: | Islamic (sharia) legal system with some elements of Egyptian, French, and customary law; note - several secular codes have been introduced; commercial disputes handled by special committees |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | 21 years of age; male |
| Executive branch: | chief of state: King and Prime Minister ABDALLAH bin Abd al-Aziz Al Saud (since 1 August 2005); Heir Apparent Crown Prince SALMAN bin Abd al-Aziz Al Saud, born 31 December 1935); Deputy Crown Prince MUQRIN bin Abd al-Aziz Al Saud (born 15 September 1945); note - the monarch is both chief of state and head of government |
| Executive branch: | head of government: King and Prime Minister ABDALLAH bin Abd al-Aziz Al Saud (since 1 August 2005); Deputy Prime Minister SALMAN bin Abd al-Aziz Al Saud (since 19 June 2012); Second Deputy Prime Minister MUQRIN bin Abd al-Aziz Al Saud (since February 2013) |
| Executive branch: | cabinet: Council of Ministers appointed by the monarch every four years and includes many royal family members |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: none; the monarchy is hereditary; note - an Allegiance Commission created by royal decree in October 2006 established a committee of Saudi princes that will play a role in selecting future Saudi kings, but the selection process becomes effective after King ABDALLAH's successor inherits the throne |
| Legislative branch: | Consultative Council or Majlis al-Shura (150 members and a chairman appointed by the monarch to serve four-year terms); note - though the Council of Ministers announced in October 2003 its intent to introduce elections for a third of the Majlis al-Shura incrementally over a period of four to five years, to date no such elections have been held or announced |
| Judicial branch: | highest court(s): High Court (consists of the court chief and organized into circuits with 3-judge panels except the criminal circuit which has a 5-judge panel for cases involving major punishments) |
| Judicial branch: | note - in 2005, King Abdullah issued decrees approving an overhaul of the judicial system and which were incorporated in the Judiciary Law of 2007; one change was the replacement of the Supreme Council of Justice with the High Court |
| Judicial branch: | judge selection and term of office: the High Court chief and chiefs of the High Court Circuits appointed by royal decree following the recommendation of the Supreme Judiciary Council, a 10-member body of high level judges and other judicial heads; new judges and assistant judges serve 1- and 2- year probations, respectively, before permanent assignment |
| Judicial branch: | subordinate courts: Court of Appeals;  first-degree courts composed of general, criminal, personal status, and commercial courts, and the Labor Court; hierarchy of administrative courts |
| Political parties and leaders: | none |
| Political pressure groups and leaders: | Ansar Al Marah (supports women's rights); Freedom and Justice Coalition (supports Shia rights) |
| Political pressure groups and leaders: | other: gas companies; religious groups |
| International organization participation: | ABEDA, AfDB (nonregional member), AFESD, AMF, BIS, CAEU, CP, FAO, G-20, G-77, GCC, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM (observer), IPU, ISO, ITSO, ITU, LAS, MIGA, NAM, OAPEC, OAS (observer), OIC, OPCW, OPEC, PCA, UN, UNCTAD, UNESCO, UNIDO, UNRWA, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Adil al-Ahmad al-JUBAYR (since 21 February 2007) |
| Diplomatic representation in the US: | chancery: 601 New Hampshire Avenue NW, Washington, DC 20037 |
| Diplomatic representation in the US: | telephone: [1] (202) 342-3800 |
| Diplomatic representation in the US: | FAX: [1] (202) 944-3113 |
| Diplomatic representation in the US: | consulate(s) general: Houston, Los Angeles, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Joseph WESTPHAL (since 26 March 2014) |
| Diplomatic representation from the US: | embassy: Collector Road M, Diplomatic Quarter, Riyadh |
| Diplomatic representation from the US: | mailing address: American Embassy, Unit 61307, APO AE 09803-1307; International Mail: P. O. Box 94309, Riyadh 11693 |
| Diplomatic representation from the US: | telephone: [966] (1) 488-3800 |
| Diplomatic representation from the US: | FAX: [966] (1) 488-7360 |
| Diplomatic representation from the US: | consulate(s) general: Dhahran, Jiddah (Jeddah) |
| Flag description: | green, a traditional color in Islamic flags, with the Shahada or Muslim creed in large white Arabic script (translated as "There is no god but God; Muhammad is the Messenger of God") above a white horizontal saber (the tip points to the hoist side); design dates to the early twentieth century and is closely associated with the Al Saud family which established the kingdom in 1932; the flag is manufactured with differing obverse and reverse sides so that the Shahada reads - and the sword points - correctly from right to left on both sides |
| Flag description: | note: one of only three national flags that differ on their obverse and reverse sides - the others are Moldova and Paraguay |
| National symbol(s): | palm tree surmounting two crossed swords |
| National anthem: | name: "Aash Al Maleek" (Long Live Our Beloved King) |
| National anthem: | lyrics/music: Ibrahim KHAFAJI/Abdul Rahman al-KHATEEB |
| National anthem: | note: music adopted 1947, lyrics adopted 1984 |
