| Government | SAUDI ARABIA |
| --- | --- |
| Country name: | conventional long form: Kingdom of Saudi Arabia |
| Country name: | conventional short form: Saudi Arabia |
| Country name: | local long form: Al Mamlakah al Arabiyah as Suudiyah |
| Country name: | local short form: Al Arabiyah as Suudiyah |
| Country name: | etymology: named after the ruling dynasty of the country, the House of Saud; the name "Arabia" can be traced back many centuries B.C., the ancient Egyptians referred to the region as "Ar Rabi" |
| Government type: | absolute monarchy |
| Capital: | name: Riyadh |
| Capital: | geographic coordinates: 24 39 N, 46 42 E |
| Capital: | time difference: UTC+3 (8 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 13 provinces (mintaqat, singular - mintaqah); Al Bahah, Al Hudud ash Shamaliyah (Northern Border), Al Jawf, Al Madinah (Medina), Al Qasim, Ar Riyad (Riyadh), Ash Sharqiyah (Eastern), 'Asir, Ha'il, Jazan, Makkah (Mecca), Najran, Tabuk |
| Independence: | 23 September 1932 (unification of the kingdom) |
| National holiday: | Saudi National Day (Unification of the Kingdom), 23 September (1932) |
| Constitution: | history: 1 March 1992 - Basic Law of Government, issued by royal decree, serves as the constitutional framework and is based on the Qur'an and the life and traditions of the Prophet Muhammad |
| Constitution: | amendments: proposed by the king directly or proposed to the king by the Consultative Assembly or by the Council of Ministers; passage by the king through royal decree; Basic Law amended many times, last in 2005 (2016) |
| Legal system: | Islamic (sharia) legal system with some elements of Egyptian, French, and customary law; note - several secular codes have been introduced; commercial disputes handled by special committees |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: the father must be a citizen of Saudi Arabia; a child born out of wedlock in Saudi Arabia to a Saudi mother and unknown father |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 18 years of age; restricted to male; universal for municipal elections |
| Executive branch: | chief of state: King and Prime Minister SALMAN bin Abd al-Aziz Al Saud (since 23 January 2015); Crown Prince MUHAMMAD BIN SALMAN bin Abd al-Aziz Al Saud (born 31 August 1985); note - the monarch is both chief of state and head of government |
| Executive branch: | head of government: King and Prime Minister SALMAN bin Abd al-Aziz Al Saud (since 23 January 2015); Crown Prince MUHAMMAD BIN SALMAN bin Abd al-Aziz Al Saud (born 31 August 1985) |
| Executive branch: | cabinet: Council of Ministers appointed by the monarch every 4 years and includes many royal family members |
| Executive branch: | elections/appointments: none; the monarchy is hereditary; an Allegiance Council created by royal decree in October 2006 established a committee of Saudi princes for a voice in selecting future Saudi kings |
| Legislative branch: | description: unicameral Consultative Council or Majlis al-Shura (150 seats; members appointed by the monarch to serve 4-year terms); note - in early 2013, the monarch granted women 30 seats on the Council |
