| Government | Kosovo |
| --- | --- |
| Country name: | conventional long form: Republic of Kosovo |
| Country name: | conventional short form: Kosovo |
| Country name: | local long form: Republika e Kosoves (Republika Kosovo) |
| Country name: | local short form: Kosova (Kosovo) |
| Government type: | republic |
| Capital: | name: Pristina (Prishtine, Prishtina) |
| Capital: | geographic coordinates: 42 40 N, 21 10 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 37 municipalities (komunat, singular - komuna (Albanian); opstine, singular - opstina (Serbian)); Decan (Decani), Dragash (Dragas), Ferizaj (Urosevac), Fushe Kosove (Kosovo Polje), Gjakove (Dakovica), Gjilan (Gnjilane), Gllogovc (Glogovac), Gracanice (Gracanica), Hani i Elezit (Deneral Jankovic), Istog (Istok), Junik, Kacanik, Kamenice/Dardana (Kamenica), Kline (Klina), Kllokot (Klokot), Leposaviq (Leposavic), Lipjan (Lipljan), Malisheve (Malisevo), Mamushe (Mamusa), Mitrovice (Mitrovica), Novoberde (Novo Brdo), Obiliq (Obilic), Partesh (Partes), Peje (Pec), Podujeve (Podujevo), Prishtine (Pristina), Prizren, Rahovec (Orahovac), Ranillug (Ranilug), Shterpce (Strpce), Shtime (Stimlje), Skenderaj (Srbica), Suhareke (Suva Reka), Viti (Vitina), Vushtrri (Vucitrn), Zubin Potok, Zvecan |
| Independence: | 17 February 2008 (from Serbia) |
| National holiday: | Independence Day, 17 February (2008) |
| Constitution: | adopted by the Kosovo Assembly 9 April 2008; effective 15 June 2008 |
| Legal system: | evolving legal system; mixture of applicable Kosovo law, UNMIK laws and regulations, and applicable laws of the Former Socialist Republic of Yugoslavia that were in effect in Kosovo as of 22 March 1989 |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Atifete JAHJAGA (since 7 April 2011); |
| Executive branch: | head of government: Prime Minister Hashim THACI (since 9 January 2008) |
| Executive branch: | cabinet: ministers; elected by the Kosovo Assembly |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: the president is elected for a five-year term by the Kosovo Assembly; election last held on 7 April 2011; note - the prime minister elected by the Kosovo Assembly |
| Executive branch: | election results: Atifete JAHJAGA elected in one round (JAHJAGA 80, Suzana NOVOBERDALIU 10); Hashim THACI reelected prime minister by the Assembly |
| Legislative branch: | unicameral national Assembly (120 seats; 100 seats directly elected, 10 seats guaranteed for ethnic Serbs, 10 seats guaranteed for other ethnic minorities; members to serve four-year terms) |
| Legislative branch: | elections: last held on 12 December 2010 with runoff elections in a few municipalities in January 2011 (next expected to be held in 2015) |
| Legislative branch: | election results: percent of vote by party - PDK 30.1%, LDK 23.9%, VV 12.4%, AAK 10.6%, KKR 7.1%, SLS 7.1%, JSL 3.5%, KDTP 2.7%, VAKAT 1.8%, and BSDAK 0.9%; seats by party - PDK 34, LDK 27, VV 12, AAK 11, KKR 8, SLS 8, JSL 4, KDTP 3, VAKAT 2, LB 2, BSDAK 1, NDS 1, PAI 1, SDSKIM 1, PREBK 1, IRDK 1, AKR 1, PDAK 1, GIG 1 |
| Judicial branch: | Supreme Court; Appellate Court; basic courts; Constitutional Court |
| Judicial branch: | note: the Law on Courts, which went into effect on 1 January 2011, provided for a reorganization of the court system; the Kosovo Constitution dictates that the Supreme Court of Kosovo is the highest judicial authority, and provides for a Kosovo Judicial Council (KJC) that proposes to the president candidates for appointment or reappointment as judges and prosecutors; the KJC is also responsible for decisions on the promotion and transfer of judges and disciplinary proceedings against judges; at least 15 percent of Supreme Court and district court judges shall be from non-majority communities |
| Political parties and leaders: | Albanian Christian Democratic Party of Kosovo or PShDK [Uke BERISHA]; Alliance for a New Kosovo or AKR [Behgjet PACOLLI]; Alliance for the Future of Kosovo or AAK [Ramush HARADINAJ]; Alliance of Independent Social Democrats of Kosovo and Metohija or SDSKIM [Ljubisa ZIVIC]; Ashkali Party for Integration or PAI; Bosniak Party of Democratic Action of Kosovo or BSDAK; Bosniak Vakat Coalition or DSV [Sadik IDRIZI]; Citizens' Initiative of Gora or GIG [Murselj HALJILJI]; Coalition for New Kosovo or KKR; Democratic Action Party or SDA [Numan BALIC]; Democratic League of Dardania or LDD [Nexhat DACI]; Democratic League of Kosovo or LDK [Isa MUSTAFA]; Democratic Party of Ashkali of Kosovo or PDAK [Berat QERIMI]; Democratic Party of Bosniaks [Dzezair MURATI]; Democratic Party of Kosovo or PDK [Hashim THACI]; Independent Liberal Party or SLS [Slobadan PETROVIC]; Kosovo Democratic Turkish Party or KDTP [Mahir YAGCILAR]; Movement for Self-Determination (Vetevendosje) or VV [Albin KURTI]; Movement for Unification or LB; New Democratic Initiative of Kosovo or IRDK [Xhevdet NEZIRAJ]; New Democratic Party or NDS [Predrag JOVIC]; Serb National Party or SNS [Mihailo SCEPANOVIC]; Serbian Democratic Party of Kosovo and Metohija or SDS KiM [Slavisa PETKOVIC]; Serbian Kosovo and Metohija Party or SKMS [Dragisa MIRIC]; Serbian National Council of Northern Kosovo and Metohija or SNV [Milan IVANOVIC]; Social Democratic Party of Kosovo or PSDK [Agim CEKU]; Socialist Party of Kosovo or PSK [Ilaz KADOLLI]; United Roma Party of Kosovo or PREBK [Haxhi Zylfi MERXHA]; United Serb List or JSL |
| Political pressure groups and leaders: | Council for the Defense of Human Rights and Freedom (human rights); Organization for Democracy, Anti-Corruption and Dignity Rise! [Avni ZOGIANI]; Serb National Council (SNV); The Speak Up Movement [Ramadan ILAZI] |
| International organization participation: | IBRD, IDA, IFC, IMF, ITUC (NGOs), MIGA |
| Diplomatic representation in the US: | chief of mission: Ambassador Akan ISMAILI |
| Diplomatic representation in the US: | chancery: 1101 30th Street NW, Suites 330/340, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: 202-380-3581 |
| Diplomatic representation in the US: | FAX: 202-380-3628 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Tracey Ann JACOBSON |
| Diplomatic representation from the US: | embassy: Arberia/Dragodan, Nazim Hikmet 30, Pristina, Kosovo |
| Diplomatic representation from the US: | mailing address: use embassy street address |
| Diplomatic representation from the US: | telephone: [381] 38 59 59 3000 |
| Diplomatic representation from the US: | FAX: [381] 38 549 890 |
| Flag description: | centered on a dark blue field is the geographical shape of Kosovo in a gold color surmounted by six white, five-pointed stars arrayed in a slight arc; each star represents one of the major ethnic groups of Kosovo: Albanians, Serbs, Turks, Gorani, Roma, and Bosniaks |
| National anthem: | name: "Europe" |
| National anthem: | lyrics/music: none/Mendi MENGJIQI |
| National anthem: | note: adopted 2008; Kosovo chose to not include lyrics in its anthem so as not to offend minority ethnic groups in the country |
