| Government | Kosovo |
| --- | --- |
| Country name: | conventional long form: Republic of Kosovo |
| Country name: | conventional short form: Kosovo |
| Country name: | local long form: Republika e Kosoves (Republika Kosovo) |
| Country name: | local short form: Kosova (Kosovo) |
| Government type: | republic |
| Capital: | name: Pristina (Prishtine, Prishtina) |
| Capital: | geographic coordinates: 42 40 N, 21 10 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 30 municipalities (komunat, singular - komuna in Albanian; opstine, singular - opstina in Serbian); Decan (Decani), Dragash (Dragas), Ferizaj (Urosevac), Fushe Kosove (Kosovo Polje), Gjakove (Dakovica), Gjilan (Gnjilane), Gllogovc/Drenas (Glogovac), Istog (Istok), Kacanik, Kamenice/Dardana (Kamenica), Kline (Klina), Leposaviq (Leposavic), Lipjan (Lipljan), Malisheve (Malisevo), Mitrovice (Mitrovica), Novoberde (Novo Brdo), Obiliq (Obilic), Peje (Pec), Podujeve (Podujevo), Prishtine (Pristina), Prizren, Rahovec (Orahovac), Shterpce (Strpce), Shtime (Stimlje), Skenderaj (Srbica), Suhareke (Suva Reka), Viti (Vitina), Vushtrri (Vucitrn), Zubin Potok, Zvecan |
| Administrative divisions: | note - the Government of Kosovo has announced the establishment of eight additional municipalities in accordance with UN Special Envoy AHTISAARI's mandated decentralization process; the boundaries of several municipalities are pending final approval; the municipalities are: Gracanice (Gracanica), Hani i Elezit (Dzeneral Jankovic), Junik, Kllokot-Verboc (Klokot-Vrbovac), Mamushe (Mamusa), Partes, and Ranillug (Ranilug); in addition, the current Mitrovice (Mitrovica) municipality is to be split into Mitrovice (Mitrovica) North and Mitrovice (Mitrovica) South |
| Independence: | 17 February 2008 (from Serbia) |
| National holiday: | Independence Day, 17 February (2008) |
| Constitution: | adopted by the Kosovo Assembly on 9 April 2008; effective 15 June 2008 |
| Legal system: | evolving legal system based on terms of former UN Special Envoy Martti AHTISAARI's Plan for Kosovo's supervised independence; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Acting President Jakup KRASNIQI (since 27 September 2010) |
| Executive branch: | head of government: Prime Minister Hashim THACI (since 9 January 2008) |
| Executive branch: | cabinet: ministers; elected by the Kosovo Assembly |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: the president elected for a five-year term by the Kosovo Assembly; election last held on 9 January 2008 (next to be held - a special election in 2011); the prime minister elected by the Kosovo Assembly |
| Executive branch: | election results: Fatmir SEJDIU reelected president after three rounds; note - resigned from the office of president on 27 Septermber 2010; Hashim THACI elected prime minister by the Assembly |
| Legislative branch: | unicameral national Assembly (120 seats; 100 seats directly elected, 10 seats guaranteed for ethnic Serbs, 10 seats guaranteed for other ethnic minorities; members to serve four-year terms) |
| Legislative branch: | elections: last held on 17 November 2007 (next expected to be held in 2011) |
| Legislative branch: | election results: percent of vote by party - PDK 34.3%, LDK 22.6%, AKR 12.3%, LDD 10.0%, AAK 9.6%, other 11.2%; seats by party - PDK 37, LDK 25, AKR 13, LDD 11, AAK 10, other 4 |
| Judicial branch: | Supreme Court; district courts; municipal courts |
| Judicial branch: | note: the Kosovo Constitution dictates that the Supreme Court of Kosovo is the highest judicial authority, and provides for a Kosovo Judicial Council (KJC) that proposes to the president candidates for appointment or reappointment as judges and prosecutors; the KJC is also responsible for decisions on the promotion and transfer of judges and disciplinary proceedings against judges; at least 15 percent of Supreme Court and district court judges shall be from non-majority communities |
| Political parties and leaders: | Albanian Christian Democratic Party of Kosovo or PShDK [Ton MARKU]; Alliance for a New Kosovo or AKR [Behgjet PACOLLI]; Alliance for the Future of Kosovo or AAK [Ramush HARADINAJ]; Alliance of Independent Social Democrats of Kosovo and Metohija or SDSKIM [Ljubisa ZIVIC]; Bosniak Vakat Coalition or DSV [Sadik IDRIZI]; Citizens' Initiative of Gora or GIG [Murselj HALJILJI]; Democratic Action Party or SDA [Numan BALIC]; Democratic League of Dardania or LDD [Nexhat DACI]; Democratic League of Kosovo or LDK [Fatmir SEJDIU]; Democratic Party of Ashkali of Kosovo or PDAK [Berat QERIMI]; Democratic Party of Bosniaks [Dzezair MURATI]; Democratic Party of Kosovo or PDK [Hashim THACI]; Independent Liberal Party or SLS [Slobadan PETROVIC]; Kosovo Democratic Turkish Party of KDTP [Mahir YAGCILAR]; New Democratic Initiative of Kosovo or IRDK [Xhevdet NEZIRAJ]; New Democratic Party or ND [Predrag JOVIC]; New Kosovo Alliance or AKR [Behxhet PACOLLI]; Reform Party Ora [Teuta SAHATCIA]; Serb National Party or SNS [Mihailo SCEPANOVIC]; Serbian Democratic Party of Kosovo and Metohija or SDS KiM [Slavisa PETKOVIC]; Serbian Kosovo and Metohija Party or SKMS [Dragisa MIRIC]; Serbian National Council of Northern Kosovo and Metohija or SNV [Milan IVANOVIC]; Social Democratic Party of Kosovo or PSDK [Agim CEKU]; Socialist Party of Kosovo or PSK [Emrush XHEMAJLI]; United Roma Party of Kosovo or PREBK [Haxhi Zylfi MERXHA] |
| Political pressure groups and leaders: | Council for the Defense of Human Rights and Freedom (human rights); Humanitarian Law Centre (human rights); Movement for Self-Determination; Serb National Council (SNV) |
| International organization participation: | IBRD, IDA, IFC, IMF, ITUC, MIGA |
| Diplomatic representation in the US: | chief of mission: Ambassador Avni SPAHIU |
| Diplomatic representation in the US: | chancery: 1101 30th Street NW, Suites 330/340, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: 202-380-3581 |
| Diplomatic representation in the US: | FAX: 202-380-3628 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Christopher William DELL |
| Diplomatic representation from the US: | embassy: Arberia/Dragodan, Nazim Hikmet 30, Pristina, Kosovo |
| Diplomatic representation from the US: | mailing address: use embassy street address |
| Diplomatic representation from the US: | telephone: [381] 38 59 59 3000 |
| Diplomatic representation from the US: | FAX: [381] 38 549 890 |
| Flag description: | centered on a dark blue field is the geographical shape of Kosovo in a gold color surmounted by six white, five-pointed stars arrayed in a slight arc; each star represents one of the major ethnic groups of Kosovo: Albanians, Serbs, Turks, Gorani, Roma, and Bosniaks |
| National anthem: | name: "Europe" |
| National anthem: | lyrics/music: none/Mendi MENGJIQI |
| National anthem: | note: adopted 2008; Kosovo chose to not include lyrics in its anthem so as not to offend minority ethnic groups in the country |
