| Government | GREENLAND |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Greenland |
| Country name: | local long form: none |
| Country name: | local short form: Kalaallit Nunaat |
| Country name: | note: named by Norwegian adventurer Erik THORVALDSSON (Erik the Red) in 985 in order to entice settlers to the island |
| Dependency status: | part of the Kingdom of Denmark; self-governing overseas administrative division of Denmark since 1979 |
| Government type: | parliamentary democracy within a constitutional monarchy |
| Capital: | name: Nuuk (Godthab) |
| Capital: | geographic coordinates: 64 11 N, 51 45 W |
| Capital: | time difference: UTC-3 (2 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Capital: | note: Greenland has four time zones |
| Administrative divisions: | 4 municipalities (kommuner, singular kommune); Kujalleq, Qaasuitsup, Qeqqata, Sermersooq |
| Administrative divisions: | note: the North and East Greenland National Park (Avannaarsuani Tunumilu Nuna Allanngutsaaliugaq) and the Thule Air Base in Pituffik (in northwest Greenland) are two unincorporated areas; the national park's 972,000 sq km - about 46% of the island - make it the largest national park in the world and also the most northerly |
| Independence: | none (extensive self-rule as part of the Kingdom of Denmark; foreign affairs is the responsibility of Denmark, but Greenland actively participates in international agreements relating to Greenland) |
| National holiday: | June 21 (longest day) |
| Constitution: | previous 1953 (Greenland established as a constituency in the Danish constitution), 1979 (Greenland Home Rule Act); latest 21 June 2009 (Greenland Self-Government Act) (2015) |
| Legal system: | the laws of Denmark apply |
| Citizenship: | see Denmark |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Queen MARGRETHE II of Denmark (since 14 January 1972), represented by High Commissioner Mikaela ENGELL (since April 2011) |
| Executive branch: | head of government: Prime Minister Kim KIELSEN (since 30 September 2014) |
| Executive branch: | cabinet: Home Rule Government elected by the Parliament (Landsting) on the basis of the strength of parties |
| Executive branch: | elections/appointments: the monarchy is hereditary; high commissioner appointed by the monarch; prime minister indirectly elected by Parliament |
| Executive branch: | election results: Kim KIELSEN elected prime minister; Parliament vote - Kim KIELSEN (S) 34.3%, Sara OLSVIG (IA) 33.2%, Anda ULDUM (D) 11.8%, other 20.7% |
| Legislative branch: | description: unicameral Parliament or Inatsisartut (Landsting) (31 seats; members directly elected in multi-seat constituencies by proportional representation vote to serve 4-year terms) |
| Legislative branch: | note: two representatives were elected to the Danish Parliament or Folketing on 15 September 2011 (next to be held by September 2015); percent of vote by party - NA; seats by party - Siumut 1, Inuit Ataqatigiit 1 |
| Legislative branch: | elections: last held on 28 November 2014 (next to be held by 2018) |
| Legislative branch: | election results: percent of vote by party - S 34.6%, IA 33.5%, D 11.9%, PN 11.7%, A 6.6%, other 1.7%; seats by party - S 11, IA 11, D 4, PN 3, A 2 (2013) |
| Judicial branch: | highest court(s): High Court of Greenland (consists of the presiding professional judge and 2 lay assessors); note - appeals beyond the High Court of Greenland can be heard by the Supreme Court (in Copenhagen) |
| Judicial branch: | judge selection and term of office: judges appointed by the monarch upon the recommendation of the Judicial Appointments Council, a 6-member independent body of judges and lawyers; judges appointed for life with retirement at age 70 |
| Judicial branch: | subordinate courts: Court of Greenland; 18 district or magistrates' courts |
| Political parties and leaders: | Democrats Party (Demokraatit) or D [Jens B. FREDERIKSEN] |
| Political parties and leaders: | Forward Party (Siumut) or S [Aleqa HAMMOND] |
| Political parties and leaders: | Inuit Community (Inuit Ataqatigiit) or IA [Kuupik KLEIST] |
| Political parties and leaders: | Inuit Party (Partii Inuit) or PI [Nikku OLSEN] |
| Political parties and leaders: | Partii Naleraq or PN [Hans ENOKSEN] |
| Political parties and leaders: | Solidarity Party (Atassut) or A [Gerhardt PETERSEN] |
| Political pressure groups and leaders: | other: conservationists; environmentalists |
| International organization participation: | Arctic Council, ICC, NC, NIB, UPU |
| Diplomatic representation in the US: | none (self-governing overseas administrative division of Denmark) |
| Diplomatic representation from the US: | none (self-governing overseas administrative division of Denmark) |
| Flag description: | two equal horizontal bands of white (top) and red with a large disk slightly to the hoist side of center - the top half of the disk is red, the bottom half is white; the design represents the sun reflecting off a field of ice; the colors are the same as those of the Danish flag and symbolize Greenland's links to the Kingdom of Denmark |
| National symbol(s): | polar bear; national colors: red, white |
| National anthem: | name: "Nunarput utoqqarsuanngoravit" ("Our Country, Who's Become So Old" also translated as "You Our Ancient Land") |
| National anthem: | lyrics/music: Henrik LUND/Jonathan PETERSEN |
| National anthem: | note: adopted 1916; the government also recognizes "Nuna asiilasooq" as a secondary anthem |
