| Government | Greenland |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Greenland |
| Country name: | local long form: none |
| Country name: | local short form: Kalaallit Nunaat |
| Dependency status: | part of the Kingdom of Denmark; self-governing overseas administrative division of Denmark since 1979 |
| Government type: | parliamentary democracy within a constitutional monarchy |
| Capital: | name: Nuuk (Godthab) |
| Capital: | geographic coordinates: 64 11 N, 51 45 W |
| Capital: | time difference: UTC-3 (2 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Capital: | note: Greenland is divided into four time zones |
| Administrative divisions: | 3 districts (landsdele); Avannaa (Nordgronland), Tunu (Ostgronland), Kitaa (Vestgronland) |
| Administrative divisions: | note: there are 18 municipalities in Greenland |
| Independence: | none (extensive self-rule as part of the Kingdom of Denmark; foreign affairs is the responsibility of Denmark, but Greenland actively participates in international agreements relating to Greenland) |
| National holiday: | June 21 (longest day) |
| Constitution: | (November 2008) Act on Greenland Self Government |
| Legal system: | the laws of Denmark, where applicable, apply |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Queen MARGRETHE II of Denmark (since 14 January 1972), represented by High Commissioner Soren MOLLER (since April 2005) |
| Executive branch: | head of government: Prime Minister Kuupik KLEIST (since 12 June 2009) |
| Executive branch: | cabinet: Home Rule Government is elected by the Parliament (Landsting) on the basis of the strength of parties |
| Executive branch: | elections: the monarchy is hereditary; high commissioner appointed by the monarch; prime minister is elected by parliament (usually the leader of the majority party) |
| Executive branch: | election results: Kuupik KLEIST elected prime minister |
| Legislative branch: | unicameral Parliament or Landsting (31 seats; members are elected by popular vote on the basis of proportional representation to serve four-year terms) |
| Legislative branch: | elections: last held on 2 June 2009 (next to be held by 2014) |
| Legislative branch: | election results: percent of vote by party - Inuit Ataqatigiit 43.7%, Siumut 26.5%, Demokratiit 12.7%, Atassut 10.9%; Kattusseqatigiit 3.8%, other 2.4%; seats by party - IA 14, Siumut 9, Demokraatiit 4, Atassut 3, Kattusseqatigiit 1 |
| Legislative branch: | note: two representatives were elected to the Danish Parliament or Folketing on 13 November 2007 (next to be held in November 2011); percent of vote by party - NA; seats by party - Siumut 1, Inuit Ataqatigiit 1 |
| Judicial branch: | High Court or Landsret (appeals can be made to the Ostre Landsret or Eastern Division of the High Court or Supreme Court in Copenhagen) |
| Political parties and leaders: | Atassut Party (Solidarity) [Finn KARLSEN] (a conservative party favoring continuing close relations with Denmark); Demokratiit [Per BERTHELSEN]; Inuit Ataqatigiit or IA (Eskimo Brotherhood) [Josef MOTZFELDT] (a leftist party favoring complete independence from Denmark rather than home rule); Kattusseqatigiit (Candidate List) (an independent right-of-center party with no official platform); Siumut (Forward Party) [Hans ENOKSEN] (a social democratic party advocating more distinct Greenlandic identity and greater autonomy from Denmark) |
| Political pressure groups and leaders: | other: conservationists; environmentalists |
| International organization participation: | Arctic Council, NC, NIB, UPU |
| Diplomatic representation in the US: | none (self-governing overseas administrative division of Denmark) |
| Diplomatic representation from the US: | none (self-governing overseas administrative division of Denmark) |
| Flag description: | two equal horizontal bands of white (top) and red with a large disk slightly to the hoist side of center - the top half of the disk is red, the bottom half is white; the design represents the sun reflecting off a field of ice; the colors are the same as those of the Danish flag and symbolize Greenland's links to the Kingdom of Denmark |
