| Government | Benin |
| --- | --- |
| Country name: | conventional long form: Republic of Benin |
| Country name: | conventional short form: Benin |
| Country name: | local short form: Benin |
| Country name: | former: Dahomey |
| Country name: | local long form: Republique du Benin |
| Government type: | republic under multiparty democratic rule; dropped Marxism-Leninism December 1989; democratic reforms adopted February 1990; transition to multiparty system completed 4 April 1991 |
| Capital: | Porto-Novo is the official capital; Cotonou is the seat of government |
| Administrative divisions: | 12 departments; Alibori, Atakora, Atlantique, Borgou, Collines, Kouffo, Donga, Littoral, Mono, Oueme, Plateau, Zou |
| Independence: | 1 August 1960 (from France) |
| National holiday: | National Day, 1 August (1960) |
| Constitution: | December 1990 |
| Legal system: | based on French civil law and customary law; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Mathieu KEREKOU (since 4 April 1996); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Mathieu KEREKOU (since 4 April 1996); note - the president is both the chief of state and head of government |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | elections: president reelected by popular vote for a five-year term; runoff election held 22 March 2001 (next to be held NA March 2006) |
| Executive branch: | note: the four top-ranking contenders following the first-round presidential elections were: Mathieu KEREKOU (incumbent) 45.4%, Nicephore SOGOLO (former president) 27.1%, Adrien HOUNGBEDJI (National Assembly Speaker) 12.6%, and Bruno AMOUSSOU (Minister of State) 8.6%; the second-round balloting, originally scheduled for 18 March 2001, was postponed four days because both SOGOLO and HOUNGBEDJI withdrew alleging electoral fraud; this left KEREKOU to run against his own Minister of State, AMOUSSOU, in what was termed a "friendly match" |
| Executive branch: | election results: Mathieu KEREKOU reelected president; percent of vote - Mathieu KEREKOU 84.1%, Bruno AMOUSSOU 15.9% |
| Legislative branch: | unicameral National Assembly or Assemblee Nationale (83 seats; members are elected by direct popular vote to serve four-year terms) |
| Legislative branch: | election results: percent of vote by party - NA%; seats by party - Presidential Movement 52, opposition (PRB, PRD, E'toile, and 5 other small parties) 31 |
| Legislative branch: | elections: last held 30 March 2003 (next to be held NA March 2007) |
| Judicial branch: | Constitutional Court or Cour Constitutionnelle; Supreme Court or Cour Supreme; High Court of Justice |
| Political parties and leaders: | African Congress for Renewal or DUNYA [Saka SALEY]; African Movement for Democracy and Progress or MADEP [Sefou FAGBOHOUN]; Alliance of the Social Democratic Party or PSD [Bruno AMOUSSOU]; Coalition of Democratic Forces [Gatien HOUNGBEDJI]; Democratic Renewal Party or PRD [Adrien HOUNGBEDJI]; Front for Renewal and Development or FARD-ALAFIA [Jerome Sakia KINA]; Impulse for Progress and Democracy or IPD [Bertin BORNA]; Key Force or FC [leader NA]; Presidential Movement (UBF, MADEP, FC, IDP, and 4 other small parties); Renaissance Party du Benin or PRB [Nicephore SOGLO]; The Star Alliance (Alliance E'toile) [Sacca LAFIA]; Union of Tomorrow's Benin or UBF [Bruno AMOUSSOU] |
| Political parties and leaders: | note: approximately 20 additional minor parties |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACP, AfDB, ECA, ECOWAS, Entente, FAO, FZ, G-77, IAEA, IBRD, ICAO, ICCt, ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ITU, MIPONUH, MONUC, NAM, OAU, OIC, OPCW, UN, UNCTAD, UNESCO, UNIDO, UNMEE, UPU, WADB (regional), WAEMU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| Diplomatic representation in the US: | chief of mission: Ambassador Cyrille Segbe OGUIN |
| Diplomatic representation in the US: | FAX: [1] (202) 265-1996 |
| Diplomatic representation in the US: | telephone: [1] (202) 232-6656 |
| Diplomatic representation in the US: | chancery: 2124 Kalorama Road NW, Washington, DC 20008 |
| Diplomatic representation from the US: | chief of mission: Ambassador Wayne NEILL |
| Diplomatic representation from the US: | embassy: Rue Caporal Bernard Anani, Cotonou |
| Diplomatic representation from the US: | mailing address: 01 B. P. 2012, Cotonou |
| Diplomatic representation from the US: | telephone: [229] 30-06-50 |
| Diplomatic representation from the US: | FAX: [229] 30-06-70 |
| Flag description: | two equal horizontal bands of yellow (top) and red with a vertical green band on the hoist side |
