| Government | Pakistan |
| --- | --- |
| Country name: | conventional long form: Islamic Republic of Pakistan |
| Country name: | conventional short form: Pakistan |
| Country name: | local long form: Jamhuryat Islami Pakistan |
| Country name: | local short form: Pakistan |
| Country name: | former: West Pakistan |
| Government type: | federal republic |
| Capital: | name: Islamabad |
| Capital: | geographic coordinates: 33 41 N, 73 03 E |
| Capital: | time difference: UTC+5 (10 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 4 provinces, 1 territory*, and 1 capital territory**; Balochistan, Federally Administered Tribal Areas*, Islamabad Capital Territory**, Khyber Pakhtunkhwa (formerly North-West Frontier Province), Punjab, Sindh |
| Administrative divisions: | note: the Pakistani-administered portion of the disputed Jammu and Kashmir region consists of two administrative entities: Azad Kashmir and Gilgit-Baltistan |
| Independence: | 14 August 1947 (from British India) |
| National holiday: | Pakistan Day (also referred to as Pakistan Resolution Day or Republic Day), 23 March (1940); note - commemorates both the adoption of the Lahore Resolution by the All-India Muslim League during its 22-24 March 1940 session, which called for the creation of independent Muslim states, and the adoption of the first constitution of Pakistan during the transition to the Islamic Republic of Pakistan on 23 March 1956 |
| Constitution: | several previous; latest endorsed 12 April 1973, passed 19 April 1973, entered into force 14 August 1973 (suspended and restored several times); amended many times, last in 2012 (2012) |
| Legal system: | common law system with Islamic law influence |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; non-party state to the ICCt |
| Suffrage: | 18 years of age; universal; note - there are joint electorates and reserved parliamentary seats for women and non-Muslims |
| Executive branch: | chief of state: President Mamnoon HUSSAIN (since 9 September 2013) |
| Executive branch: | head of government: Prime Minister Mohammad Nawaz SHARIF (since 5 June 2013) |
| Executive branch: | cabinet: Cabinet appointed by the president upon the advice of the prime minister |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president elected by secret ballot through an Electoral College comprising the members of the Senate, National Assembly, and provincial assemblies for a five-year term; election last held on 9 September 2013 (next to be held in 2018); prime minister selected by the National Assembly |
| Executive branch: | election results: Mamnoon HUSSAIN elected president; Mamnoon HUSSAIN 432 votes, Wajihuddin AHMED 77 votes |
| Legislative branch: | bicameral parliament or Majlis-e-Shoora consists of the Senate (104 seats; members indirectly elected by provincial assemblies and the territories' representatives in the National Assembly to serve six-year terms; one half are elected every three years) and the National Assembly (342 seats; 272 members elected by popular vote; 60 seats reserved for women; 10 seats reserved for non-Muslims; members serve five-year terms) |
| Legislative branch: | elections: Senate - last held on 2 March 2012 (next to be held in March 2015); National Assembly - last held on 11 May 2013 (next to be held in 2018) |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - PPPP 41, PML-N 14, ANP 12, JUI-F 7, MQM 7, PML-Q 5, BNP-A 4, NPP 1, PML-F 1, independents 12; National Assembly - percent of votes by party - NA; seats by party as of June 2013) - PML-N 126, PPPP 31, PTI 28, MQM 18, JUI-F 10, PML-F 5, other 22, independents 25, unfilled seats 7; 60 seats reserved for women, 10 seats reserved for non-Muslims |
| Judicial branch: | highest court(s): Supreme Court of Pakistan (consists of the chief justice and 16 judges) |
| Judicial branch: | judge selection and term of office: justices nominated by an 8-member Majlis-e-Shoora (parliamentary) Committee upon the recommendation of the Judicial Commission (a 9-member body of several judges and other judicial professionals), and appointed by the president of Pakistan; justices can serve until age 65 |
| Judicial branch: | subordinate courts: High Courts; Federal Shariat Court; provincial and district civil and criminal courts; specialized courts for issues such as taxation, banking, customs, etc. |
| Political parties and leaders: | Awami National Party or ANP [Asfandyar Wali KHAN] |
| Political parties and leaders: | Balochistan National Party-Awami or BNP-A |
| Political parties and leaders: | Balochistan National Party-Hayee Group or BNP-H [Dr. Hayee BALOCH] |
| Political parties and leaders: | Balochistan National Party-Mengal or BNP-M |
| Political parties and leaders: | Jamaat-i Islami or JI [Syed Munawar HASAN] |
| Political parties and leaders: | Jamhoori Watan Party or JWP |
| Political parties and leaders: | Jamiat Ahle Hadith or JAH [Sajid MIR] |
| Political parties and leaders: | Jamiat-i Ulema-i Islam Fazl-ur Rehman or JUI-F [Fazl-ur REHMAN] |
| Political parties and leaders: | Jamiat-i Ulema-i Islam Sami-ul HAQ or JUI-S [Sami ul-HAQ] |
| Political parties and leaders: | Jamiat-i Ulema-i Pakistan or JUP [Abul Khair ZUBAIR] |
| Political parties and leaders: | Millat-e-Jafferia [Allama Sajid NAQVI] |
| Political parties and leaders: | Muttahida Qaumi Movement or MQM [Altaf HUSSAIN] |
| Political parties and leaders: | National Peoples Party or NPP |
| Political parties and leaders: | Pakhtun-khwa Milli Awami Party or PKMAP [Mahmood Khan ACHAKZAI] |
| Political parties and leaders: | Pakistan Awami Tehrik or PAT [Tahir ul QADRI] |
| Political parties and leaders: | Pakistan Muslim League-Quaid-i Azam or PML-Q [Chaudhry Shujaat HUSSAIN] |
| Political parties and leaders: | Pakistan Muslim League-Functional or PML-F [Pir PAGARO] |
| Political parties and leaders: | Pakistan Muslim League-Nawaz or PML-N [Nawaz SHARIF] |
| Political parties and leaders: | Pakistan Peoples Party Parliamentarians or PPPP [Bilawal Bhutto ZARDARI, chairman; Asif Ali ZARDARI, co-chairman] |
| Political parties and leaders: | Pakistan Peoples Party-S [Aftab Ahmad SHERPAO] |
| Political parties and leaders: | Quami Watan Party or QWP [Aftab Ahmed Khan SHERPAO] |
| Political parties and leaders: | Pakistan Tehrik-e Insaaf or PTI [Imran KHAN] |
| Political parties and leaders: | note: political alliances in Pakistan can shift frequently |
| Political pressure groups and leaders: | other: military (most important political force); ulema (clergy); landowners; industrialists; small merchants |
| International organization participation: | ADB, ARF, ASEAN (dialogue partner), C, CICA, CP, D-8, ECO, FAO, G-11, G-24, G-77, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), LAIA (observer), MIGA, MINURSO, MONUSCO, NAM, OAS (observer), OIC, OPCW, PCA, SAARC, SACEP, SCO (observer), UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNISFA, UNMIL, UNMIT, UNOCI, UNSC (temporary), UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador (acting) Asad KHAN, Dr. |
| Diplomatic representation in the US: | chancery: 3517 International Court, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 243-6500 |
| Diplomatic representation in the US: | FAX: [1] (202) 686-1534 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Houston, Los Angeles, New York, Sunnyvale (CA) |
| Diplomatic representation in the US: | consulate(s): Chicago, Houston |
| Diplomatic representation from the US: | chief of mission: Ambassador Richard OLSON (since 24 September 2012) |
| Diplomatic representation from the US: | embassy: Diplomatic Enclave, Ramna 5, Islamabad |
| Diplomatic representation from the US: | mailing address: 8100 Islamabad Pl., Washington, DC 20521-8100 |
| Diplomatic representation from the US: | telephone: [92] (51) 208-0000 |
| Diplomatic representation from the US: | FAX: [92] (51) 227-6427 |
| Diplomatic representation from the US: | consulate(s) general: Karachi |
| Diplomatic representation from the US: | consulate(s): Lahore, Peshawar |
| Flag description: | green with a vertical white band (symbolizing the role of religious minorities) on the hoist side; a large white crescent and star are centered in the green field; the crescent, star, and color green are traditional symbols of Islam |
| National symbol(s): | star and crescent |
