| Government | Pakistan |
| --- | --- |
| Country name: | conventional long form: Islamic Republic of Pakistan |
| Country name: | conventional short form: Pakistan |
| Country name: | local long form: Jamhuryat Islami Pakistan |
| Country name: | local short form: Pakistan |
| Country name: | former: West Pakistan |
| Government type: | federal republic |
| Capital: | name: Islamabad |
| Capital: | geographic coordinates: 33 42 N, 73 10 E |
| Capital: | time difference: UTC+5 (10 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 4 provinces, 1 territory*, and 1 capital territory**; Balochistan, Federally Administered Tribal Areas*, Islamabad Capital Territory**, Khyber Pakhtunkhwa (formerly North-West Frontier Province), Punjab, Sindh |
| Administrative divisions: | note: the Pakistani-administered portion of the disputed Jammu and Kashmir region consists of two administrative entities: Azad Kashmir and Gilgit-Baltistan |
| Independence: | 14 August 1947 (from British India) |
| National holiday: | Republic Day, 23 March (1956) |
| Constitution: | 12 April 1973; suspended 5 July 1977, restored 30 December 1985; suspended 15 October 1999, restored in stages in 2002; amended 31 December 2003; suspended 3 November 2007; restored on 15 December 2007; amended 19 April 2010 |
| Legal system: | based on English common law with provisions to accommodate Pakistan's status as an Islamic state; accepts compulsory ICJ jurisdiction with reservations |
| Suffrage: | 18 years of age; universal; joint electorates and reserved parliamentary seats for women and non-Muslims |
| Executive branch: | chief of state: President Asif Ali ZARDARI (since 9 September 2008) |
| Executive branch: | head of government: Prime Minister Syed Yousuf Raza GILANI (since 25 March 2008) |
| Executive branch: | cabinet: Cabinet appointed by the president upon the advice of the prime minister |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: the president elected by secret ballot through an Electoral College comprising the members of the Senate, National Assembly, and the provincial assemblies for a five-year term; election last held on 6 September 2008 (next to be held not later than 2013); note - any person who is a Muslim and not less than 45 years of age and is qualified to be elected as a member of the National Assembly can contest the presidential election; the prime minister selected by the National Assembly; election last held on 24 March 2008 |
| Executive branch: | election results: Asif Ali ZARDARI elected president; ZARDARI 481 votes, SIDDIQUE 153 votes, SYED 44 votes; Syed Yousuf Raza GILANI elected prime minister; GILANI 264 votes, Pervaiz ELAHI 42 votes; several abstentions |
| Legislative branch: | bicameral parliament or Majlis-e-Shoora consists of the Senate (100 seats; members indirectly elected by provincial assemblies and the territories' representatives in the National Assembly to serve six-year terms; one half are elected every three years) and the National Assembly (342 seats; 272 members elected by popular vote; 60 seats reserved for women; 10 seats reserved for non-Muslims; members serve five-year terms) |
| Legislative branch: | elections: Senate - last held on 3 March 2009 (next to be held in March 2012); National Assembly - last held on 18 February 2008 with by-elections on 26 June 2008 (next to be held in 2013) |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - PPPP 27, PML-Q 21, MMA 9, PML-N 7, ANP 6, MQM 6, JUI-F 4, BNP-A 2, JWP 1, NPP 1, PKMAP 1, PML-F 1, PPP 1, independents 13; National Assembly - percent of votes by party - NA; seats by party as of October 2010 - PPPP 127, PML-N 90, PML 51, MQM 25, ANP 13, JUI-F 8, PML-F 5, BNP-A 1, NPP 1, PPP-S 1, independents 18, unfilled seats - 2 |
| Judicial branch: | Supreme Court (justices appointed by the president); Federal Islamic or Sharia Court |
| Political parties and leaders: | Awami National Party or ANP [Asfandyar Wali KHAN]; Balochistan National Party-Awami or BNP-A [Moheem Khan BALOCH]; Balochistan National Party-Hayee Group or BNP-H [Dr. Hayee BALOCH]; Balochistan National Party-Mengal or BNP-M [Sardar Ataullah MENGAL]; Jamaat-i Islami or JI [Syed Munawar HASAN]; Jamhoori Watan Party or JWP; Jamiat Ahle Hadith or JAH [Sajid MIR]; Jamiat Ulema-i Islam Fazl-ur Rehman or JUI-F [Fazl-ur REHMAN]; Jamiat Ulema-i Islam Sami-ul HAQ or JUI-S [Sami ul-HAQ]; Jamiat Ulema-i Pakistan or JUP [Shah Faridul HAQ]; Muttahida Majlis-e Amal or MMA [Qazi Hussain AHMED]; Muttahida Qaumi Movement or MQM [Altaf HUSSAIN]; National Alliance or NA [Ghulam Mustapha JATOI] (merged with PML); National Peoples Party or NPP; Pakhtun Khwa Milli Awami Party or PKMAP [Mahmood Khan ACHAKZAI]; Pakistan Awami Tehrik or PAT [Tahir ul QADRI]; Pakistan Muslim League or PML [Chaudhry Shujaat HUSSAIN]; Pakistan Muslim League-Functional or PML-F [Pir PAGARO]; Pakistan Muslim League-Nawaz or PML-N [Nawaz SHARIF]; Pakistan Peoples Party Parliamentarians or PPPP [Bilawal Bhutto ZARDARI, chairman; Asif Ali ZARDARI, co-chairman]; Pakistan Peoples Party-SHERPAO or PPP-S [Aftab Ahmed Khan SHERPAO]; Pakistan Tehrik-e Insaaf or PTI [Imran KHAN]; Tehrik-i Islami [Allama Sajid NAQVI] |
| Political parties and leaders: | note: political alliances in Pakistan can shift frequently |
| Political pressure groups and leaders: | other: military (most important political force); ulema (clergy); landowners; industrialists; small merchants |
| International organization participation: | ADB, ARF, ASEAN (dialogue partner), C, CICA, CP, D-8, ECO, FAO, G-11, G-24, G-77, IAEA, IBRD, ICAO, ICC, ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, MIGA, MINURSO, MONUSCO, NAM, OAS (observer), OIC, OPCW, PCA, SAARC, SACEP, SCO (observer), UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNMIL, UNMIS, UNMIT, UNOCI, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Husain HAQQANI |
| Diplomatic representation in the US: | chancery: 3517 International Court, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 243-6500 |
| Diplomatic representation in the US: | FAX: [1] (202) 686-1544 |
| Diplomatic representation in the US: | consulate(s) general: Boston (Honorary Consulate General), Chicago, Houston, Los Angeles, New York |
| Diplomatic representation in the US: | consulate(s): Chicago, Houston |
| Diplomatic representation from the US: | chief of mission: Ambassador Cameron MUNTER |
| Diplomatic representation from the US: | embassy: Diplomatic Enclave, Ramna 5, Islamabad |
| Diplomatic representation from the US: | mailing address: P. O. Box 1048, Unit 62200, APO AE 09812-2200 |
| Diplomatic representation from the US: | telephone: [92] (51) 208-0000 |
| Diplomatic representation from the US: | FAX: [92] (51) 2276427 |
| Diplomatic representation from the US: | consulate(s) general: Karachi |
| Diplomatic representation from the US: | consulate(s): Lahore, Peshawar |
| Flag description: | green with a vertical white band (symbolizing the role of religious minorities) on the hoist side; a large white crescent and star are centered in the green field; the crescent, star, and color green are traditional symbols of Islam |
| National anthem: | name: "Qaumi Tarana" (National Anthem) |
| National anthem: | lyrics/music: Abu-Al-Asar Hafeez JULLANDHURI/Ahmed Ghulamali CHAGLA |
| National anthem: | note: adopted 1954; the anthem is also known as "Pak sarzamin shad bad" (Blessed Be the Sacred Land) |
