| Government | Pakistan |
| --- | --- |
| Country name: | conventional long form: Islamic Republic of Pakistan |
| Country name: | conventional short form: Pakistan |
| Country name: | local long form: Jamhuryat Islami Pakistan |
| Country name: | local short form: Pakistan |
| Country name: | former: West Pakistan |
| Country name: | etymology: the word "pak" means "pure" in Persian or Pashto, while the Persian suffix "-stan" means "place of" or "country," so the word Pakistan literally means "Land of the Pure" |
| Government type: | federal parliamentary republic |
| Capital: | name: Islamabad |
| Capital: | geographic coordinates: 33 41 N, 73 03 E |
| Capital: | time difference: UTC+5 (10 hours ahead of Washington, DC, during Standard Time) |
| Capital: | etymology: derived from two words: "Islam," an Urdu word referring to the religion of Islam, and "-abad," a Persian suffix indicating an "inhabited place" or "city," to render the meaning "City of Islam" |
| Administrative divisions: | 4 provinces, 2 Pakistan-administered areas*, and 1 capital territory**; Azad Kashmir*, Balochistan, Gilgit-Baltistan*, Islamabad Capital Territory**, Khyber Pakhtunkhwa, Punjab, Sindh |
| Independence: | 14 August 1947 (from British India) |
| National holiday: | Pakistan Day (also referred to as Pakistan Resolution Day or Republic Day), 23 March (1940); note - commemorates both the adoption of the Lahore Resolution by the All-India Muslim League during its 22-24 March 1940 session, which called for the creation of independent Muslim states, and the adoption of the first constitution of Pakistan on 23 March 1956 during the transition to the Islamic Republic of Pakistan |
| Constitution: | history: several previous; latest endorsed 12 April 1973, passed 19 April 1973, entered into force 14 August 1973 (suspended and restored several times) |
| Constitution: | amendments: proposed by the Senate or by the National Assembly; passage requires at least two-thirds majority vote of both houses; amended many times, last in 2018 (2018) |
| Legal system: | common law system with Islamic law influence |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; non-party state to the ICCt |
| Citizenship: | citizenship by birth: yes |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Pakistan |
| Citizenship: | dual citizenship recognized: yes, but limited to select countries |
| Citizenship: | residency requirement for naturalization: 4 out of the previous 7 years and including the 12 months preceding application |
| Suffrage: | 18 years of age; universal; note - there are joint electorates and reserved parliamentary seats for women and non-Muslims |
| Executive branch: | chief of state: President Arif ALVI (since 9 September 2018) |
| Executive branch: | head of government: Prime Minister Imran KHAN (since 18 August 2018) |
| Executive branch: | cabinet: Cabinet appointed by the president upon the advice of the prime minister |
| Executive branch: | elections/appointments: president indirectly elected by the Electoral College consisting of members of the Senate, National Assembly, and provincial assemblies for a 5-year term (limited to 2 consecutive terms); election last held on 4 September 2018 (next to be held in 2023); prime minister elected by the National Assembly on 17 August 2018 |
| Executive branch: | election results: Arif ALVI elected president; Electoral College vote - Arif ALVI (PTI) 352, Fazl-ur-REHMAN (MMA) 184, Aitzaz AHSAN (PPP) 124; Imran KHAN elected prime minister; National Assembly vote - Imran KHAN (PTI) 176, Shehbaz SHARIF (PML-N) 96 |
| Legislative branch: | description: bicameral Parliament or Majlis-e-Shueera consists of: |
| Legislative branch: | Senate (104 seats; members indirectly elected by the 4 provincial assemblies and the territories' representatives by proportional representation vote; members serve 6-year terms with one-half of the membership renewed every 3 years) |
| Legislative branch: | National Assembly (342 seats; 272 members directly elected in single-seat constituencies by simple majority vote and 70 members - 60 women and 10 non-Muslims - directly elected by proportional representation vote; all members serve 5-year terms)and the Consultative Council or Majlis al-Shura (85 seats; members directly elected in single- and 2-seat constituencies by simple majority popular vote to serve renewable 4-year terms) |
| Legislative branch: | elections: |
| Legislative branch: | Senate - last held on 3 March 2018 (next to be held in March 2021) |
| Legislative branch: | National Assembly - last held on 25 July 2018 (next to be held on 25 July 2023) |
| Legislative branch: | election results: |
| Legislative branch: | Senate - percent of vote by party - NA; seats by party - PML-N 15, PPP 12, PTI 6, PkMAP 2, NP 2, JUI-F 2, JI 1, MQM-P 1, PML-F 1, independent 10 |
| Legislative branch: | National Assembly - percent of votes by party - PTI 31.9%, PML-N 24.4%, PPP 13.1%, MMA 4.8%, MQM 1.4%, PML-Q 1%, BAP 0.6%, BNP 0.4%, other 11.1%,independent 11.4%; seats by party - PTI 157, PML-N 84, PPP 54, MMA 16, MQM 7, BAP 5, PML-Q 5, BNP 4, other 5, independent 4; 1 seat vacant |
| Legislative branch: | note: since political reforms in 2011, legislation from the Consultative Council is submitted to the Council of State for review by the Royal Court) and the National Assembly (342 seats; 272 members directly elected in single-seat constituencies by simple majority vote and 70 members - 60 women and 10 non-Muslims - directly elected by proportional representation vote; all members serve 5-year terms) |
| Judicial branch: | highest courts: Supreme Court of Pakistan (consists of the chief justice and 16 judges) |
| Judicial branch: | judge selection and term of office: justices nominated by an 8-member parliamentary committee upon the recommendation of the Judicial Commission, a 9-member body of judges and other judicial professionals, and appointed by the president; justices can serve until age 65 |
| Judicial branch: | subordinate courts: High Courts; Federal Shariat Court; provincial and district civil and criminal courts; specialized courts for issues, such as taxation, banking, and customs |
| Political parties and leaders: | Awami National Party or ANP [Asfandyar Wali KHAN] |
| Political parties and leaders: | Awami Muslim League or AML [Sheikh Rashid AHMED] |
| Political parties and leaders: | Balochistan National Party-Awami or BNP-A [Mir Israr Ullah ZEHRI] |
| Political parties and leaders: | Balochistan National Party-Mengal or BNP-M [Sardar Akhtar Jan MENGAL] |
| Political parties and leaders: | Grand Democratic Alliance or GDA (alliance of several parties) |
| Political parties and leaders: | Jamhoori Wattan Party or JWP [Shahzain BUGTI] |
| Political parties and leaders: | Jamaat-i Islami or JI [Sirajul HAQ] |
| Political parties and leaders: | Jamiat-i Ulema-i Islam Fazl-ur Rehman or JUI-F [Fazlur REHMAN] |
| Political parties and leaders: | Muttahida Quami Movement-London or MQM-L [Altaf HUSSAIN] (MQM split into two factions in 2016) |
| Political parties and leaders: | Muttahida Quami Movement-Pakistan or MQM-P [Dr. Khalid Maqbool SIDDIQUI] (MQM split into two factions in 2016) |
| Political parties and leaders: | Muttahida Majlis-e-Amal or MMA [Fazl-ur- REHMAN] (alliance of several parties) |
| Political parties and leaders: | National Party or NP [Mir Hasil Khan BIZENJO] |
| Political parties and leaders: | Pakhtunkhwa Milli Awami Party or PMAP or PkMAP [Mahmood Khan ACHAKZAI] |
| Political parties and leaders: | Pakistan Muslim League-Functional or PML-F [Pir PAGARO or Syed Shah Mardan SHAH-II] |
| Political parties and leaders: | Pakistan Muslim League-Nawaz or PML-N [Shehbaz SHARIF] |
| Political parties and leaders: | Pakistan Muslim League â€“ Quaid-e-Azam Group or PML-Q [Chaudhry Shujaat HUSSAIN] |
| Political parties and leaders: | Pakistan Peoples Party or PPP [Bilawal BHUTTO ZARDARI, Asif Ali ZARDARI] |
| Political parties and leaders: | Pakistan Tehrik-e Insaaf or PTI (Pakistan Movement for Justice) [Imran KHAN]Pak Sarzameen Party or PSP [Mustafa KAMAL] |
| Political parties and leaders: | Quami Watan Party or QWP [Aftab Ahmed Khan SHERPAO] |
| Political parties and leaders: | note: political alliances in Pakistan shift frequently |
