| Government | United Arab Emirates |
| --- | --- |
| Country name: | conventional long form: United Arab Emirates |
| Country name: | conventional short form: none |
| Country name: | local long form: Al Imarat al Arabiyah al Muttahidah |
| Country name: | local short form: none |
| Country name: | former: Trucial Oman, Trucial States |
| Country name: | abbreviation: UAE |
| Government type: | federation with specified powers delegated to the UAE federal government and other powers reserved to member emirates |
| Capital: | name: Abu Dhabi |
| Capital: | geographic coordinates: 24 28 N, 54 22 E |
| Capital: | time difference: UTC+4 (9 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 7 emirates (imarat, singular - imarah); Abu Zaby (Abu Dhabi), 'Ajman, Al Fujayrah, Ash Shariqah (Sharjah), Dubayy (Dubai), Ra's al Khaymah, Umm al Qaywayn (Quwayn) |
| Independence: | 2 December 1971 (from UK) |
| National holiday: | Independence Day, 2 December (1971) |
| Constitution: | 2 December 1971; made permanent in 1996 |
| Legal system: | based on a dual system of Shari'a and civil courts; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | none |
| Executive branch: | chief of state: President KHALIFA bin Zayid al-Nuhayyan (since 3 November 2004), ruler of Abu Zaby (Abu Dhabi) (since 4 November 2004); Vice President and Prime Minister MUHAMMAD bin Rashid al-Maktum (since 5 January 2006) |
| Executive branch: | head of government: Prime Minister and Vice President MUHAMMAD bin Rashid al-Maktum (since 5 January 2006); Deputy Prime Ministers SULTAN bin Zayid al-Nuhayyan (since 20 November 1990) and HAMDAN bin Zayid al-Nuhayyan (since 20 October 2003) |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | note: there is also a Federal Supreme Council (FSC) composed of the seven emirate rulers; the FSC is the highest constitutional authority in the UAE; establishes general policies and sanctions federal legislation; meets four times a year; Abu Zaby (Abu Dhabi) and Dubayy (Dubai) rulers have effective veto power |
| Executive branch: | elections: president and vice president elected by the FSC for five-year terms (no term limits); election last held 3 November 2004 upon the death of the UAE's Founding Father and first President ZAYID bin Sultan Al Nuhayyan (next to be held in 2009); prime minister and deputy prime minister appointed by the president |
| Executive branch: | election results: KHALIFA bin Zayid al-Nuhayyan elected president by a unanimous vote of the FSC; MUHAMMAD bin Rashid al-Maktum unanimously affirmed vice president after the 2006 death of his brother Sheikh Maktum bin Rashid al-Maktum |
| Legislative branch: | unicameral Federal National Council (FNC) or Majlis al-Ittihad al-Watani (40 seats; 20 members appointed by the rulers of the constituent states, 20 members elected to serve two-year terms) |
| Legislative branch: | elections: elections for one half of the FNC (the other half remains appointed) held in the UAE on 18-20 December 2006; the new electoral college - a body of 6,689 Emiratis (including 1,189 women) appointed by the rulers of the seven emirates - were the only eligible voters and candidates; 456 candidates including 65 women ran for 20 contested FNC seats; one female from the Emirate of Abu Dhabi won a seat |
| Legislative branch: | note: reviews legislation but cannot change or veto |
| Judicial branch: | Union Supreme Court (judges are appointed by the president) |
| Political parties and leaders: | none |
| Political pressure groups and leaders: | NA |
| International organization participation: | ABEDA, AFESD, AMF, FAO, G-77, GCC, IAEA, IBRD, ICAO, ICC, ICCt (signatory), ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IPU, ISO, ITSO, ITU, LAS, MIGA, NAM, OAPEC, OIC, OPCW, OPEC, UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Saqr Ghobash Said GHOBASH |
| Diplomatic representation in the US: | chancery: 3522 International Court NW, Suite 400, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 243-2400 |
| Diplomatic representation in the US: | FAX: [1] (202) 243-2432 |
| Diplomatic representation in the US: | consulate(s): New York, Houston |
| Diplomatic representation from the US: | chief of mission: Ambassador Michele J. SISON |
| Diplomatic representation from the US: | embassy: Embassies District, Plot 38 Sector W59-02, Street No. 4, Abu Dhabi |
| Diplomatic representation from the US: | mailing address: P. O. Box 4009, Abu Dhabi |
| Diplomatic representation from the US: | telephone: [971] (2) 414-2200 |
| Diplomatic representation from the US: | FAX: [971] (2) 414-2603 |
| Diplomatic representation from the US: | consulate(s) general: Dubai |
| Flag description: | three equal horizontal bands of green (top), white, and black with a wider vertical red band on the hoist side |
