| Government | Panama |
| --- | --- |
| Country name: | conventional long form: Republic of Panama |
| Country name: | conventional short form: Panama |
| Country name: | local long form: Republica de Panama |
| Country name: | local short form: Panama |
| Country name: | etymology: according to tradition, the name derives from a former indigenous fishing village and its nearby beach that were called "Panama" meaning "an abundance of fish" |
| Government type: | presidential republic |
| Capital: | name: Panama City |
| Capital: | geographic coordinates: 8 58 N, 79 32 W |
| Capital: | time difference: UTC-5 (same time as Washington, DC, during Standard Time) |
| Administrative divisions: | 10 provinces (provincias, singular - provincia) and 3 indigenous regions* (comarcas); Bocas del Toro, Chiriqui, Cocle, Colon, Darien, Embera-Wounaan*, Herrera, Guna Yala*, Los Santos, Ngobe-Bugle*, Panama, Panama Oeste, Veraguas |
| Independence: | 3 November 1903 (from Colombia; became independent from Spain on 28 November 1821) |
| National holiday: | Independence Day (Separation Day), 3 November (1903) |
| Constitution: | history: several previous; latest effective 11 October 1972 (2018) |
| Constitution: | amendments: proposed by the National Assembly, by the Cabinet, or by the Supreme Court of Justice; passage requires approval by one of two procedures: 1) absolute majority vote of the Assembly membership in each of three readings and by absolute majority vote of the next elected Assembly in a single reading without text modifications; 2) absolute majority vote of the Assembly membership in each of three readings, followed by absolute majority vote of the next elected Assembly in each of three readings with text modifications, and approval in a referendum; amended several times, last in 2004; note - in May 2018, President VARELA began the process to amend the constitution (2018) |
| Legal system: | civil law system; judicial review of legislative acts in the Supreme Court of Justice |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: yes |
| Citizenship: | citizenship by descent only: yes |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 18 years of age; universal |
| Judicial branch: | highest courts: Supreme Court of Justice or Corte Suprema de Justicia (consists of 9 magistrates and 9 alternates and divided into civil, criminal, administrative, and general business chambers) |
| Judicial branch: | judge selection and term of office: magistrates appointed by the president for staggered 10-year terms |
| Judicial branch: | subordinate courts: appellate courts or Tribunal Superior; Labor Supreme Courts; Court of Audit; circuit courts or Tribunal Circuital (2 each in 9 of the 10 provinces); municipal courts; electoral, family, maritime, and adolescent courts |
| Executive branch: | chief of state: President Juan Carlos VARELA (since 1 July 2014); Vice President Isabel de SAINT MALO de Alvarado (since 1 July 2014); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President Juan Carlos VARELA (since 1 July 2014); Vice President Isabel de SAINT MALO de Alvarado (since 1 July 2014) |
| Executive branch: | cabinet: Cabinet appointed by the president |
| Executive branch: | elections/appointments: president and vice president directly elected on the same ballot by simple majority popular vote for a 5-year term; president eligible for a single non-consecutive term); election last held on 4 May 2014 (next to be held in 2019) |
| Executive branch: | election results: Juan Carlos VARELA elected president; percent of vote - Juan Carlos VARELA (PP) 39.1%, Jose Domingo ARIAS (CD) 31.4%, Juan Carlos NAVARRO (PRD) 28.2%, other 1.3% |
