| Government | Panama |
| --- | --- |
| Country name: | conventional long form: Republic of Panama |
| Country name: | conventional short form: Panama |
| Country name: | local long form: Republica de Panama |
| Country name: | local short form: Panama |
| Country name: | etymology: named after the capital city which was itself named after a former indigenous fishing village |
| Government type: | presidential republic |
| Capital: | name: Panama City |
| Capital: | geographic coordinates: 8 58 N, 79 32 W |
| Capital: | time difference: UTC-5 (same time as Washington, DC, during Standard Time) |
| Capital: | etymology: according to tradition, the name derives from a former fishing area near the present capital - an indigenous village and its adjacent beach - that were called "Panama" meaning "an abundance of fish" |
| Administrative divisions: | 10 provinces (provincias, singular - provincia) and 3 indigenous regions* (comarcas); Bocas del Toro, Chiriqui, Cocle, Colon, Darien, Embera-Wounaan*, Herrera, Guna Yala*, Los Santos, Ngobe-Bugle*, Panama, Panama Oeste, Veraguas |
| Independence: | 3 November 1903 (from Colombia; became independent from Spain on 28 November 1821) |
| National holiday: | Independence Day (Separation Day), 3 November (1903) |
| Constitution: | history: several previous; latest effective 11 October 1972 |
| Constitution: | amendments: proposed by the National Assembly, by the Cabinet, or by the Supreme Court of Justice; passage requires approval by one of two procedures: 1) absolute majority vote of the Assembly membership in each of three readings and by absolute majority vote of the next elected Assembly in a single reading without textual modifications; 2) absolute majority vote of the Assembly membership in each of three readings, followed by absolute majority vote of the next elected Assembly in each of three readings with textual modifications, and approval in a referendum; amended several times, last in 2004 |
| Legal system: | civil law system; judicial review of legislative acts in the Supreme Court of Justice |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: yes |
| Citizenship: | citizenship by descent only: yes |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Laurentino "Nito" CORTIZO Cohen (since 1 July 2019); Vice President Jose Gabriel CARRIZO Jaen (since 1 July 2019); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President Laurentino "Nito" CORTIZO Cohen (since 1 July 2019); Vice President Jose Gabriel CARRIZO Jaen (since 1 July 2019) |
| Executive branch: | cabinet: Cabinet appointed by the president |
| Executive branch: | elections/appointments: president and vice president directly elected on the same ballot by simple majority popular vote for a 5-year term; president eligible for a single non-consecutive term); election last held on 5 May 2019 (next to be held in 2024) |
| Executive branch: | election results: Laurentino "Nito" CORTIZOÂ Cohen elected president; percent of vote - Laurentino CORTIZO Cohen (PRD) 33.3%, Romulo ROUX (CD) 31%, Ricardo LOMBANA (independent) 18.8%, Jose BLANDON (Panamenista Party) 10.8%, Ana Matilde GOMEZ Ruiloba (independent) 4.8%, other 1.3% |
| Legislative branch: | description: unicameral National Assembly or Asamblea Nacional (71 seats; 45 members directly elected in multi-seat constituencies - populous towns and cities - by proportional representation vote and 26 directly elected in single-seat constituencies - outlying rural districts - by plurality vote; members serve 5-year terms) |
| Legislative branch: | elections: last held on 5 May 2019 (next to be held in May 2024) |
