| Government | Guadeloupe |
| --- | --- |
| Country name: | conventional long form: Department of Guadeloupe |
| Country name: | conventional short form: Guadeloupe |
| Country name: | local short form: Guadeloupe |
| Country name: | local long form: Departement de la Guadeloupe |
| Dependency status: | overseas department of France |
| Government type: | NA |
| Capital: | Basse-Terre |
| Administrative divisions: | none (overseas department of France) |
| Independence: | none (overseas department of France) |
| National holiday: | Bastille Day, 14 July (1789) |
| Constitution: | 28 September 1958 (French Constitution) |
| Legal system: | French legal system |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Jacques CHIRAC of France (since 17 May 1995), represented by Prefect Dominique VIAN (since 6 August 2002) |
| Executive branch: | election results: NA |
| Executive branch: | elections: French president elected by popular vote for a five-year term; prefect appointed by the French president on the advice of the French Ministry of Interior; the presidents of the General and Regional Councils are elected by the members of those councils |
| Executive branch: | head of government: President of the General Council Jacques GILLOT (since 26 March 2001); President of the Regional Council Lucette MICHAUX-CHEVRY (since 22 March 1992) |
| Executive branch: | cabinet: NA |
| Legislative branch: | unicameral General Council or Conseil General (42 seats; members are elected by popular vote to serve six-year terms) and the unicameral Regional Council or Conseil Regional (41 seats; members are elected by popular vote to serve six-year terms) |
| Legislative branch: | elections: General Council - last held 22 March 1998 (next to be held by NA 2004); Regional Council - last held 15 March 1998 (next to be held NA 2004) |
| Legislative branch: | note: Guadeloupe elects two representatives to the French Senate; elections last held NA September 1995 (next to be held NA September 2004); percent of vote by party - NA%; seats by party - RPR 1, FGPS 1; Guadeloupe elects four representatives to the French National Assembly; elections last held 9 June-16 June 2002 (next to be held NA 2007); percent of vote by party - NA%; seats by party - RPR 2, PS 1, different right parties 1 |
| Legislative branch: | election results: General Council - percent of vote by party - NA%; seats by party - left-wing candidates 11, PS 8, RPR 8, PPDG 6, right-wing candidates 5, PCG 3, UDF 1; Regional Council - percent of vote by party - RPR 48.03%, PS/PPDG/diverse left parties 24.49%, PCG 5.29%, diverse right parties 5.73%; seats by party - RPR 25, PS/PPDG/diverse left parties 12, PCG 2, diverse right parties 2 |
| Judicial branch: | Court of Appeal or Cour d'Appel with jurisdiction over Guadeloupe, French Guiana, and Martinique |
| Political parties and leaders: | Communist Party of Guadeloupe or PCG [Mona CADOCE]; FGPS [Dominique LARIFLA]; Progressive Democratic Party or PPDG [Henri BANGOU]; Rally for the Republic or RPR (may have become UMP) [Lucette MICHAUX-CHEVRY]; Socialist Party or PS [Georges LOUISOR]; Union for French Democracy or UDF [Marcel ESDRAS] |
| Political pressure groups and leaders: | Christian Movement for the Liberation of Guadeloupe or KLPG; General Federation of Guadeloupe Workers or CGT-G; General Union of Guadeloupe Workers or UGTG; Movement for Independent Guadeloupe or MPGI |
| International organization participation: | FZ, WCL, WFTU |
| Diplomatic representation in the US: | none (overseas department of France) |
| Diplomatic representation from the US: | none (overseas department of France) |
| Flag description: | the flag of France is used |
