| Government | ZAMBIA |
| --- | --- |
| Country name: | conventional long form: Republic of Zambia |
| Country name: | conventional short form: Zambia |
| Country name: | former: Northern Rhodesia |
| Country name: | etymology: name derived from the Zambezi River, which flows through the western part of the country and forms its southern border with neighboring Zimbabwe |
| Government type: | presidential republic |
| Capital: | name: Lusaka; note - a proposal to build a new capital city in Ngabwe was announced in May 2017 |
| Capital: | geographic coordinates: 15 25 S, 28 17 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 10 provinces; Central, Copperbelt, Eastern, Luapula, Lusaka, Muchinga, Northern, North-Western, Southern, Western |
| Independence: | 24 October 1964 (from the UK) |
| National holiday: | Independence Day, 24 October (1964) |
| Constitution: | history: several previous; latest adopted 24 August 1991, promulgated 30 August 1991 |
| Constitution: | amendments: proposed by the National Assembly; passage requires two-thirds majority vote by the Assembly in two separate readings at least 30 days apart; passage of amendments affecting fundamental rights and freedoms requires approval by at least one-half of votes cast in a referendum prior to consideration and voting by the Assembly; amended 1996, 2015, last in 2016 (2017) |
| Legal system: | mixed legal system of English common law and customary law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: only if at least one parent is a citizen of Zambia |
| Citizenship: | citizenship by descent: yes, if at least one parent was a citizen of Zambia |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: 5 years for those with an ancestor who was a citizen of Zambia, otherwise 10 years residency is required |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Edgar LUNGU (since 25 January 2015); Vice President Inonge WINA (since 26 January 2015); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President Edgar LUNGU (since 25 January 2015); Vice President Inonge WINA (since 26 January 2015) |
| Executive branch: | cabinet: Cabinet appointed by president from among members of the National Assembly |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (eligible for a second term); last held on 11 August 2016 (next to be held in 2021) |
| Executive branch: | election results: Edgar LUNGU reelected president; percent of vote - Edgar LUNGU (PF) 50.4%, Hakainde HICHILEMA (UPND) 47.6%, other 2.0% |
| Legislative branch: | description: unicameral National Assembly (164 seats; 156 members directly elected in single-seat constituencies by simple majority vote, and 8 appointed by the president; members serve 5-year terms); note - 6 additional electoral seats were added for the 11 August 2016 election, up from 150 electoral seats in the 2011 election |
| Legislative branch: | elections: last held on 11 August 2016 (next to be held in 2021) |
| Legislative branch: | election results: percent of vote by party - PF 42%, UPND 41.7%, MMD 2.7%, FDD 2.2%, other 1.9%,independent 9.5%; seats by party - PF 80, UPND 58, MMD 3, FDD 1, independent 14 |
| Judicial branch: | highest court(s): Supreme Court (consists of the chief justice and deputy chief justices, and at least 11 judges); Constitutional Court (consists of the court president, vice-president, and 11 judges); note - the Constitutional Court began operation in June 2016 |
| Judicial branch: | judge selection and term of office: Supreme Court and Constitutional Court judges appointed by the president upon the advice of the 9-member Judicial Service Commission headed by the chief justice, and ratified by the National Assembly; judges normally serve until age 65 |
| Judicial branch: | subordinate courts: Court of Appeal; High Court; Industrial Relations Court; subordinate courts 3 levels, based on upper limit of money involved); Small Claims Court; local courts (2 grades, based on upper limit of money involved) |
| Political parties and leaders: | Alliance for Democracy and Development or ADD [Charles MILUPI] |
| Political parties and leaders: | Forum for Democracy and Development or FDD [Edith NAWAKWI] |
| Political parties and leaders: | Movement for Multiparty Democracy or MMD [Nevers MUMBA] |
| Political parties and leaders: | Patriotic Front or PF [Edgar LUNGU] |
| Political parties and leaders: | United Party for National Development or UPND [Hakainde HICHILEMA] |
| Political pressure groups and leaders: | Congress of Trade Unions or ZCTU; Federation of Free Trade Unions in Zambia |
| Political pressure groups and leaders: | other: other labor and trade unions |
| International organization participation: | ACP, AfDB, AU, C, COMESA, EITI (compliant country), FAO, G-77, IAEA, IBRD, ICAO, ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, ITUC (NGOs), MIGA, MONUSCO, NAM, OPCW, PCA, SADC, UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNISFA, UNMIL, UNMISS, UNOCI, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Joseph CHILAIZYA (since 19 September 2016 |
