| Government | Zambia |
| --- | --- |
| Country name: | conventional long form: Republic of Zambia |
| Country name: | conventional short form: Zambia |
| Country name: | former: Northern Rhodesia |
| Government type: | republic |
| Capital: | name: Lusaka |
| Capital: | geographic coordinates: 15 25 S, 28 17 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 9 provinces; Central, Copperbelt, Eastern, Luapula, Lusaka, Northern, North-Western, Southern, Western |
| Independence: | 24 October 1964 (from the UK) |
| National holiday: | Independence Day, 24 October (1964) |
| Constitution: | 24 August 1991; amended in 1996 to establish presidential term limits |
| Legal system: | based on English common law and customary law; judicial review of legislative acts in an ad hoc constitutional council; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Rupiah BANDA (since 19 August 2008); Vice President George KUNDA (since 14 November 2008); note - President BANDA was acting president since the illness and eventual death of President Levy MWANAWASA on 18 August 2008, he was then elected president on 30 October 2008 to serve out the remainder of MWANAWASA's term; the president is both the chief of state and head of government |
| Executive branch: | head of government: President Rupiah BANDA (since 19 August 2008); Vice President George KUNDA (since 14 November 2008) |
| Executive branch: | cabinet: Cabinet appointed by the president from among the members of the National Assembly |
| Executive branch: | elections: president elected by popular vote for a five-year term (eligible for a second term); election last held 30 October 2008 (next to be held in 2011); vice president appointed by the president; note - due to the death of former President Levy MWANAWASA, early elections were held to identify a replacement to serve out the remainder of his term |
| Executive branch: | election results: Rupiah BANDA elected president; percent of vote - Rupiah BANDA 40.1%, Michael SATA 38.1%, Hakainde HICHILEMA 19.7%, Godfrey MIYANDA 0.8%, other 1.3% |
| Legislative branch: | unicameral National Assembly (158 seats; 150 members are elected by popular vote, 8 members are appointed by the president, to serve five-year terms) |
| Legislative branch: | elections: last held 28 September 2006 (next to be held in October 2011) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - MMD 72, PF 44, UDA 27, ULP 2, NDF 1, independents 2; seats not determined 2 |
| Judicial branch: | Supreme Court (the final court of appeal; justices are appointed by the president); High Court (has unlimited jurisdiction to hear civil and criminal cases) |
| Political parties and leaders: | Forum for Democracy and Development or FDD [Edith NAWAKWI]; Heritage Party or HP [Godfrey MIYANDA]; Movement for Multiparty Democracy or MMD [vacant]; Patriotic Front or PF [Michael SATA]; Party of Unity for Democracy and Development or PUDD [Dan PULE]; Reform Party [Nevers MUMBA]; United Democratic Alliance or UDA (a coalition of RP, ZADECO, PUDD, and ZRP); United Liberal Party or ULP [Sakwiba SIKOTA]; United National Independence Party or UNIP [Tilyenji KAUNDA]; United Party for National Development or UPND [Hakainde HICHILEMA]; Zambia Democratic Congress or ZADECO [Langton SICHONE]; Zambian Republican Party or ZRP [Benjamin MWILA] |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACP, AfDB, AU, C, COMESA, FAO, G-77, IAEA, IBRD, ICAO, ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, ITUC, MIGA, MINURCAT, MONUC, NAM, OPCW, PCA, SADC, UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNMIL, UNMIS, UNOCI, UNWTO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Inonge MBIKUSITA-LEWANIKA |
| Diplomatic representation in the US: | chancery: 2419 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 265-9717 through 9719 |
| Diplomatic representation in the US: | FAX: [1] (202) 332-0826 |
| Diplomatic representation from the US: | chief of mission: Ambassador Donald E. BOOTH |
| Diplomatic representation from the US: | embassy: corner of Independence and United Nations Avenues, Lusaka |
| Diplomatic representation from the US: | mailing address: P. O. Box 31617, Lusaka |
| Diplomatic representation from the US: | telephone: [260] (211) 250-955 |
| Diplomatic representation from the US: | FAX: [260] (211) 252-225 |
| Flag description: | green field with a panel of three vertical bands of red (hoist side), black, and orange below a soaring orange eagle, on the outer edge of the flag |
