| Government | IRAQ |
| --- | --- |
| Country name: | conventional long form: Republic of Iraq |
| Country name: | conventional short form: Iraq |
| Country name: | local long form: Jumhuriyat al-Iraq/Komar-i Eraq |
| Country name: | local short form: Al Iraq/Eraq |
| Country name: | etymology: the name probably derives from "Uruk" (Biblical "Erech"), the ancient Sumerian and Babylonian city on the Euphrates River |
| Government type: | federal parliamentary republic |
| Capital: | name: Baghdad |
| Capital: | geographic coordinates: 33 20 N, 44 24 E |
| Capital: | time difference: UTC+3 (8 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 18 governorates (muhafazat, singular - muhafazah (Arabic); parezgakan, singular - parezga (Kurdish)) and 1 region*; Al Anbar; Al Basrah; Al Muthanna; Al Qadisiyah (Ad Diwaniyah); An Najaf; Arbil (Erbil) (Arabic), Hewler (Kurdish); As Sulaymaniyah (Arabic), Slemani (Kurdish); Babil; Baghdad; Dahuk (Arabic), Dihok (Kurdish); Dhi Qar; Diyala; Karbala'; Kirkuk; Kurdistan Regional Government*; Maysan; Ninawa; Salah ad Din; Wasit |
| Independence: | 3 October 1932 (from League of Nations mandate under British administration); note - on 28 June 2004 the Coalition Provisional Authority transferred sovereignty to the Iraqi Interim Government |
| National holiday: | Republic Day, July 14 (1958); note - the Government of Iraq has yet to declare an official national holiday but still observes Republic Day |
| Constitution: | several previous; latest adopted by referendum 15 October 2005 (2016) |
| Legal system: | mixed legal system of civil and Islamic law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Iraq |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: 10 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Fuad MASUM (since 24 July 2014); Vice Presidents Ayad ALLAWI (since 9 September 2014), Nuri al-MALIKI (since 8 September 2014), Usama al-NUJAYFI (since 9 September 2014) |
| Executive branch: | head of government: Prime Minister Haydar al-ABADI (since 8 September 2014) |
| Executive branch: | cabinet: Council of Ministers proposed by the prime minister, approved by Council of Representatives |
| Executive branch: | elections/appointments: president indirectly elected by Council of Representatives to serve a 4-year term (eligible for a second term); election last held on 30 April 2014 (next to be held in 2018); prime minister nominated by the president, approved by Council of Representatives |
| Executive branch: | election results: Fuad MASUM elected president; Council of Representatives vote - Fuad MASUM (PUK) 211, Barham SALIH (PUK) 17; Haydar al-ABADI (Da'wa Party) approved as prime minister |
| Legislative branch: | description: unicameral Council of Representatives or Majlis an-Nuwwab al-Iraqiyy (328 seats; 320 members directly elected in multi-seat constituencies by proportional representation vote and 8 seats reserved for minorities; members serve 4-year terms); note - Iraq's constitution calls for the establishment of an upper house, the Federation Council, but it has not been instituted |
