| Government | Iraq |
| --- | --- |
| Country name: | conventional long form: Republic of Iraq |
| Country name: | conventional short form: Iraq |
| Country name: | local long form: Jumhuriyat al-Iraq/Komar-i Eraq |
| Country name: | local short form: Al Iraq/Eraq |
| Country name: | former: Mesopotamia, Mandatory Iraq, Hashemite Kingdom of Iraq |
| Country name: | etymology: the name probably derives from "Uruk" (Biblical "Erech"), the ancient Sumerian and Babylonian city on the Euphrates River |
| Government type: | federal parliamentary republic |
| Capital: | name: Baghdad |
| Capital: | geographic coordinates: 33 20 N, 44 24 E |
| Capital: | time difference: UTC+3 (8 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 18 governorates (muhafazat, singular - muhafazah (Arabic); parezgakan, singular - parezga (Kurdish)) and 1 region*; Al Anbar; Al Basrah; Al Muthanna; Al Qadisiyah (Ad Diwaniyah); An Najaf; Arbil (Erbil) (Arabic), Hewler (Kurdish); As Sulaymaniyah (Arabic), Slemani (Kurdish); Babil; Baghdad; Dahuk (Arabic), Dihok (Kurdish); Dhi Qar; Diyala; Karbala'; Kirkuk; Kurdistan Regional Government*; Maysan; Ninawa; Salah ad Din; Wasit |
| Independence: | 3 October 1932 (from League of Nations mandate under British administration); note - on 28 June 2004 the Coalition Provisional Authority transferred sovereignty to the Iraqi Interim Government |
| National holiday: | Independence Day, 3 October (1932); Republic Day, 14 July (1958) |
| Constitution: | history: several previous; latest adopted by referendum 15 October 2005 (2016) |
| Constitution: | amendments: proposed by the president of the republic and the Council of Minsters collectively, or by one-fifth of the Council of Representatives members; passage requires at least a two-thirds majority vote by the Council of Representatives, approval by referendum, and ratification by the president; passage of amendments to articles on citizen rights and liberties requires a two-thirds majority vote of Council of Representatives members after two successive electoral terms, approval in a referendum, and ratification by the president (2016) |
| Legal system: | mixed legal system of civil and Islamic law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Iraq |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: 10 years |
| Suffrage: | 18 years of age; universal |
| Judicial branch: | highest courts: Federal Supreme Court or FSC (consists of 9 judges); note - court jurisdiction limited to constitutional issues and disputes between regions or governorates and the central government; Court of Cassation (consists of a court president, 5 vice-presidents, and at least 24 judges) |
| Judicial branch: | judge selection and term of office: Federal Supreme Court and Court of Cassation judges selected by the president of the republic from nominees selected by the Supreme Judicial Council (SJC), a 25-member committee of judicial officials that manage the judiciary and prosecutors; FSC members appointed for life; Court of Cassation judges appointed by the SJC and confirmed by the Council of Representatives to serve until retirement nominally at age 63 |
