| Government | Iraq |
| --- | --- |
| Country name: | conventional long form: Republic of Iraq |
| Country name: | conventional short form: Iraq |
| Country name: | local short form: Al Iraq |
| Country name: | local long form: Al Jumhuriyah al Iraqiyah |
| Government type: | republic |
| Capital: | Baghdad |
| Administrative divisions: | 18 governorates (muhafazat, singular - muhafazah); Al Anbar, Al Basrah, Al Muthanna, Al Qadisiyah, An Najaf, Arbil, As Sulaymaniyah, At Ta'mim, Babil, Baghdad, Dahuk, Dhi Qar, Diyala, Karbala', Maysan, Ninawa, Salah ad Din, Wasit |
| Independence: | 3 October 1932 (from League of Nations mandate under British administration) |
| National holiday: | Revolution Day, 17 July (1968) |
| Constitution: | 22 September 1968, effective 16 July 1970 (provisional constitution); new constitution drafted in 1990 but not adopted |
| Legal system: | based on Islamic law in special religious courts, civil law system elsewhere; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President SADDAM Husayn (since 16 July 1979); Vice Presidents Taha Muhyi al-Din MARUF (since 21 April 1974) and Taha Yasin RAMADAN (since 23 March 1991) |
| Executive branch: | elections: president and vice presidents elected by a two-thirds majority of the Revolutionary Command Council; regular election last held 17 October 1995 (next scheduled for 2002); note - in place of the 2002 election, a presidential referendum was held on 15 October 2002 in which the presidency of SADDAM Husayn was extended for a fifth consecutive seven-year term |
| Executive branch: | election results: SADDAM Husayn reelected president; percent of vote - 99%; Taha Muhyi al-Din MARUF and Taha Yasin RAMADAN elected vice presidents; percent of vote - NA%; note - in a presidential referendum held 15 October 2002, SADDAM Husayn's term was extended for another seven years |
| Executive branch: | cabinet: Council of Ministers; note - there is also a Revolutionary Command Council or RCC with eight members as of 2001 (Chairman SADDAM Husayn, Vice Chairman Izzat IBRAHIM al-Duri) which controls the ruling Ba'th Party; the RCC is the highest executive and legislative body and the most powerful political entity in the country; new RCC members must come from the Regional Command Leadership of the Ba'th Party |
| Executive branch: | head of government: Prime Minister SADDAM Husayn (since 29 May 1994); Deputy Prime Ministers Tariq Mikhail AZIZ (since NA 1979), Hikmat Mizban Ibrahim al-AZZAWI (since 30 July 1999), Ahmad Husayn al-KHUDAYIR (since NA July 2001), and Abd al-Tawab Mullah al-HUWAYSH (since NA July 2001) |
| Legislative branch: | unicameral National Assembly or Majlis al-Watani (250 seats; 30 appointed by the president to represent the three northern provinces of Dahuk, Arbil, and As Sulaymaniyah; 220 elected by popular vote; members serve four-year terms) |
| Legislative branch: | elections: last held 27 March 2000 (next to be held NA March 2004) |
| Legislative branch: | election results: percent of vote by party - NA%; seats by party - NA |
| Judicial branch: | Court of Cassation |
| Political parties and leaders: | Ba'th Party [SADDAM Husayn, central party leader] |
| Political pressure groups and leaders: | any formal political activity must be sanctioned by the government; opposition to regime from Kurdish groups and southern Shi'a dissidents |
| International organization participation: | ABEDA, ACC, AFESD, AL, AMF, CAEU, CCC, EAPC, ESCWA, FAO, G-19, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, ISO, ITU, NAM, OAPEC, OIC, OPEC, PCA, UN, UNCTAD, UNESCO, UNIDO, UPU, WFTU, WHO, WIPO, WMO, WToO |
| Diplomatic representation in the US: | none; note - Iraq has an Interest Section in the Algerian Embassy headed by Akram AL DOURI; address: Iraqi Interests Section, Algerian Embassy, 1801 P Street NW, Washington, DC 20036; telephone: [1] (202) 483-7500; FAX: [1] (202) 462-5066 |
| Diplomatic representation from the US: | none; note - the US has an Interests Section in the Polish Embassy in Baghdad; address: P. O. Box 2051 Hay Babel, Baghdad; telephone: [964] (1) 718-9267; FAX: [964] (1) 718-9297 |
| Flag description: | three equal horizontal bands of red (top), white, and black with three green five-pointed stars in a horizontal line centered in the white band; the phrase ALLAHU AKBAR (God is Great) in green Arabic script - Allahu to the right of the middle star and Akbar to the left of the middle star - was added in January 1991 during the Persian Gulf crisis; similar to the flag of Syria which has two stars but no script and the flag of Yemen which has a plain white band; also similar to the flag of Egypt which has a symbolic eagle centered in the white band |
