| Government | Taiwan |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Taiwan |
| Country name: | local long form: none |
| Country name: | local short form: Taiwan |
| Country name: | former: Formosa |
| Government type: | multiparty democracy |
| Capital: | name: Taipei |
| Capital: | geographic coordinates: 25 03 N, 121 30 E |
| Capital: | time difference: UTC+8 (13 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | includes main island of Taiwan plus smaller islands nearby and off coast of China's Fujian Province; Taiwan is divided into 14 counties (hsien, singular and plural), 3 municipalities (shih, singular and plural), and 5 special municipalities (chih-hsia-shih, singular and plural) |
| Administrative divisions: | note: Taiwan uses a variety of romanization systems; while a modified Wade-Giles system still dominates, the city of Taipei has adopted a Pinyin romanization for street and place names within its boundaries; other local authorities use different romanization systems; names for administrative divisions that follow are taken from the Taiwan Yearbook 2007 published by the Government Information Office in Taipei. |
| Administrative divisions: | counties: Changhua, Chiayi (county), Hsinchu (county), Hualien, Kinmen, Lienchiang, Miaoli, Nantou, Penghu, Pingtung, Taitung, Taoyuan, Yilan, Yunlin |
| Administrative divisions: | municipalities: Chiayi (city), Hsinchu (city), Keelung |
| Administrative divisions: | special municipalities: Kaohsiung, New Taipei, Taichung, Tainan, Taipei |
| National holiday: | Republic Day (Anniversary of the Chinese Revolution), 10 October (1911) |
| Constitution: | adopted 25 December 1946; promulgated 1 January 1947; effective 25 December 1947; amended many times |
| Legal system: | civil law system |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | 20 years of age; universal |
| Executive branch: | chief of state: President MA Ying-jeou (since 20 May 2008); Vice President Vincent SIEW (since 20 May 2008) |
| Executive branch: | head of government: Premier (President of the Executive Yuan) WU Den-yih (since 10 September 2009); Vice Premier (Vice President of Executive Yuan) Sean CHEN (since 17 May 2010) |
| Executive branch: | cabinet: Executive Yuan - ministers appointed by president on recommendation of premier |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president and vice president elected on the same ticket by popular vote for four-year terms (eligible for a second term); election last held on 22 March 2008 (next to be held on 14 January 2012); premier appointed by the president; vice premiers appointed by the president on the recommendation of the premier |
| Executive branch: | election results: MA Ying-jeou elected president; percent of vote - MA Ying-jeou 58.45%, Frank HSIEH 41.55% |
| Legislative branch: | unicameral Legislative Yuan (113 seats - 73 district members elected by popular vote, 34 at-large members elected on basis of proportion of islandwide votes received by participating political parties, 6 elected by popular vote among aboriginal populations; members to serve four-year terms); parties must receive 5% of vote to qualify for at-large seats |
| Legislative branch: | elections: Legislative Yuan - last held on 12 January 2008 (next to be held on 14 January 2012) |
| Legislative branch: | election results: Legislative Yuan - percent of vote by party - KMT 53.5%, DPP 38.2%, NPSU 2.4%, PFP 0.3%, others 1.6%, independents 4%; seats by party - KMT 81, DPP 27, NPSU 3, PFP 1, independent 1; note - following the 2008 elections, several rounds of byelections were held to fill seats vacated as a result of corruption changes; seats by party as of December 2011 - KMT 72, DPP 32, NPSU 3, independent 2, vacant 4 |
| Judicial branch: | Judicial Yuan (justices appointed by the president with consent of the Legislative Yuan) |
| Political parties and leaders: | Democratic Progressive Party or DPP [TSAI Ing-wen]; Kuomintang or KMT (Nationalist Party) [MA Ying-jeou]; Non-Partisan Solidarity Union or NPSU [LIN Pin-kuan]; People First Party or PFP [James SOONG] |
| Political pressure groups and leaders: | environmental groups; independence movement; various business groups |
| Political pressure groups and leaders: | note: debate on Taiwan independence has become acceptable within the mainstream of domestic politics on Taiwan; public opinion polls consistently show a substantial majority of Taiwan people supports maintaining Taiwan's status quo for the foreseeable future; advocates of Taiwan independence oppose the stand that the island will eventually unify with mainland China; advocates of eventual unification predicate their goal on the democratic transformation of the mainland |
| International organization participation: | ADB, APEC, BCIE, ICC, IOC, ITUC, WTO |
| Diplomatic representation in the US: | none; commercial and cultural relations with the people in the United States are maintained through an unofficial instrumentality, the Taipei Economic and Cultural Representative Office in the United States (TECRO), a private nonprofit corporation that performs citizen and consular services similar to those at diplomatic posts |
| Diplomatic representation in the US: | representative: Jason C. YUAN |
| Diplomatic representation in the US: | office: 4201 Wisconsin Avenue NW, Washington, DC 20016 |
| Diplomatic representation in the US: | telephone: [1] 202 895-1800 |
| Diplomatic representation in the US: | Taipei Economic and Cultural Offices (branch offices): Atlanta, Boston, Chicago, Guam, Houston, Honolulu, Kansas City, Los Angeles, Miami, New York, San Francisco, Seattle |
| Diplomatic representation from the US: | none; commercial and cultural relations with the people on Taiwan are maintained through an unofficial instrumentality, the American Institute in Taiwan (AIT), a private nonprofit corporation that performs citizen and consular services similar to those at diplomatic posts |
| Diplomatic representation from the US: | director: William A. STANTON |
| Diplomatic representation from the US: | office: #7 Lane 134, Hsin Yi Road, Section 3, Taipei, Taiwan |
| Diplomatic representation from the US: | telephone: [1] [886] (02) 2162-2000 |
