| Government | Taiwan |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Taiwan |
| Country name: | local long form: none |
| Country name: | local short form: T'ai-wan |
| Country name: | former: Formosa |
| Government type: | multiparty democracy |
| Capital: | name: Taipei |
| Capital: | geographic coordinates: 25 03 N, 121 30 E |
| Capital: | time difference: UTC+8 (13 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | includes central island of Taiwan plus numerous smaller islands near central island and off coast of China's Fujian Province; Taiwan is divided into 18 counties (hsien, singular and plural), 5 municipalities (shih, singular and plural), and 2 special municipalities (chuan-shih, singular and plural) |
| Administrative divisions: | counties: Chang-hua, Chia-i, Hsin-chu, Hua-lien, I-lan, Kao-hsiung (county), Kin-men, Lien-chiang, Miao-li, Nan-t'ou, P'eng-hu, P'ing-tung, T'ai-chung, T'ai-nan, T'ai-pei (county), T'ai-tung, T'ao-yuan, and Yun-lin |
| Administrative divisions: | municipalities: Chia-i, Chi-lung, Hsin-chu, T'ai-chung, T'ai-nan |
| Administrative divisions: | special municipalities: Kao-hsiung city, T'ai-pei city |
| Administrative divisions: | note: Taiwan generally uses Wade-Giles system for romanization; special municipality of Taipei adopted standard pinyin romanization for street and place names within city boundaries, other local authorities have selected a variety of romanization systems |
| National holiday: | Republic Day (Anniversary of the Chinese Revolution), 10 October (1911) |
| Constitution: | 25 December 1946; amended in 1992, 1994, 1997, 1999, 2000, 2005 |
| Legal system: | based on civil law system |
| Suffrage: | 20 years of age; universal |
| Executive branch: | chief of state: President CHEN Shui-bian (since 20 May 2000) and Vice President Annette LU (LU Hsiu-lien) (since 20 May 2000) |
| Executive branch: | head of government: Premier (President of the Executive Yuan) SU Tseng-chang (since 25 January 2006) and Vice Premier (Vice President of the Executive Yuan) TSAI Ing-wen (since 25 January 2006) |
| Executive branch: | cabinet: Executive Yuan appointed by the president |
| Executive branch: | elections: president and vice president elected on the same ticket by popular vote for four-year terms (eligible for a second term); election last held 20 March 2004 (next to be held in March 2008); premier appointed by the president; vice premiers appointed by the president on the recommendation of the premier |
| Executive branch: | election results: CHEN Shui-bian re-elected president; percent of vote - CHEN Shui-bian (DPP) 50.1%, LIEN Chan (KMT) 49.9% |
| Legislative branch: | Legislative Yuan (225 seats - 168 elected by popular vote, 41 elected on basis of proportion of islandwide votes received by participating political parties, eight elected from overseas Chinese constituencies on basis of proportion of island-wide votes received by participating political parties, eight elected by popular vote among aboriginal populations; members serve three-year terms); National Assembly (300 seat nonstanding body; delegates nominated by parties and elected by proportional representation six to nine months after Legislative Yuan calls to amend Constitution, impeach president, or change national borders) - see note |
| Legislative branch: | note: as a result of constitutional amendments approved by National Assembly in June 2005, number of seats in legislature will be reduced from 225 to 113 beginning with election in 2007; amendments also eliminated National Assembly thus giving Taiwan a unicameral legislature |
| Legislative branch: | elections: Legislative Yuan - last held 11 December 2004 (next to be held in December 2007); National Assembly - last held 14 May 2005; dissolved in June 2005 |
| Legislative branch: | election results: Legislative Yuan - percent of vote by party - DPP 38%, KMT 35%, PFP 15%, TSU 8%, other parties and independents 4%; seats by party - DPP 89, KMT 79, PFP 34, TSU 12, other parties 7, independents 4; National Assembly - percent of vote by party - DPP 42.5%, KMT 38.9%, TSU 7%, PFP 6%, others 6.6%; seats by party - DPP 127, KMT 117, TSU 21, PFP 18, others 17 (2005) |
| Judicial branch: | Judicial Yuan (justices appointed by the president with consent of the Legislative Yuan) |
| Political parties and leaders: | Democratic Progressive Party or DPP [YU Shyi-kun]; Kuomintang or KMT (Nationalist Party) [MA Ying-jeou]; People First Party or PFP [James SOONG (SOONG Chu-yu)]; Taiwan Solidarity Union or TSU [SU Chin-chiang]; other minor parties including the Chinese New Party or NP |
| Political pressure groups and leaders: | Taiwan independence movement, various business and environmental groups |
| Political pressure groups and leaders: | note: debate on Taiwan independence has become acceptable within the mainstream of domestic politics on Taiwan; political liberalization and the increased representation of opposition parties in Taiwan's legislature have opened public debate on the island's national identity; a broad popular consensus has developed that Taiwan currently enjoys de facto independence and - whatever the ultimate outcome regarding reunification or independence - that Taiwan's people must have the deciding voice; advocates of Taiwan independence oppose the stand that the island will eventually unify with mainland China; goals of the Taiwan independence movement include establishing a sovereign nation on Taiwan and entering the UN; other organizations supporting Taiwan independence include the World United Formosans for Independence and the Organization for Taiwan Nation Building |
| International organization participation: | APEC, AsDB, ICC, ICFTU, ICRM, IFRCS, IOC, WCL, WTO |
| International organization participation: | note: Taiwan has acquired observer status on the competition committee and special observer status on the Trade Committee of the OECD, and is seeking observer status with the backing of the US in WHO |
| Diplomatic representation in the US: | none; unofficial commercial and cultural relations with the people of the US are maintained through an unofficial instrumentality, the Taipei Economic and Cultural Representative Office (TECRO) in the US with headquarters in Taipei and field offices in Washington and 12 other US cities |
