| Government | UGANDA |
| --- | --- |
| Country name: | conventional long form: Republic of Uganda |
| Country name: | conventional short form: Uganda |
| Country name: | etymology: from the Swahili "Buganda," adopted by the British as the name for their East African colony in 1894; Buganda had been a powerful East African state during the 18th and 19th centuries |
| Government type: | presidential republic |
| Capital: | name: Kampala |
| Capital: | geographic coordinates: 0 19 N, 32 33 E |
| Capital: | time difference: UTC+3 (8 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 111 districts and 1 capital city*; Abim, Adjumani, Agago, Alebtong, Amolatar, Amudat, Amuria, Amuru, Apac, Arua, Budaka, Bududa, Bugiri, Buhweju, Buikwe, Bukedea, Bukomansimbi, Bukwa, Bulambuli, Buliisa, Bundibugyo, Bushenyi, Busia, Butaleja, Butambala, Buvuma, Buyende, Dokolo, Gomba, Gulu, Hoima, Ibanda, Iganga, Isingiro, Jinja, Kaabong, Kabale, Kabarole, Kaberamaido, Kalangala, Kaliro, Kalungu, Kampala*, Kamuli, Kamwenge, Kanungu, Kapchorwa, Kasese, Katakwi, Kayunga, Kibaale, Kiboga, Kibuku, Kiruhura, Kiryandongo, Kisoro, Kitgum, Koboko, Kole, Kotido, Kumi, Kween, Kyankwanzi, Kyegegwa, Kyenjojo, Lamwo, Lira, Luuka, Luwero, Lwengo, Lyantonde, Manafwa, Maracha, Masaka, Masindi, Mayuge, Mbale, Mbarara, Mitooma, Mityana, Moroto, Moyo, Mpigi, Mubende, Mukono, Nakapiripirit, Nakaseke, Nakasongola, Namayingo, Namutumba, Napak, Nebbi, Ngora, Ntoroko, Ntungamo, Nwoya, Otuke, Oyam, Pader, Pallisa, Rakai, Rubirizi, Rukungiri, Sembabule, Serere, Sheema, Sironko, Soroti, Tororo, Wakiso, Yumbe, Zombo; note - four new districts, Kagadi, Kakumiro, Omoro, and Rubanda, have been reported, but not yet vetted by the US Board on Geographic Names |
| Independence: | 9 October 1962 (from the UK) |
| National holiday: | Independence Day, 9 October (1962) |
| Constitution: | several previous; latest adopted 27 September 1995, promulgated 8 October 1995; amended many times, last in 2015 (2016) |
| Legal system: | mixed legal system of English common law and customary law |
| International law organization participation: | accepts compulsory ICJ jurisdiction; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent or grandparent must be a native-born citizen of Uganda |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: an aggregate of 20 years and continuously for the last 2 years prior to applying for citizenship |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Yoweri Kaguta MUSEVENI (since seizing power on 26 January 1986); Vice President Edward SSEKANDI (since 24 May 2011); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President Yoweri Kaguta MUSEVENI (since seizing power on 26 January 1986); Vice President Edward SSEKANDI (since 24 May 2011); Prime Minister Ruhakana RUGUNDA (since 19 September 2014); First Deputy Prime Minister Moses ALI (since 6 June 2016); Second Deputy Prime Minister Kirunda KIVEJINJA (since 6 June 2016); Third Deputy Prime Minister Kirunda KIVEJINJA (since 6 June 2016) |
| Executive branch: | cabinet: Cabinet appointed by the president from among elected members of the National Assembly or persons who qualify to be elected as members of the National Assembly |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (no term limit); election last held on 18 February 2016 (next to be held in February 2021) |
