| Government | Uganda |
| --- | --- |
| Country name: | conventional long form: Republic of Uganda |
| Country name: | conventional short form: Uganda |
| Government type: | republic |
| Capital: | name: Kampala |
| Capital: | geographic coordinates: 0 19 N, 32 33 E |
| Capital: | time difference: UTC+3 (8 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 111 districts and 1 capital city*; Abim, Adjumani, Agago, Alebtong, Amolatar, Amudat, Amuria, Amuru, Apac, Arua, Budaka, Bududa, Bugiri, Buhweju, Buikwe, Bukedea, Bukomansimbi, Bukwa, Bulambuli, Bulisa, Bundibugyo, Bushenyi, Busia, Butaleja, Butambala, Buvuma, Buyende, Dokolo, Gomba, Gulu, Hoima, Ibanda, Iganga, Isingiro, Jinja, Kaabong, Kabale, Kabarole, Kaberamaido, Kalangala, Kaliro, Kalungu, Kampala*, Kamuli, Kamwenge, Kanungu, Kapchorwa, Kasese, Katakwi, Kayunga, Kibale, Kiboga, Kibuku, Kiruhura, Kiryandongo, Kisoro, Kitgum, Koboko, Kole, Kotido, Kumi, Kween, Kyankwanzi, Kyegegwa, Kyenjojo, Lamwo, Lira, Luuka, Luwero, Lwengo, Lyantonde, Manafwa, Maracha, Masaka, Masindi, Mayuge, Mbale, Mbarara, Mitoma, Mityana, Moroto, Moyo, Mpigi, Mubende, Mukono, Nakapiripirit, Nakaseke, Nakasongola, Namayingo, Namutumba, Napak, Nebbi, Ngora, Ntoroko, Ntungamo, Nwoya, Otuke, Oyam, Pader, Pallisa, Rakai, Rubirizi, Rukungiri, Sembabule, Serere, Sheema, Sironko, Soroti, Tororo, Wakiso, Yumbe, Zombo |
| Independence: | 9 October 1962 (from the UK) |
| National holiday: | Independence Day, 9 October (1962) |
| Constitution: | several previous; latest adopted 27 September 1995, promulgated 8 October 1995; amended many times, last in 2005 (2011) |
| Legal system: | mixed legal system of English common law and customary law |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Lt. Gen. Yoweri Kaguta MUSEVENI (since seizing power on 26 January 1986); Vice President Edward SSEKANDI (since 24 May 2011) note - the president is both chief of state and head of government |
| Executive branch: | head of government: President Lt. Gen. Yoweri Kaguta MUSEVENI (since seizing power on 26 January 1986); Prime Minister Amama MBABAZI (since 24 May 2011); note - the prime minister assists the president in the supervision of the cabinet |
| Executive branch: | cabinet: Cabinet appointed by the president from among elected legislators |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president reelected by popular vote for a five-year term; election last held on 18 February 2011 (next to be held in 2016) |
| Executive branch: | election results: Lt. Gen. Yoweri Kaguta MUSEVENI elected president; percent of vote - Lt. Gen. Yoweri Kaguta MUSEVENI 68.4%, Kizza BESIGYE 26.0%, other 5.6% |
| Legislative branch: | unicameral National Assembly (375 seats; 238 members elected by popular vote, 112 women directly elected, 25 nominated by legally established special interest groups [army 10, disabled 5, youth 5, labor 5], additional ex-officio members may be nominated by the president; members serve five-year terms) |
| Legislative branch: | elections: last held on 18 February 2011 (next to be held in 2016) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - NRM 263, FDC 34, DP 12, UPC 10, UPDF 10, CP 1, JEEMA 1, independents 43, vacant 1; note - UPDF is the Uganda People's Defense Force |
| Judicial branch: | highest court(s): Supreme Court of Uganda (consists of the chief justice and 5 justices) |
