| Government | ERITREA |
| --- | --- |
| Country name: | conventional long form: State of Eritrea |
| Country name: | conventional short form: Eritrea |
| Country name: | local long form: Hagere Ertra |
| Country name: | local short form: Ertra |
| Country name: | former: Eritrea Autonomous Region in Ethiopia |
| Country name: | etymology: the country name derives from the ancient Greek appellation "Erythra Thalassa" meaning Red Sea, which is the major water body bordering the country |
| Government type: | authoritarian presidential regime |
| Capital: | name: Asmara (Asmera) |
| Capital: | geographic coordinates: 15 20 N, 38 56 E |
| Capital: | time difference: UTC+3 (8 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 6 regions (zobatat, singular - zoba); Anseba, Debub (South), Debubawi K'eyih Bahri (Southern Red Sea), Gash Barka, Ma'akel (Central), Semenawi Keyih Bahri (Northern Red Sea) |
| Independence: | 24 May 1993 (from Ethiopia) |
| National holiday: | Independence Day, 24 May (1991) |
| Constitution: | adopted 23 May 1997 (not fully implemented); note - in mid-2014, the president announced plans to draft a new constitution (2015) |
| Legal system: | mixed legal system of civil, customary, and Islamic religious law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Eritrea |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 20 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President ISAIAS Afworki (since 8 June 1993); note - the president is both chief of state and head of government and is head of the State Council and National Assembly |
| Executive branch: | head of government: President ISAIAS Afworki (since 8 June 1993) |
| Executive branch: | cabinet: State Council appointed by the president |
| Executive branch: | elections/appointments: president indirectly elected by the National Assembly for a 5-year term (eligible for a second term); the only election was held on 8 June 1993, following independence from Ethiopia (next election postponed indefinitely) |
| Executive branch: | election results: ISAIAS Afworki elected president by the transitional National Assembly; percent of National Assembly vote - ISAIAS Afworki (PFDJ) 95%, other 5% |
| Legislative branch: | description: unicameral National Assembly or Hagerawi Baito (150 seats; 75 members indirectly elected by the ruling party and 75 directly elected by simple majority vote; members serve 5-year terms) |
| Legislative branch: | elections: in May 1997, following the adoption of the new constitution, 75 members of the PFDJ Central Committee (the old Central Committee of the EPLF), 60 members of the 527-member Constituent Assembly, which had been established in 1997 to discuss and ratify the new constitution, and 15 representatives of Eritreans living abroad were formed into a Transitional National Assembly to serve as the country's legislative body until countrywide elections to form a National Assembly were held; although only 75 of 150 members of the Transitional National Assembly were elected, the constitution stipulates that once past the transition stage, all members of the National Assembly will be elected by secret ballot of all eligible voters; National Assembly elections scheduled for December 2001 were postponed indefinitely due to the war with Ethiopia |
| Judicial branch: | highest court(s): High Court (consists of 20 judges and organized into civil, commercial, criminal, labor, administrative, and customary sections) |
| Judicial branch: | judge selection and term of office: High Court judges appointed by the president |
| Judicial branch: | subordinate courts: regional/zonal courts; community courts; special courts; sharia courts (for issues dealing with Muslim marriage, inheritance, and family); military courts |
| Political parties and leaders: | People's Front for Democracy and Justice or PFDJ [ISAIAS Afworki] (the only party recognized by the government) |
| Political parties and leaders: | note: a National Assembly committee drafted a law on political parties in January 2001, but the full National Assembly never debated or voted on it |
| Political pressure groups and leaders: | Democratic Movement for the Liberation of Eritrean Kunama or DMLEK |
| Political pressure groups and leaders: | Eritrean Democratic Alliance or EDA |
| Political pressure groups and leaders: | Eritrean Islamic Party for Justice and Development or EIPJD (includes the Eritrean Islamic Jihad (EIJ), Eritrean Islamic Jihad Movement (EIJM), Eritrean Islamic Salvation, and the Eritrean Islamic Foundation) |
| Political pressure groups and leaders: | Eritrean National Congress for Democratic Change or ENCDC |
| Political pressure groups and leaders: | Eritrean National Salvation Front or ENSF |
| Political pressure groups and leaders: | Eritrean People's Democratic Party or EPDP |
| Political pressure groups and leaders: | Red Sea Afar Democratic Organization or RSADO |
| International organization participation: | ACP, AfDB, AU, COMESA, FAO, G-77, IAEA, IBRD, ICAO, ICC (NGOs), IDA, IFAD, IFC, IFRCS (observer), ILO, IMF, IMO, Interpol, IOC, ISO (correspondent), ITU, ITUC (NGOs), LAS (observer), MIGA, NAM, OPCW, PCA, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO |
| Diplomatic representation in the US: | chief of mission: Ambassador (vacant); Charge d'Affaires BERHANE Gebrehiwet Solomon (since 15 March 2011) |
| Diplomatic representation in the US: | chancery: 1708 New Hampshire Avenue NW, Washington, DC 20009 |
| Diplomatic representation in the US: | telephone: [1] (202) 319-1991 |
